id,label,score,title,year,is_animal,is_creature
861057,shark,0.96,Swim,2021,True,True
19286,uncertain,0.465,Leprechaun 3,1995,False,False
9902,uncertain,0.347,Wrong Turn,2003,False,False
605804,skeleton,0.608,The Wretched,2020,False,True
58431,uncertain,0.49,Pride and Prejudice and Zombies,2016,False,False
739990,uncertain,0.493,Nightbooks,2021,False,False
42941,demon,0.541,30 Days of Night: Dark Days,2010,False,True
732713,uncertain,0.324,Evil Eye,2020,False,False
320048,uncertain,0.34,Ratter,2015,False,False
28355,uncertain,0.253,Case 39,2009,False,False
47044,uncertain,0.371,The Secret Life: Jeffrey Dahmer,1993,False,False
1923,uncertain,0.299,Twin Peaks: Fire Walk with Me,1992,False,False
525460,uncertain,0.283,Welcome Home,2018,False,False
22970,skeleton,0.528,The Cabin in the Woods,2012,False,True
945657,uncertain,0.271,Titanic 666,2022,False,False
431259,uncertain,0.323,Escape Room,2017,False,False
807356,witch,0.832,Watcher,2022,False,True
793967,demon,0.507,Phobias,2021,False,True
10166,witch,0.985,The Witches,1990,False,True
10586,ghost,0.885,The Ghost and the Darkness,1996,False,True
2667,witch,0.895,The Blair Witch Project,1999,False,True
70112,uncertain,0.46,Dahmer vs. Gacy,2010,False,False
629015,uncertain,0.17,Shut In,2022,False,False
519337,skeleton,0.543,Tempus Tormentum,2018,False,True
94365,snake,0.688,The Human Centipede 3 (Final Sequence),2015,True,True
579,shark,0.851,Jaws 2,1978,True,True
1551,ghost,0.682,Flatliners,1990,False,True
787009,uncertain,0.269,Stay Out of the Attic,2021,False,False
896448,shark,0.88,Beneath the Surface,2022,True,True
623034,skeleton,0.604,The Haunted,2018,False,True
11449,uncertain,0.257,The Amityville Horror,1979,False,False
362826,uncertain,0.442,Wildling,2018,False,False
458305,uncertain,0.421,Vivarium,2019,False,False
25239,uncertain,0.299,I Spit on Your Grave,1978,False,False
816952,uncertain,0.382,My Best Friend's Exorcism,2022,False,False
25769,zombie,0.778,Carriers,2009,False,True
502416,uncertain,0.314,Ma,2019,False,False
526051,uncertain,0.489,Look Away,2018,False,False
288158,ghost,0.541,The Woman in Black 2: Angel of Death,2014,False,True
839436,giant_monster,0.75,Dragon Fury,2021,False,True
747,uncertain,0.241,Shaun of the Dead,2004,False,False
9678,uncertain,0.436,Little Nicky,2000,False,False
10242,doll,0.527,What Ever Happened to Baby Jane?,1962,False,True
801071,uncertain,0.411,The Jack in the Box: Awakening,2022,False,False
391262,uncertain,0.311,Curve,2016,False,False
41439,skeleton,0.862,Saw 3D,2010,False,True
48171,demon,0.767,The Rite,2011,False,True
157547,ghost,0.596,Oculus,2013,False,True
9426,ghost,0.711,The Fly,1986,False,True
839440,giant_monster,0.653,Dinosaur Hotel,2021,False,True
333674,uncertain,0.384,Intruders,2016,False,False
21407,masked_killer,0.895,The Collector,2009,False,True
11186,clown,0.603,Child's Play 2,1990,False,True
452507,uncertain,0.234,1922,2017,False,False
496704,shark,0.755,Tremors: A Cold Day in Hell,2018,True,True
