id,title,year,genre_names
127401,The Tell-Tale Heart,1953,"Animation, Crime, Horror"
921022,Walt Disney's Halloween Hilarities,1953,"Animation, Comedy, Fantasy, Horror"
126280,Claws for Alarm,1954,"Animation, Comedy, Horror"
235796,Dr. Jerkyl's Hide,1954,"Animation, Comedy, Family, Horror"
234663,Switchin' Kitten,1961,"Animation, Comedy, Family, Horror"
84604,Transylvania 6-5000,1963,"Animation, Comedy, Horror"
145623,The Games of Angels,1964,"Animation, Horror"
100592,The Hand,1965,"Animation, Horror"
17278,Mad Monster Party?,1967,"Animation, Comedy, Family, Fantasy, Horror, Music"
379133,Pink Panic,1967,"Animation, Comedy, Horror, Western"
840603,El Inmortal,1968,"Adventure, Animation, Horror"
535726,Early Experiments,1968,"Animation, Horror"
314225,Spooky Kitaro,1968,"Animation, Fantasy, Horror"
868537,The Fox With Nine Tails,1968,"Adventure, Animation, Fantasy, Horror"
959993,Kaibutsu-kun: Suna Majin wo Yattsukero no Maki / Kaibutsu-kun to Haniwa Kaishin no Maki,1969,"Animation, Comedy, Horror"
44239,The Alphabet,1969,"Animation, Horror"
301765,Mask of the Red Death,1969,"Animation, Drama, Horror"
740385,Scooby-Doo! Meets the Harlem Globetrotters,1972,"Animation, Comedy, Horror, Mystery"
995959,Scooby Doo Meets Batman,1972,"Action, Adventure, Animation, Horror"
104317,The Woman Who Powders Herself,1972,"Animation, Fantasy, Horror"
106569,The Demon,1972,"Animation, Drama, Fantasy, Horror"
590155,Shades of Sherlock Holmes!,1972,"Animation, Horror, Mystery"
895181,The Mini-Munsters,1973,"Animation, Comedy, Horror"
174838,Atman,1975,"Animation, Horror"
1028882,Hand in Glove,1976,"Animation, Horror, Science Fiction"
84805,The Fat Albert Halloween Special,1977,"Animation, Comedy, Family, Horror"
1021798,The Youth Who Wanted to Shiver,1978,"Adventure, Animation, Horror"
163060,Harpy,1979,"Animation, Comedy, Fantasy, Horror"
99306,The Flintstones Meet Rockula and Frankenstone,1979,"Animation, Comedy, Family, Horror"
282391,Fisheye,1980,"Animation, Drama, Horror, Mystery"
