id,title,year,width,height,aspect,reason
3343,Edison's Frankenstein,1990,300,225,1.3333,landscape
4230,Scary Texas Movie,1997,1000,746,1.3405,landscape
27797,Scream Farm,2008,300,200,1.5,landscape
27823,Pretty Bloody: The Women of Horror,2009,1000,547,1.8282,landscape
29711,Anemia,1986,1000,750,1.3333,landscape
30499,Legend Has It,2008,300,67,4.4776,landscape
40875,The Graveyard of Death,2005,300,172,1.7442,landscape
57146,Full Employment,2008,300,171,1.7544,landscape
69958,Suitable for Murder,2008,1000,1000,1.0,square
73231,Black XXX-Mas,1999,300,184,1.6304,landscape
77851,The Dead Father,1985,1000,595,1.6807,landscape
82209,Fear of the Dark,2001,300,200,1.5,landscape
95698,Lockout,2007,1000,561,1.7825,landscape
101364,Kid Safe: The Video,1988,1000,750,1.3333,landscape
120913,An Afternoon,2001,1000,349,2.8653,landscape
130016,Blood Red Earth,2008,1000,648,1.5432,landscape
139791,The Thirteenth Day of Christmas,1985,1000,753,1.328,landscape
150906,The Way to Shadow Garden,1954,1000,750,1.3333,landscape
152032,How to Stop a Motor Car,1902,1000,797,1.2547,landscape
161852,The Shriek,1933,1000,750,1.3333,landscape
166544,The Haunted Ship,1930,1000,816,1.2255,landscape
199105,The Auburn Hills Breakdown,2008,1000,666,1.5015,landscape
200048,Little Farm,2006,300,225,1.3333,landscape
210171,If It's a Man – Hang Up!,1975,300,225,1.3333,landscape
211238,Soulmates,2008,1000,563,1.7762,landscape
211240,* Cemetery,2010,300,300,1.0,square
212858,The Braineater,2001,1000,589,1.6978,landscape
213130,Chatter,2010,1000,589,1.6978,landscape
222482,Saving the Human Race,2012,300,168,1.7857,landscape
223051,The Black Woods Footage,2013,1000,1000,1.0,square
225498,Lovely Monster,2011,1000,450,2.2222,landscape
230004,Now That You're Dead,2009,1000,559,1.7889,landscape
231605,Candy.,2010,300,164,1.8293,landscape
232022,Home Sweet Home,2013,1000,564,1.773,landscape
253492,Hell No,2013,300,200,1.5,landscape
255789,The Crotchening,2004,1000,1000,1.0,square
257351,Blood Slaves of the Vampire Wolf,1996,300,200,1.5,landscape
266327,Time Out for Trouble,1961,300,225,1.3333,landscape
274257,The First Wave,2014,1000,421,2.3753,landscape
284309,Murder Is Like Sex,2009,1000,1000,1.0,square
285156,Escape from Hellview,2011,1000,563,1.7762,landscape
