id,title,year,runtime,imdb_basics,reason
94161,Dracula,2002,104.0,hit,tmdb_movie_404
273060,The Evil Dead Inbred Rednecks,2012,46.0,miss,tmdb_movie_404
299768,Carmilla,1989,51.0,miss,tmdb_movie_404
462987,666: Salem Calling,2008,77.0,miss,tmdb_movie_404
467151,Child's Play,1984,70.0,ambig,tmdb_movie_404
473647,Sandkings,1995,93.0,miss,tmdb_movie_404
477982,In Possession,1984,75.0,miss,tmdb_movie_404
490870,The Idol,2017,74.0,miss,tmdb_movie_404
526146,Intruders,1992,163.0,hit,tmdb_movie_404
550718,Leviathan: The Story of Hellbound: Hellraiser II,2015,199.0,miss,tmdb_movie_404
601107,Dr. Ling's Torture Greenhouse,2019,43.0,miss,tmdb_movie_404
639571,Skin and Bones,2008,42.0,miss,tmdb_movie_404
647354,Midday Demons,2018,85.0,miss,tmdb_movie_404
655058,The House on Devil's Road,2019,74.0,miss,tmdb_movie_404
671730,The Turn of the Screw,1989,56.0,miss,tmdb_movie_404
679870,Dreams of Darkness,2020,81.0,miss,tmdb_movie_404
687661,New Year's Day,2008,42.0,miss,tmdb_movie_404
688005,Community,2008,42.0,hit,tmdb_movie_404
729975,Porkin' Across America,2012,59.0,hit,tmdb_movie_404
752291,CROWN OF THE ARCHONS,2017,151.0,ambig,tmdb_movie_404
772948,The Clock,2020,219.0,hit,tmdb_movie_404
773327,La Playa,1999,71.0,miss,tmdb_movie_404
783208,The Ultimate Dilemma Part 2,2020,77.0,miss,tmdb_movie_404
791038,The Island of Dr. Moreau,2021,109.0,miss,tmdb_movie_404
793385,Tennis Court,1985,75.0,miss,tmdb_movie_404
869915,His Name Was Jason,2021,83.0,miss,tmdb_movie_404
881597,Ritual The Series,2021,115.0,miss,tmdb_movie_404
894733,The Tragedy Of Doctor Jekyll And Mister Hyde,2021,101.0,miss,tmdb_movie_404
911229,"It's Me, Billy",2021,42.0,miss,tmdb_movie_404
928313,The Strange Case of Dr. Jekyll and Mr. Hyde,1989,60.0,miss,tmdb_movie_404
928317,The Eyes of the Panther,1989,60.0,miss,tmdb_movie_404
954600,Another!,2022,50.0,miss,tmdb_movie_404
959307,The Woods: Man's Natural Enemy,2022,48.0,miss,tmdb_movie_404
989253,Sacrificial Lambs,2022,64.0,miss,tmdb_movie_404
991182,Night of the Living Dead: 30th Anniversary Edition,2001,96.0,miss,tmdb_movie_404
991953,Devil's Fairground,2020,97.0,miss,tmdb_movie_404
996327,Blood & Makeup: The Last Laugh of Blah Blah the Clown,2020,43.0,hit,tmdb_movie_404
1000589,And the Wall Came Tumbling Down,1984,71.0,miss,tmdb_movie_404
1012824,The Corvini Inheritance,1985,70.0,miss,tmdb_movie_404
1012826,Paint Me a Murder,1985,75.0,miss,tmdb_movie_404
1012840,The Sweet Scent of Death,1984,73.0,miss,tmdb_movie_404
1012847,Black Carrion,1984,70.0,miss,tmdb_movie_404
1012853,The Late Nancy Irving,1985,70.0,miss,tmdb_movie_404
1012859,A Distant Scream,1984,72.0,miss,tmdb_movie_404
1012953,Last Video and Testament,1984,72.0,miss,tmdb_movie_404
1015721,The Spirit Box,2009,42.0,miss,tmdb_movie_404
1024207,this is my world,2022,144.0,miss,tmdb_movie_404
1032890,Welcome to the Occult Forest,2022,141.0,hit,tmdb_movie_404
