id,title,year,runtime,new_kind,new_id,new_url,status,reason
101611,Left 4 Dead - The Movie,2016,50,movie,1733132,https://www.themoviedb.org/movie/1733132,medium,tmdb_404_remap_dup_already_in_corpus
190250,ABE,2013,8,movie,1478317,https://www.themoviedb.org/movie/1478317,medium,tmdb_404_remap_dup_already_in_corpus
270176,Go To Hell,1999,90,movie,1560072,https://www.themoviedb.org/movie/1560072,medium,tmdb_404_remap_dup_already_in_corpus
283548,Max Headroom Pirating Incident,1987,2,movie,1354756,https://www.themoviedb.org/movie/1354756,medium,tmdb_404_remap_dup_already_in_corpus
337937,Master of Horror,1965,61,movie,1486952,https://www.themoviedb.org/movie/1486952,medium,tmdb_404_remap_dup_already_in_corpus
368698,Super Brainy Zombies,2014,22,movie,1656314,https://www.themoviedb.org/movie/1656314,medium,tmdb_404_remap_dup_already_in_corpus
461059,Reel,2015,79,movie,1626129,https://www.themoviedb.org/movie/1626129,medium,tmdb_404_remap_dup_already_in_corpus
538208,The Devil Ant,1999,201,movie,1243805,https://www.themoviedb.org/movie/1243805,medium,tmdb_404_remap_dup_already_in_corpus
633365,SCP: Dollhouse,2019,17,movie,1145327,https://www.themoviedb.org/movie/1145327,medium,tmdb_404_remap_dup_already_in_corpus
636893,Black Easter,1994,0.0,movie,1714093,https://www.themoviedb.org/movie/1714093,medium,tmdb_404_remap_dup_already_in_corpus
664681,Seagrass,2019,3,movie,1254225,https://www.themoviedb.org/movie/1254225,medium,tmdb_404_remap_dup_already_in_corpus
664689,Box Cutter,2020,11,movie,954771,https://www.themoviedb.org/movie/954771,medium,tmdb_404_remap_dup_already_in_corpus
672114,Gremlins: Recall,2017,11,movie,1569299,https://www.themoviedb.org/movie/1569299,medium,tmdb_404_remap_dup_already_in_corpus
675522,Murder Death Koreatown,2020,80,movie,1433354,https://www.themoviedb.org/movie/1433354,medium,tmdb_404_remap_dup_already_in_corpus
683803,Reel 2,2020,104,movie,1626151,https://www.themoviedb.org/movie/1626151,medium,tmdb_404_remap_dup_already_in_corpus
687281,In Sickness and in Health,2008,42,movie,1201757,https://www.themoviedb.org/movie/1201757,medium,tmdb_404_remap_dup_already_in_corpus
722374,Camping Fun,2020,13,movie,1704894,https://www.themoviedb.org/movie/1704894,medium,tmdb_404_remap_dup_already_in_corpus
753726,Halloween Party,1989,38,movie,1481943,https://www.themoviedb.org/movie/1481943,medium,tmdb_404_remap_dup_already_in_corpus
762598,Halloween Night,2020,60,movie,1571706,https://www.themoviedb.org/movie/1571706,medium,tmdb_404_remap_dup_already_in_corpus
773647,Welcome to Hoxford : The fan film,2011,0.0,movie,1683578,https://www.themoviedb.org/movie/1683578,medium,tmdb_404_remap_dup_already_in_corpus
804852,Siren head,2020,52,movie,1644269,https://www.themoviedb.org/movie/1644269,medium,tmdb_404_remap_dup_already_in_corpus
806190,At the Mountains of Madness,2021,274,movie,876254,https://www.themoviedb.org/movie/876254,medium,tmdb_404_remap_dup_already_in_corpus
808433,"Symbolicus, Vol.1",2021,109,movie,1379606,https://www.themoviedb.org/movie/1379606,medium,tmdb_404_remap_dup_already_in_corpus
828498,Uninvited,2021,7,movie,887924,https://www.themoviedb.org/movie/887924,medium,tmdb_404_remap_dup_already_in_corpus
831600,Motion Detected,2021,7,movie,1121753,https://www.themoviedb.org/movie/1121753,medium,tmdb_404_remap_dup_already_in_corpus
