id,imdb_id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
281897,tt7642560,Anomalies 2: Kill a Prophet,Anomalies 2: Kill a Prophet,en,,,2023-11-03,/hdTpGaHjcKTvHlESdBskQjvBmE0.jpg,0.7395,0,0,0,0,90,Released,False,,Horror,,
296271,tt9663168,The Devil Conspiracy,The Devil Conspiracy,en,"A powerful biotech company has breakthrough technology allowing them to clone history’s most influential people with just a few fragments of DNA. Behind this company is a cabal of Satanists that steals the shroud of Christ, putting them in possession of Jesus’ DNA. The clone will serve as the ultimate offering to the devil. The Archangel Michael comes to earth and will stop at nothing to end the devil’s conspiracy.",The war of angels has come to earth.,2023-01-13,/gZCWgbIq2IBDRMJmdx5NeYbbigL.jpg,5.4948,479,6.448,0,0,111,Released,False,/sp7MPK2K60LLd7A6zjHKsfgjFil.jpg,"Horror, Fantasy, Science Fiction, Thriller",,
328939,tt4354146,Cheerleader Camp 2 the Death,Cheerleader Camp 2 the Death,en,"After a team of cheerleaders are burned to death in a gruesome sprinkler accident, the one who got away, Tanya, returns to cheerleader camp. Joining her are an all-new squad of drop-dead-gorgeous mean girls from competing high schools who chafe under the strict rules set by Coach Paddington (Jennifer Banko). With a lustful caretaker (Ari Lehman) lurking nearby, the team struggle to get along--but soon their life depends on it! When someone in a panda costume begins killing one girl every hour, it's up to Tanya to piece together the clues before time runs out.",,2023-06-26,/pfvC8rWfo2disdbV6PpdEAwSCm4.jpg,0.3014,0,0,0,0,70,Released,False,,Horror,1047304,Cheerleader Camp Collection
361537,tt4986280,Blood Curse: The Haunting of Alicia Stone,Blood Curse: The Haunting of Alicia Stone,en,"Strange things start to happen to Alicia and her husband Jason after she receives a gift in the mail from her great-Aunt Gwen, is their house haunted or has the family been cursed, or is it something far darker?",,2024-10-31,/3s4sJajWaiGds8KwWs0uoG0HzFQ.jpg,0.2203,0,0,0,0,0,Released,False,/93ecTRJv4X7G5NMZkK9nPfKr8Du.jpg,Horror,,
361538,tt2993466,Blood Curse II: Asmodeus Rises,Blood Curse II: Asmodeus Rises,en,"Alicia Stone returns in this gore-drenched sequel. Having lost all hope, husband Jason calls on the help of Paranormal TV host Tyson to confront the demonic forces that have plagued the Stone household.",,2024-10-31,/vFvsjOlQxzuMQQsaGmjMxAenjm6.jpg,0.9133,0,0,0,0,0,Released,False,/93ecTRJv4X7G5NMZkK9nPfKr8Du.jpg,Horror,,
378160,tt3963226,Abruptio,Abruptio,en,Les Hackel is a guy down on his luck who wakes to find an explosive device has been implanted in his neck. He must carry out heinous crimes in order to stay alive while trying to identify the mastermind manipulating the now twisted and strange world around him.,Everyone's a Puppet,2024-09-27,/vST48sqPw09wgij1OwxiUEhKHBd.jpg,1.8394,20,6.2,0,0,96,Released,False,/5eOZVGQ7Mf5AFQiuAUC7qkwyxvt.jpg,"Animation, Horror, Thriller",,
387660,tt4155680,DinoGator,DinoGator,en,A hip rock band films a music video and unknowingly disturbs a cryptic creature.,,2024-10-19,/mwnqPV7XoD4MvOVpRF0dHWASO3s.jpg,1.6483,3,5.0,0,0,85,Released,False,/qwpY2ZLn8PEyzxzNgluXj4K3zmX.jpg,"Action, Horror",,
394151,tt5574078,Nosferatu: A Symphony of Horror,Nosferatu: A Symphony of Horror,en,"The original 1922 ""Nosferatu"" is regarded as one of the most important films ever made, and a cornerstone of the vampire genre. Now, over one hundred years later, the bloodthirsty Count Orlok rises once again to cast an unearthly shadow in a feature-length retelling of the classic horror masterpiece. Faithfully presented in the style of golden-age horror, and combining scenic elements from the original film with new sound and music, this all new ""Nosferatu"" is a never-before-seen 'cinematic remix' of the timeless vampire tale, and an otherworldly revisit to the land of ghosts and phantoms where blood is life!",The Vampire Lives,2023-11-17,/dD9B9Z9YoW1mrtmHPQ26LlhApka.jpg,1.1956,15,5.357,0,0,92,Released,False,/tAxCmawvAn4P7IPPFi8geGtfPj1.jpg,Horror,,
417773,tt3668382,Spook Train: Room One – Curtains,Spook Train: Room One – Curtains,en,"The first instalment of the creepy horror anthology claymation series ""Spook Train.""",,2023-10-14,/8gECdNmZhBKpWGWJlgWTCxSBpC5.jpg,0.7807,1,7.0,0,0,8,Released,False,,"Horror, Comedy, Animation",,
419767,tt10069050,We Put the World to Sleep,We Put the World to Sleep,en,Adrian and Duru get lost in the characters they play in an apocalyptic film and embark on a secret mission to end the world for real. Second entry in Adrian Țofei and Duru Yücel’s spiritual trilogy which includes Be My Cat: A Film for Anne and Pure.,,2025-10-18,/xkJglp2dKFefP0m0KV3PdOLfpLm.jpg,1.443,1,10.0,0,0,83,Released,False,/mytZvEYfMf0bvvxXmMJ4t2W5uyj.jpg,"Science Fiction, Mystery, Horror, Drama",,
