id,imdb_id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
7181,tt1094588,Dusk,Dusk,en,"When a series of unexplained events begin to echo across time, one woman finds herself at the center of a threat that refuses to stay buried. As the past bleeds into the present, she is forced to confront a presence that seems to follow her across lives, memories, and moments she can’t fully explain.  DUSK is a psychological horror film that blends suspense and supernatural elements, exploring the idea that some darkness doesn’t end—it returns. Starring Laura Bailey (Critical Role), alongside Bruce DuBose and Todd Haberkorn, the film delivers a character-driven descent into fear, where survival means recognizing what’s been hunting you all along.",,2026-03-07,/e2tWEpDPxytFvllRjTrFDcXFXQz.jpg,2.4478,0,0,0,0,99,Released,False,,Horror,,
479003,tt5579164,Eaten Alive in Uganda,Eaten Alive in Uganda,en,"A cannibalistic/zombesque film made by simple, genuine people who live in a place where cannibalism is still practiced and where the living dead, for the natives of the place, are part of their beliefs, their folklore.",,2026-01-31,/1lrhuST9q14TfdrxEk95R8EmCVa.jpg,0.2456,0,0,0,0,55,Released,False,,Horror,,
644665,tt7806390,Bramble On,Bramble On,en,A man confronts the creature living inside his blackberry brambles. He finds the thorns dig deeper than he expected.,,2026-02-20,/vkcGRcPHf7OgaXoSPIPmMxP8yGh.jpg,0.2495,0,0,75,0,9,Released,False,/zrjUEiby7rnybMeimp0uYHMoDl0.jpg,"Horror, Drama, Comedy",,
680493,tt22868010,Return to Silent Hill,Return to Silent Hill,en,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",Guilt is a place you can never leave.,2026-01-21,/tF7WPnFs109CwY9AvLCyI6ZYhEZ.jpg,15.1711,740,5.4,23000000,47976996,106,Released,False,/v0NEB75SZjxY8GS3ho8WeEvjIT3.jpg,"Mystery, Drama, Horror",64748,Silent Hill Collection
696393,tt8879928,Cold Storage,Cold Storage,en,"When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.","If it spreads, you're dead.",2026-01-22,/3HA2iiq982e01EKXJvPFyfMADVM.jpg,14.0442,592,6.755,10000000,4048606,99,Released,False,/puqQGxK9HYITUKhCdREg3XOLlZd.jpg,"Horror, Science Fiction, Comedy",,
737885,tt6157414,Nightmare Hospital,Nightmare Hospital,en,A horror film about a pilot who is the sole survivor of the plane crash in the deep unknown. He must survive in an isolated building where something evil is waiting.,,2026-10-08,/jmf80I2U92OVjnLIetUDzt1X7a4.jpg,1.3676,0,0,0,0,80,In Production,False,/wpEw76bf6c5mOrKrJlFaB1PSodW.jpg,"Horror, Mystery, Drama",,
785157,tt8502306,Capps Crossing: Wrong Side of Dead,Capps Crossing: Wrong Side of Dead,en,"When a behavioral science major investigates murders at Capps Crossing, she finds herself trapped in a twisted web of lies surrounding the local ranger and his son.",,2026-07-18,/wrckam4GGGnlMWXCjiYxD7XzHaO.jpg,0.7068,0,0,0,0,0,Released,False,/vl9OmIBWqkvcWG6X6qdQDUaTvn8.jpg,"Horror, Thriller",,
855435,tt14619456,Faces of Death,Faces of Death,en,"A woman, employed as a website content moderator, comes across a series of violent videos reproducing death scenes from a film.",You can't unsee it.,2026-04-10,/vPVY3S57lEooBLJCg6KGdMHkUxm.jpg,6.1207,104,5.5,7400000,2610000,97,Released,False,/qdyeQg2gWj1L8cDlwU3tI4s0Hub.jpg,Horror,97237,Faces of Death Collection
887583,,Analog Eyes,Analog Eyes,en,A loner dork gets fed up with the monotony of his existence under the shadow of his narcissistic friend. Forcing the the pair to reevaluate their place in life.,There's No Rewind Button in Life...,2026-10-10,/9DGrXkAuGudVpQSkNpzBgLQhUjk.jpg,0.6394,0,0,12250,0,0,In Production,False,,"Horror, Comedy, Mystery, Science Fiction",,
939541,tt42588704,Christmas at the Kringles,Christmas at the Kringles,en,"The Seversons, a family of three living in smalltown suburbia, whose next-door neighbors, the Kringles, have one minor quirk: They celebrate Christmas all year round. Mark and Julie Severson have mixed feelings about how much time their son, Bobby, spends at the Kringles’. But it’s not until he goes missing within the confines of the Kringles’ home that they realize their neighbors—and their religion—aren’t what they seemed. The couple will embark on a life-and-death journey to find their son that not only tests who they are, but who they want to become.",,2026-10-30,/z0uOPm2KjrZp1v4jp4SdPsrdgWB.jpg,0.7909,0,0,0,0,0,Post Production,False,,"Action, Horror, Comedy",,
