id,imdb_id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
9938,tt0292634,Raptor,Raptor,en,"When a series of unexplained vicious animal attacks strikes his community, Sheriff Jim Tanner and his assistant Barbara trace them back to a Dr. Hyde, a former military researcher whose government funding for a dinosaur cloning project was cut. When the Pentagon discovers Hyde obtained foreign backing to continue his experiments, they send in a strike team to save Tanner and Barbara and stop Hyde.",,2001-11-06,/sIY0CsTaxV3OxvtwV9NdtPa7uWy.jpg,1.3885,48,3.875,0,0,82,Released,False,/urFBuBNlo0A1FEBUjiBcXEpbNL.jpg,"Horror, Thriller",256484,Carnosaur Collection
12587,tt0271972,Arachnid,Arachnid,en,"Mercer's brother, an amateur pilot, crashes on an island and is killed by a giant spider. A year later, when Mercer goes in search of him, she discovers a breed of poisonous arachnids ready to attack.",It's coming from another world... TO STAY!,2001-06-29,/vvBZADXO4mJIAn5mlurR3cYGmH0.jpg,1.2066,85,4.3,570000,0,95,Released,False,/askwFNaEUj64i1ZFDxBwBtFmao8.jpg,"Adventure, Horror, Science Fiction",,
16925,tt1137477,Scourge,Scourge,en,"The ancient creature, The Scourge, long confined in a church, wreaks havoc in a small town. Bodies accumulate as Scott and Jessie, rekindling their love, become the town's last defense against the unleashed menace.",You are what it eats,2008-01-31,/85ATyd5A3SAyHtWTuxNBuW3BYCR.jpg,1.0067,31,4.3,0,0,92,Released,False,/6E91q6VhpVpBuS7ZYwa1yHelfY5.jpg,"Drama, Horror, Mystery, Science Fiction",,
21484,tt0082933,Possession,Possession,en,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",Inhuman ecstasy fulfilled.,1981-05-27,/A9bnRn05riOKWftvQlLKa2gl51n.jpg,10.9566,1362,7.316,2400000,1200000,124,Released,False,/zfw3fcF7d4KcWYEvps4zUfl303b.jpg,Horror,,
27895,tt0346811,The Curse of the Komodo,The Curse of the Komodo,en,Genetically-engineered Komodo dragons have become ginormous creatures hunting people on a remote tropical island. A small group of scientists must stop the dragons before they escape the island and destroy the rest of the world.,,2004-04-09,/coGnsZETIQTNwKPGBdhnVFLEPyk.jpg,1.3743,53,4.038,0,0,92,Released,False,/2VHulD5EQCQIHXLrcI7iEbxOLUL.jpg,"Horror, Science Fiction",,
28232,tt0261322,Stitches,Stitches,en,"Combining the body parts and skin from her victims, a wicked sorceress stitches together her subjects.",Evil comes in many forms...,2001-02-06,/7OLhE9RLgAVnSSGNGj5HRxphvGT.jpg,0.4372,9,4.0,0,0,81,Released,False,,Horror,,
29799,tt0114192,Project Shadowchaser III,Project Shadowchaser III,en,"It has been 25 years since the ore spaceship Siberia was last heard from. Unfortunately, it is now on a collision course with the communications station Comstat 5 which is orbiting Mars. After one successful maneuver to avoid the Siberia, it rams Comstat 5 and the crew soon finds that the Siberia crew is dead and the reason that it has been missing for 25 years. But that reason is trying to destroy them all as it destroyed the Siberia crew.",,1995-06-03,/nJkexmkMBZpmA5UBfUuVAHT332C.jpg,0.7239,16,4.3,0,0,99,Released,False,/3I338KURx8YRtp8jq4YE6rs4aoB.jpg,"Science Fiction, Horror, Thriller",721992,Project Shadowchaser Collection
30796,tt0092873,Rest in Pieces,Rest in Pieces,en,A newlywed couple move into the mansion of the bride's recently dead aunt. Soon strange things begin to happen when the various tenants and servants of the mansion don't want to leave and the bride and groom are in a deadly predicament.,Their dream house brought them together...Their neighbors are tearing them apart!,1987-08-10,/fkKMAqhdB08YbEKzLgPibqvHSvU.jpg,1.0779,30,4.283,0,0,90,Released,False,/rw4vRB00h73nSBiQ6ndbghB0isq.jpg,Horror,,
34737,tt0339288,Leeches!,Leeches!,en,"When a crop of doped-up athletes from the Lakecrest College swim team dive into the campus lake to blow off some steam, the bloodsucking leeches below the surface undergo a stunning transformation. After ingesting small amounts of the swimmers' steroid-laced blood, the slimy creatures grow to unusual sizes and set out to sink their teeth into an unsuspecting student population.",They will bleed you dry!,2003-08-19,/hvlZnD49pGX6qO96XIqXNjCjWMK.jpg,1.1228,26,3.615,0,0,85,Released,False,/nxpmjyUmkviMr1VpzbImo4PJg4S.jpg,"Horror, Thriller",,
40252,tt0114957,Witchboard III: The Possession,Witchboard III: The Possession,en,"Brian, an out-of-work stockbroker, is introduced by his landlord Mr. Redman to a new source of insider information: the Ouija! The Ouija makes him rich, but when Mr. Redman kills himself and Brian suffers a freak accident, Brian's wife starts noticing changes in her husband...",,1997-05-20,/atfbGfESaNEvFkG1U2BeOCpXakK.jpg,0.8549,31,4.258,0,0,93,Released,False,/7Oskf5cdjonQu8f3vBJqBqsULTs.jpg,"Drama, Horror",168186,Witchboard Collection
