id,imdb_id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
2929,tt0001223,Frankenstein,Frankenstein,en,"Frankenstein, a young medical student, trying to create the perfect human being, instead creates a misshapen monster. Made ill by what he has done, Frankenstein is comforted by his fiancée; but on his wedding night he is visited by the monster.",,1910-03-18,/xPzF7qW6FFZEzfsnsKqNOncxJNU.jpg,2.6139,232,6.1,0,0,14,Released,False,/vqZEHv2KxjyVXjbtMhIDIZ6xoLf.jpg,"Horror, Science Fiction, Fantasy",,
2957,tt0130001,"Homunculus, 2. Teil: Das geheimnisvolle Buch",The Mysterious Book,en,,,1916-11-27,/oCafZ0pqySjHZqC5kSlOqsAcU9v.jpg,1.1096,3,7.667,0,0,75,Released,False,,"Horror, Science Fiction",2955,Homunculus
2961,tt0130004,"Homunculus, 5. Teil: Die Vernichtung der Menschheit",The Destruction of Mankind,en,"For a long time the homunculus had to hide from his pursuers. But now he mingles with humanity again and sows discord, strife and murder. One day, when he meets an orphaned girl, he takes her to the shepherd Rudolf's parents. His goal is to pair the two together in order to breed a new human race from them. To this end, he kidnaps her to a deserted island. But the plan fails because Rudolf tries to kill the homunculus after learning his true identity. In revenge, the homunculus destroys the entire island, including the young couple. His hitherto loyal companion Edgar Rodin is so horrified by this deed that he renounces the homunculus and threatens him with death.",,1917-12-03,/ddb3pyBsmfzFJd8bInXKGjAFtou.jpg,0.2131,3,7.0,0,0,52,Released,False,,"Horror, Science Fiction",2955,Homunculus
3006,tt0126875,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",,1908-03-07,/hYArtU4tx01bOBeBLrkH1lY4VGb.jpg,0.6633,1,8.0,0,0,16,Released,False,,"Fantasy, Horror",,
20650,tt0001032,The Sealed Room,The Sealed Room,en,"The Count sets out to make a private room for him and his Countess, built in such a way no one can see, hear, and most importantly, disturb them. But unbeknownst to the Count, his wife has set her eyes on the court minstrel. Based on Edgar Allan Poe's “The Cask of Amontillado” and Honoré de Balzac's “La Grande Breteche”.",,1909-09-02,/4WvFZAlo5otviosadC7v6YLyMQE.jpg,0.7082,34,5.118,0,0,11,Released,False,/3EwGlAXJ8UBYknHZxw02kgoZH9u.jpg,"Romance, Drama, History, Horror",,
28196,tt0003643,The Avenging Conscience,The Avenging Conscience,en,"Thwarted by his despotic uncle from continuing his love affair, a young man's thoughts turn dark as he dwells on ways to deal with his uncle. Becoming convinced that murder is merely a natural part of life, he kills his uncle and hides the body. However, the man's conscience awakens; paranoia sets in and nightmarish visions begin to haunt him.",The criminal haunted by tortures of the mind,1914-08-02,/3NwXxPM7f3mHdlF6YylD3cao8CS.jpg,0.7913,33,5.9,0,0,83,Released,False,/bE7DnGWBaiQ8JxKO74pzqF0KuL6.jpg,"Drama, Horror",,
84512,tt0002813,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",,1913-03-06,/cJo4TgftAmU7rJdpEUiU2rIEJ77.jpg,0.6845,21,4.5,0,0,26,Released,False,/uE3CC3QPoZrCWx94GTEd32ETRuF.jpg,"Drama, Horror, Science Fiction",,
105166,tt0000172,The X-Ray Fiend,The X-Ray Fiend,en,"A romantic couple are transformed into skeletons via X-Rays. The film combines two very recent innovations: Wilhelm Roentgen's discovery of X-rays in 1895, and Georges Méliès' accidental realisation of the special-effects potential of the jump-cut in 1896.",,1897-10-01,/9W5EcN51j8eNrxqUwbQfoS6HUgZ.jpg,0.2424,63,5.5,0,0,1,Released,False,/tKnmOZJfNK5Wx874FU1Y7J1px3i.jpg,"Comedy, Horror",,
105408,tt0003424,Suspense.,Suspense.,en,"Abandoned by her maidservant in an isolated country house, a mother must protect herself and her baby from an invading tramp while her husband races home in a stolen car to save them.",,1913-07-06,/gSlKdlndjzIYwWblYSSZligMXuu.jpg,0.6399,113,7.0,0,0,11,Released,False,/pun9OylKFHAdlj3iNEifnR4jDWJ.jpg,"Drama, Thriller, Horror",,
130046,tt0000341,Uncle Josh's Nightmare,Uncle Josh's Nightmare,en,"Poor Uncle Josh is trying to get to sleep, but being constantly bedevilled by a fellow in red long underwear with horns. A short early trick editing film using a stationary camera much more valuable for its historical, rather than entertainment value.",,1900-03-01,/peN3L30TRi5MKlNrS369A7om6KB.jpg,0.2663,16,4.0,0,0,2,Released,False,,"Fantasy, Comedy, Horror",,
