id,title,year,tconst,titleType,primaryTitle,startYear,match_reason
802851,Charles,2022,tt9145132,video,Charles,2021,unique_year_fuzzy
724451,Halloween Awakening: The Legacy of Michael Myers,2012,tt2577470,movie,Halloween: Awakening,2012,unique
969048,Halloween Jack 3D,2022,tt21299554,movie,Halloween Jack 3D,2022,unique
953991,Scream: Legacy,2022,tt14031314,movie,Scream: Legacy,2022,unique
1015456,Red Right Hand,2022,tt21920834,movie,Red Right Hand,2022,unique
930916,Zombae,2022,tt19766558,movie,Zombae,2022,unique
1032049,Zero Waste,2022,tt27849980,movie,Zero Waste,2023,unique_year_fuzzy
675522,Murder Death Koreatown,2020,tt11777308,movie,Murder Death Koreatown,2020,unique
101611,Left 4 Dead - The Movie,2016,tt2055665,movie,Left 4 Dead: The Movie,2016,unique
463543,Fear of Silent Hill,2016,tt5466514,movie,Fear of Silent Hill,2016,unique
978599,Lurking,2022,tt19042674,movie,Lurking,2022,unique
533007,Dead In The Pool 2,1999,tt36721584,movie,Dead in the Pool 2,1999,unique
400643,The Go-Go Girl Strangler!,2000,tt13154978,video,The Go-Go Girl Strangler!,2000,unique
842098,Alien Swamp Beast,2018,tt14871090,movie,Alien Swamp Beast,2018,unique
573004,A Haunting on Finn Road: The Devil's Grove,2018,tt9584192,movie,A Haunting on Finn Road: The Devil's Grove,2018,unique
458092,Nosferatu: The First Vampire,1998,tt0353816,tvMovie,Nosferatu: The First Vampire,1998,unique
385976,Diana,2016,tt5531322,movie,Diana,2016,unique
716130,The Rental,2019,tt11889268,video,The Rental,2019,unique
1032628,Debunk,2022,tt32162066,tvMovie,Debunk,2022,unique
524433,The Unseen,2017,tt7273646,movie,The Unseen,2017,horror_disambiguated
804852,Siren head,2020,tt12706382,movie,Siren Head,2020,unique
465480,Media Studies,2017,tt7083740,movie,Media Studies,2017,unique
898714,Occult,2022,tt31457399,movie,Occult,2022,unique
719280,Fanga,2022,tt12373754,movie,Belle,2023,unique_year_fuzzy
687037,Family Man,2008,tt1082587,tvMovie,Family Man,2008,unique
654765,SantaClaus: A Horror Story,2016,tt5996652,movie,Santa Claus: A Horror Story,2016,unique
317793,The Alien Conspiracy: Grey Skies,2003,tt0386275,video,The Alien Conspiracy: Grey Skies,2003,unique
755157,Texas Death Trippin Ax-Tended Cut,2020,tt11860412,movie,Texas Death Trippin Ax-Tended Cut,2020,unique
759123,After School Hours,1998,tt36052362,video,After School Hours,1998,unique
762598,Halloween Night,2020,tt10520218,movie,Halloween Night,2020,unique
461059,Reel,2015,tt5089740,movie,Reel,2015,unique
456543,The Mime,2015,tt3744032,movie,The Mime,2015,unique
683803,Reel 2,2020,tt10196578,movie,Reel 2,2020,unique
841715,Halloween: The Death of Michael Myers,1996,tt9237424,movie,Halloween: The Death of Michael Myers,1996,unique
437978,The Omen,1995,tt0114036,tvMovie,The Omen,1995,unique
270176,Go To Hell,1999,tt0127499,movie,Go to Hell,1999,unique
479332,Dead in the Pool,1994,tt36721575,movie,Dead in the Pool,1994,unique
952730,Unwelcome Guests,2021,tt16392540,movie,Unwelcome Guests,2021,unique
451890,Beginning of Toire No Hanako-san,2011,tt6773298,movie,Beginning of Toire No Hanako-san,2011,unique
611596,Kafka's Supermarket,2019,tt10617618,movie,Kafka's Supermarket,2019,unique
236893,Highland Tower,2013,tt14755344,movie,Highland Tower,2013,unique
29652,Queen of Lost Island,1994,tt0229334,movie,Queen of Lost Island,1994,unique
337937,Master of Horror,1965,tt1503643,movie,Master of Horror,1965,unique
945071,Satu Untuk Selamanya,2022,tt18884826,movie,Satu untuk Selamanya,2022,unique
91405,Hantu Dalam Botol Kicap,2012,tt2203799,movie,Hantu dalam Botol Kicap,2012,unique
993119,Rotten Shadows,2022,tt28692449,movie,Rotten Shadows,2023,unique_year_fuzzy
693670,The Spooky Pumpkin,2020,tt12182450,movie,The Spooky Pumpkin,2020,unique
763427,The Woods,2020,tt12262808,movie,The Woods,2020,unique
341218,Legend of Horror,1972,tt0140324,movie,Legend of Horror,1971,unique_year_fuzzy
732114,Amityville Confidential,2006,tt17425054,movie,Amityville Confidential,2005,unique_year_fuzzy
954406,Spooked,2008,tt2438122,video,Spooked,2007,unique_year_fuzzy
799144,The Last Retreat,2021,tt38770982,movie,The Last Retreat,2021,unique
246485,Anak,2008,tt32741252,movie,Anak,2008,unique
292315,Jin,2014,tt2670226,movie,Jîn,2013,unique_year_fuzzy
311178,Double Exposure,2014,tt27748932,video,Double Exposure,2015,unique_year_fuzzy
336192,Jengka,2015,tt13892914,movie,Jengka,2015,unique
348306,CUT,2001,tt6235936,movie,Cut,2001,unique
348236,Scarecrowd: The Musk,2016,tt4866056,movie,Scarecrowd,2015,unique_year_fuzzy
377733,Apartmen,2015,tt16764074,movie,Apartment,2015,unique
382476,Demonator 4,2015,tt4893154,movie,Demonator 4,2015,unique
394939,Frankenstein Stalks,2000,tt4621298,video,Frankenstein Stalks,2000,unique
426730,Kecoh! Primadona Kena Hantu!,2016,tt32236802,movie,Kecoh! Primadona Kena Hantu!,2016,unique
450464,Creepin',2001,tt0326813,video,Creepin',2001,unique
451262,Between Two Worlds,2011,tt5763018,movie,Between Two Worlds,2011,horror_disambiguated
464466,The Z Triangle,2018,tt7646582,movie,The Z Triangle,2018,unique
478811,Zombie City,2017,tt9362394,video,Zombie City,2017,unique
481682,The Evil Cat,2008,tt27625324,movie,The Evil Cat,2008,unique
484061,House Within The Night,2019,tt27756365,movie,House Within the Night,2019,unique
498264,Steps From Hell,1991,tt13931752,movie,Steps from Hell,1990,unique_year_fuzzy
499278,Where the Journey Ends,2015,tt5284746,movie,Where the Journey Ends,2015,unique
505429,Troy Loxton's Father,2017,tt8019326,movie,Troy Loxton's Father,2017,unique
520795,Friday the 13th: No Man's Land,2010,tt2131519,movie,Friday the 13th: No Man's Land,2010,unique
521358,Don't Turn Around,2004,tt34378813,movie,Don't Turn Around,2004,unique
521499,P.O.V.,2009,tt34378689,movie,P.O.V.,2008,unique_year_fuzzy
525912,Dark Flower,2011,tt37349008,movie,Dark Flower,2011,unique
526578,Uberzombiefrau,2018,tt3689528,movie,Uberzombiefrau,2018,unique
533291,Vampire Woman,1996,tt4621250,video,Vampire Woman,1996,unique
538208,The Devil Ant,1999,tt4621290,video,The Devil Ant,1999,unique
542675,The Foaming Node,2018,tt37453103,movie,The Foaming Node,2018,unique
559844,Welcome to the Strange,2018,tt9291476,movie,Welcome to the Strange,2018,unique
569869,The Trees of the East,2018,tt16426178,movie,The Trees of the East,2018,unique
574492,Evil,2002,tt0352330,movie,The Evil,2003,horror_disambiguated_year_fuzzy
575437,Atrophy!,2018,tt8782690,movie,Atrophy,2018,unique
578168,Main Dukun,2014,tt38855343,movie,Main Dukun,2014,unique
581232,Bagman,2019,tt5328348,movie,Bagman,2020,unique_year_fuzzy
585197,The 9th,2014,tt2576812,movie,The 9th,2014,unique
