id,title,original_title,year,year_mode
661289,The Summers of IT: Chapter Two,The Summers of IT: Chapter Two,2019,none
800597,Registros Fatais 3: Apocalypse,Registros Fatais 3: Apocalypse,2012,none
911926,Issac,Issac,2022,none
1031141,Mad God Ghoul Log,Mad God Ghoul Log,2022,none
805104,"Hannibal Lecter, l'icône du mal par excellence","Hannibal Lecter, l'icône du mal par excellence",2010,none
267574,The Shining: Forwards and Backwards,The Shining: Forwards and Backwards,2011,none
845692,Murders,Murders,2022,none
454289,The Brandon Corey Story,The Brandon Corey Story,2006,none
1028005,Moon Light,Moon Light,2022,none
466658,Ennama Katha Vuduranga,Ennama Katha Vuduranga,2016,none
619290,Girls Gone Grabblin',Girls Gone Grabblin',2005,none
446297,Dr. Shagetz,Dr. Shagetz,1975,none
30456,Vampire Catholic School Girls from Hell,Vampire Catholic School Girls from Hell,2001,none
297548,Never Can Say Good-bye,Never Can Say Good-bye,2018,none
130972,The Night Marchers,The Night Marchers,2001,none
638265,Return of The Ghoul Log,Return of The Ghoul Log,2019,none
714358,The Making of The Battery,The Making of The Battery,2014,none
833639,Halloween Jack O'Lantern,Halloween Jack O'Lantern,2019,none
256795,Perawan Malam,Perawan Malam,1988,none
413708,Häxan: Witchcraft Through The Ages,Häxan: Witchcraft Through The Ages,1968,none
884093,American Apocalypse,American Apocalypse,2021,none
459856,The Pink Egg,The Pink Egg,2017,none
473544,Vault of Horror I,Vault of Horror I,1994,none
976432,The F13th Fan Film Mixtape,The F13th Fan Film Mixtape,2019,none
386037,Cannibal Killer Clowns On Dope,Cannibal Killer Clowns On Dope,2020,none
856547,Giallothon,Giallothon,2019,none
918547,Smut Without Smut: Satanic Horror Nite,Smut Without Smut: Satanic Horror Nite,2021,none
604487,Terror Tales of the Mandarin Orange Boy,Terror Tales of the Mandarin Orange Boy,2019,none
982419,Do Not Enter 2,Do Not Enter 2,2022,none
249602,The Beast,กองกอย พันธุ์นรกดูดวิญญาณ,2004,none
292227,Night is the Time For Killing,Night is the Time For Killing,1975,none
770165,Tersimpang Ke Alam Bunian,Tersimpang Ke Alam Bunian,2020,none
680369,Sleepless in Salamanca: Wildwood Sanitarium,Sleepless in Salamanca: Wildwood Sanitarium,2020,none
439943,Return Of The Snake Girl,Return Of The Snake Girl,2014,none
524138,Culinária Dumbo,Culinária Dumbo,2018,none
973911,The Legacy: A Ghost Story,The Legacy: A Ghost Story,2004,none
864844,Snuff,Snuff,2021,none
1005559,Heavy Metal vs. Dominator,Heavy Metal vs. Dominator,2005,none
756820,Face your Fears | Thriller shorts for Adults,Face your Fears | Thriller shorts for Adults,2020,none
923869,Urban Horror Series,Urban Horror Series,2021,none
273422,It Exists,Ia Wujud,2014,none
892259,Hunks on Haunted Hill,Hunks on Haunted Hill,2000,none
459614,Your Eyes Are Bleeding,Your Eyes Are Bleeding,2017,none
298347,Monkey Boy,Monkey Boy,1992,none
103708,Aggressive Behavior,Aggressive Behavior,2012,none
524577,The Unbelievable Channeling The Spirits,The Unbelievable Channeling The Spirits,2012,none
571155,Zombies Invade Pittsburg,Zombies Invade Pittsburg,1988,none
720667,INFINITY minus Infinity,INFINITY minus Infinity,2019,none
139879,The Lizard of Death,The Lizard of Death,2000,none
246023,Malam Penuh Bermisteri,Malam Penuh Bermisteri,2013,none
268758,1 Hour to Die 2,One Hour to Die 2,2013,none
268948,The Best Of Tromadance Film Festival: Volume 2,The Best Of Tromadance Film Festival: Volume 2,2003,none
273425,Cara Mengundang Hantu,Cara Mengundang Hantu,2014,none
276346,Cinema of Death,Cinema of Death,2006,none
300591,Mistik Syirik Tahyul,Mistik Syirik Tahyul,2014,none
320078,Kano Vision,Kano Vision,2012,none
330747,Eyewitness Murders: An Experiment in Reality Television,Eyewitness Murders: An Experiment in Reality Television,1988,none
361193,Death Reel,Death Reel,1986,none
400404,Perjanjian Syaitan,Perjanjian Syaitan,2016,none
421112,Ghostbox,Ghostbox,2015,none
432269,Supernatural Tales,Supernatural Tales,2015,none
448645,Nightmare from Snake,狂蟒凶靈,2003,none
455484,M4TI,M4TI,2017,none
462877,Weird Weird Movie Kids Do Not Watch The Movie,Weird Weird Movie Kids Do Not Watch The Movie,2013,none
469972,Self Decapitation,Self Decapitation,2017,none
472896,Summer Lake Massacre,Summer Lake Massacre,2018,none
478939,Lurid Crime Stories 2,Lurid Crime Stories 2,2004,none
478929,Photo Murders 2,Photo Murders 2,2003,none
