id,imdb_id,title,year,imdb_poster,source
4230,tt0128457,Scary Texas Movie,1997,https://m.media-amazon.com/images/M/MV5BZmI2OTQ1YTQtMmFjOS00MGFhLTg3NzAtY2I2YzllZjI4NzEyXkEyXkFqcGc@._V1_UX1000.jpg,suggest
4439,tt1848913,Goy,2007,https://m.media-amazon.com/images/M/MV5BMWJjODE4MWQtOTlkZC00MWEyLWIzMzItN2FhOWE1OTVhMWU4XkEyXkFqcGc@._V1_UX1000.jpg,suggest
11125,tt1110060,La Sceneggiatura,2006,https://m.media-amazon.com/images/M/MV5BY2Y5MDBjYTItNTZhOC00MWI2LWI4NWMtMWQxYzJiYTExODljXkEyXkFqcGc@._V1_UX1000.jpg,suggest
27731,tt0267288,B-Witched,2001,https://m.media-amazon.com/images/M/MV5BMWY1YTViZjktNWUzNi00ZTg3LWExNWYtMDljNGYzNGEzZWEyXkEyXkFqcGc@._V1_UX1000.jpg,suggest
27823,tt1372289,Pretty Bloody: The Women of Horror,2009,https://m.media-amazon.com/images/M/MV5BZTEyYjI5NDktMzI2Mi00NmFlLTg4M2ItMjllZmFjNWYwYWFhXkEyXkFqcGc@._V1_UX1000.jpg,suggest
28186,tt0241962,Sleepover Massacre,1989,https://m.media-amazon.com/images/M/MV5BMjViYjExZWEtMmFiNy00NGY0LTkxNTctMjVmYTI0MjgzZGFmXkEyXkFqcGc@._V1_UX1000.jpg,suggest
28947,tt14409796,Brinke's Tales of Horror,2007,https://m.media-amazon.com/images/M/MV5BMjAzZjkxN2ItNDU3NC00Nzk2LWFjZDYtOGIwMTU3MDc1OTFkXkEyXkFqcGc@._V1_UX1000.jpg,suggest
29432,tt1564363,Killer Hoo-Ha!,2010,https://m.media-amazon.com/images/M/MV5BYzY2M2E0ZjQtYTcxYi00MzU5LWEyNmYtMGRiYTE3ZDIwNDA0XkEyXkFqcGc@._V1_UX1000.jpg,suggest
29508,tt0450410,Dead Things,2005,https://m.media-amazon.com/images/M/MV5BZjUxMTVmZjMtZTQwMC00NTVhLWFjM2EtYmU0M2Y0Nzc0NGYwXkEyXkFqcGc@._V1_UX1000.jpg,suggest
29623,tt0465993,Final Appointment,2003,https://m.media-amazon.com/images/M/MV5BZmM5ODM5MGEtZmIzYi00MmEwLWI2MjktNDBiZjRkNTk5YThkXkEyXkFqcGc@._V1_UX1000.jpg,suggest
29708,tt0126713,Vampire Centerfolds,1998,https://m.media-amazon.com/images/M/MV5BMDBmMDIxZTQtMmRjYS00ZDY4LTkwZDQtZmI5M2JjNmVmOGMyXkEyXkFqcGc@._V1_UX1000.jpg,suggest
29711,tt0252883,Anemia,1986,https://m.media-amazon.com/images/M/MV5BM2UxNjQ2MTQtZTIwNi00YmQ5LWFjOGMtM2Y1ZmJjOTdiMjM0XkEyXkFqcGc@._V1_UX1000.jpg,suggest
29867,tt0201297,Vampire Femmes,1999,https://m.media-amazon.com/images/M/MV5BNWI5MTcxMWItMWU2Ny00ZmQ1LWE2ZGUtM2ZkMjM2MjZkN2M2XkEyXkFqcGc@._V1_UX1000.jpg,suggest
30380,tt0426629,Aconite,2005,https://m.media-amazon.com/images/M/MV5BZWFlYmU2YmYtZjYwZS00NTc0LTg2MTgtOTNmMTUyOTc2YjJkXkEyXkFqcGc@._V1_UX1000.jpg,suggest
30407,tt0180995,Shadows in the City,1991,https://m.media-amazon.com/images/M/MV5BYTk4M2QxYzAtNzgyZS00OGVmLTkxMjQtODIwMjI2YTQyNjRjXkEyXkFqcGc@._V1_UX1000.jpg,suggest
32508,tt1340561,The Chauffeur,2008,https://m.media-amazon.com/images/M/MV5BNzYwMWRiOWMtNTM4Yy00OTQyLWE2ZWItOWFkYzhhMjA5M2RkXkEyXkFqcGc@._V1_UX1000.jpg,suggest
36176,tt1200073,The Passenger,2006,https://m.media-amazon.com/images/M/MV5BMzY1NGM4YzYtOWJiZi00NDU4LTk3MDItYmNmNzNhZmVkYzkyXkEyXkFqcGc@._V1_UX1000.jpg,suggest
37869,tt1810793,The House of Orphans,2008,https://m.media-amazon.com/images/M/MV5BZTRiMmE4NzAtYzU2My00Zjg1LTg1N2EtNTllYzFiYzg4MDEwXkEyXkFqcGc@._V1_UX1000.jpg,suggest
38864,tt1050170,My Wife and My Dead Wife,2007,https://m.media-amazon.com/images/M/MV5BOTkwZDRmNzMtZGFmOC00Mjk0LTkyOGEtMGEzMTUwM2E0OWQ5XkEyXkFqcGc@._V1_UX1000.jpg,suggest
45825,tt0484077,The Voice,2004,https://m.media-amazon.com/images/M/MV5BNDg2YWQwMDItNTA1OC00YjE0LWE5YWQtMTM1ZWQ2OWUyYjRjXkEyXkFqcGc@._V1_UX1000.jpg,suggest
47111,tt0430001,The Death of Poe,2006,https://m.media-amazon.com/images/M/MV5BMTViYmYyMTctZDVhYi00MDdlLWJkMTktZjc1ZTUwY2U4MzVjXkEyXkFqcGc@._V1_UX1000.jpg,suggest
49599,tt1794759,Climax,2009,https://m.media-amazon.com/images/M/MV5BYWM3YTNjODMtMTdhMy00YTQzLTgyYmQtZDIwM2JjMTlmZDM1XkEyXkFqcGc@._V1_UX1000.jpg,suggest
55719,tt1097004,Justice Be Damned,2007,https://m.media-amazon.com/images/M/MV5BOGU5MmJlZjMtODIyMi00NTBjLTkwMTgtNmE0ZGIxZmJjMmYwXkEyXkFqcGc@._V1_UX1000.jpg,suggest
61116,tt0952643,Blade of the Vampire,2006,https://m.media-amazon.com/images/M/MV5BNGE5Y2E0ZDMtNzc0Ni00NDEwLWI5OTItNGE1NmY2Mzg0MGMwXkEyXkFqcGc@._V1_UX1000.jpg,suggest
69958,tt1323959,Suitable for Murder,2008,https://m.media-amazon.com/images/M/MV5BNzYyNjNhNGItNWFjZi00NmQyLWE3ZTktM2Y4OTcxOWI0ZWU1XkEyXkFqcGc@._V1_UX1000.jpg,suggest
70947,tt1932676,Momok Jangan Panggil Aku,2011,https://m.media-amazon.com/images/M/MV5BOTMwZWUyODctNzdhOC00YTQ1LWE3ZjUtMmI2MzVjYjQyZmQ0XkEyXkFqcGc@._V1_UX1000.jpg,suggest
77851,tt0128157,The Dead Father,1985,https://m.media-amazon.com/images/M/MV5BZGFkNmIyMmQtODg0Ni00YTg3LTg5OTAtOWI0OWYzMDc4N2RjXkEyXkFqcGc@._V1_UX1000.jpg,suggest
95698,tt1163271,Lockout,2007,https://m.media-amazon.com/images/M/MV5BMmY3N2Y0YWQtMzEyYy00ODg5LThmOTAtOTgxZTg2N2JmMjdmXkEyXkFqcGc@._V1_UX1000.jpg,suggest
100457,tt0137205,Scathed,1995,https://m.media-amazon.com/images/M/MV5BZWFkODk2M2UtMWQyNC00Y2ZkLTg4MDEtZGM5NGE5NzlmY2M4XkEyXkFqcGc@._V1_UX1000.jpg,suggest
