id,title,year
4230,Scary Texas Movie,1997
4439,Goy,2007
11125,La Sceneggiatura,2006
27731,B-Witched,2001
27823,Pretty Bloody: The Women of Horror,2009
28186,Sleepover Massacre,1989
28947,Brinke's Tales of Horror,2007
29432,Killer Hoo-Ha!,2010
29508,Dead Things,2005
29623,Final Appointment,2003
29708,Vampire Centerfolds,1998
29711,Anemia,1986
29867,Vampire Femmes,1999
30380,Aconite,2005
30407,Shadows in the City,1991
32508,The Chauffeur,2008
36176,The Passenger,2006
37869,The House of Orphans,2008
38864,My Wife and My Dead Wife,2007
45825,The Voice,2004
47111,The Death of Poe,2006
49599,Climax,2009
55719,Justice Be Damned,2007
61116,Blade of the Vampire,2006
69958,Suitable for Murder,2008
70947,Momok Jangan Panggil Aku,2011
77851,The Dead Father,1985
95698,Lockout,2007
100457,Scathed,1995
101364,Kid Safe: The Video,1988
101626,End of the Line,2008
101952,Teddy: It's Gonna Be a Bear,2011
102796,Portal,2009
106269,Rise of the Scarecrows,2009
108067,Überfall der Mörderrucksäcke,2006
117561,Urine Trouble,2006
120913,An Afternoon,2001
125987,Slaughter Tales,2012
129218,Dead Dreams of Monochrome Men,1989
129976,Sadismo,1967
130016,Blood Red Earth,2008
130626,Al Dente,2007
138269,The Insane,2006
138718,Night of the Punks,2010
138726,Murder Elite,1985
139791,The Thirteenth Day of Christmas,1985
142758,Deadly Renovations,2010
143599,Stump,2011
150588,Yule Die,2010
150765,Slaughter Claus,2011
150906,The Way to Shadow Garden,1954
151382,The House on Dame Street,1999
152032,How to Stop a Motor Car,1902
155319,The Shunned House,2012
159826,Broken Night,2013
161852,The Shriek,1933
166544,The Haunted Ship,1930
167401,Backroad,2012
168253,She's Not Alone!,2012
168382,Mrs. Amworth,1975
176497,Return to Innsmouth,1998
177100,U Mugs,2012
181726,Récompence,2010
188642,Killer Nurse,2008
190225,Stitches,2011
190234,Prey,2011
190248,Death Scenes,2012
195539,Davey Jones' Locker,1900
195606,Faust and Marguerite,1900
199105,The Auburn Hills Breakdown,2008
199840,Zombie Warrior,2006
208934,Razor's Ring,2008
211238,Soulmates,2008
211286,Eyam,2013
211301,The Last Flesh & Blood Show,2013
212237,Hell in a Handbag,2013
212858,The Braineater,2001
213130,Chatter,2010
213903,Darkest Soul,1994
214175,Les corbeaux,2009
216141,Doctor Strain the Body Snatcher,1991
216175,The Bloody Video Horror That Made Me Puke on My Aunt Gertrude,1989
216200,The Nutzoids at Cannibal Cove,1989
219816,InSpectres,2013
222861,Terminal Virus,1995
223051,The Black Woods Footage,2013
223084,Zombie on the Loose,2010
223085,HogMaul: The Legend of Abrams County,2013
223144,Final Curtain,2005
224650,Boogieman,1989
225298,The Veil,2005
225498,Lovely Monster,2011
225800,Love,2013
227555,Bloodbath,1999
227903,The Minstrel Killer,2009
228504,Dance Macabre,1986
229790,Echoes,2009
229801,Logan,2013
229894,Beating Hearts,2010
230004,Now That You're Dead,2009
230070,Stereotypes Don't Just Disappear Into Thin Air,2005
231502,"Young, High and Dead",2013
232022,Home Sweet Home,2013
232408,Scarlet Fry's Horrorama,1992
232799,Silly Scaries,2011
