id,imdb_id,title,year,reason
3408,tt0402861,Boy Frankenstein,1998,suggest no-image
3414,tt0463798,El último Frankenstein,2004,suggest no-image
25976,tt1554422,A Softer Touch,2009,suggest no-image
30044,tt0308362,Hell Night,2001,suggest no-image
46895,tt1219821,Biggie Smalls: Rap Phenomenon,2009,suggest no-image
65514,tt0477483,Zombie Hunter,2005,suggest no-image
75327,tt5874614,Die Teufelsinsel,2001,suggest no-image
80737,tt1347137,Don't Lose Heart,2008,suggest no-image
99530,tt1552088,OTHERWORLDS #1 - KITTY-KITTY,2011,suggest no-image
102309,tt2102478,Zombie Bohemia,2011,suggest no-image
102312,tt2104898,For Love of Zombies,2011,suggest no-image
108641,tt1521700,Blood Work,2009,suggest no-image
114153,tt0832455,Rapid Eye Movement,2006,suggest no-image
119142,tt2111254,A Way Out,2011,suggest no-image
131674,tt0391444,Season of the Troll,2001,suggest no-image
147812,tt0418957,A Nightmare on Castro Street,2002,suggest no-image
179344,tt2330739,Bitten,2008,suggest no-image
179358,tt1733526,KidZ,2010,suggest no-image
185295,tt1587307,Grindhouse,2003,suggest no-image
197201,tt1541741,Fantasy Beyond,2006,suggest no-image
197817,tt0251778,Kog-Head and Meatus,2000,suggest no-image
207457,tt1193487,First Glance,,suggest no-image
211862,tt0832520,Teddy Bears' Picnic,2006,suggest no-image
212286,tt3054998,Ninja Clown Monster,2008,suggest no-image
212908,tt1733575,Ludlow,2010,suggest no-image
213324,tt0883361,Containment,2006,suggest no-image
213783,tt0428655,I Hate You,2004,suggest no-image
213792,tt1471291,Wishbone,2000,suggest no-image
220775,tt0135070,Le zombi de Cap-Rouge,1997,suggest no-image
223050,tt2559960,Zombie Girl Diary,2013,suggest no-image
225294,tt2281175,Dark Times,2010,suggest no-image
226767,tt1358922,Amy's Torch,2008,suggest no-image
228678,tt3228152,Caídos,2013,suggest no-image
230008,tt1347078,Parasitic,2009,suggest no-image
231528,tt0927633,Puppeteer,2006,suggest no-image
231683,tt3072682,Streamer,2013,suggest no-image
239215,tt38510966,Mysterium Noctis,2004,suggest no-image
252848,tt1134998,A Pleasant Terror: The Life and Ghosts of M.R. James,1995,suggest no-image
253755,tt3369776,The Scorpion's Sting,2013,suggest no-image
255848,tt3056634,Pluto and the Vessel,2013,suggest no-image
257904,tt3574968,Feedback,2014,suggest no-image
267078,tt3922110,The Skin of Your Teeth,2009,suggest no-image
269857,tt0484038,The Girlfriend,2005,suggest no-image
270314,tt1356528,The Heart of the Damned,2008,suggest no-image
270424,tt0142320,Good Day for the Bad Guys,1995,suggest no-image
272617,tt1693752,Mockingbird,2010,suggest no-image
280599,tt1781889,Presence of Darkness,2010,suggest no-image
280670,tt1345500,The Monkey's Paw,1978,suggest no-image
281657,tt2339721,The Old Chair,2012,suggest no-image
283224,tt2265162,Death Rattle,2012,suggest no-image
285067,tt2333840,Dark Surface,2012,suggest no-image
287258,tt2315400,Viola,1967,suggest no-image
287644,tt2396888,Occupational Hazard,2012,suggest no-image
287937,tt2749114,The Cuckoo in the Clock,2014,suggest no-image
291031,tt1831802,The Sanctuary,2010,suggest no-image
292601,tt0481010,Brutalos,1998,suggest no-image
292720,tt3058430,Deadville,2010,suggest no-image
295427,tt3900630,The Disappeared,2014,suggest no-image
297431,tt3591868,Kamandag Ni Venus,2014,suggest no-image
298487,tt4892974,Last Breath,2014,suggest no-image
302289,tt3780366,The Present,2014,suggest no-image
302618,tt4149612,Hit,2011,suggest no-image
303772,tt0352330,The Evil,2003,suggest no-image
311699,tt3098958,Video Macumba,1991,suggest no-image
312756,tt3574242,We'll Be Happy Over There,2014,suggest no-image
314234,tt0196150,Terror in the Mortuary Chapel,1980,suggest no-image
317982,tt0353340,Dead Bunnies,1983,suggest no-image
322050,tt0309712,Human Affairs Are Nothing,1975,suggest no-image
325501,tt0299042,Mother's Day: What a Horror!,1995,suggest no-image
325618,tt4237900,The Hunt for the House on Cuckoo Lane,2011,suggest no-image
325837,tt0834065,Coup Manqué,1971,suggest no-image
326012,tt2286560,Frankenstein,2011,suggest no-image
327533,tt4078074,Sector Zero4,2014,suggest no-image
327653,tt0389837,Carmilla,2000,suggest no-image
330222,tt0378770,Sister LuLu,2001,suggest no-image
333428,tt4497786,Devotion To The Looking Glass,2015,suggest no-image
334271,tt3829424,Switched,2015,suggest no-image
334999,tt4575182,Grey Matter,2006,suggest no-image
337072,tt0273495,Chilling,1974,suggest no-image
337232,tt0229228,Baddesley Manor: The Phantom Gambler,1926,suggest no-image
337240,tt0003660,The Basilisk,1914,suggest no-image
339661,tt4620154,From Hollywood with Love,2015,suggest no-image
340646,tt2070830,Super Hell 3,2014,suggest no-image
341610,tt2174552,The Flea,2008,suggest no-image
341732,tt1756530,Gillespie,2010,suggest no-image
341857,tt1695428,White Room,2010,suggest no-image
341989,tt0022870,The Face at the Window,1932,suggest no-image
344051,tt4093670,Blissful Banquet,2015,suggest no-image
346482,tt0405044,The Incredible Torture Trio,2004,suggest no-image
346826,tt1754692,The Pink Hotel,2010,suggest no-image
347262,tt4824474,Working Stiff,2002,suggest no-image
348154,tt0499179,16 Days 'til the Rest of Your Life,2005,suggest no-image
348164,tt1865507,Stained,2006,suggest no-image
350073,tt4701896,The Ballad of Jeffrey,2015,suggest no-image
350872,tt3242458,"Los Caminantes, Revelación",2013,suggest no-image
352325,tt2017496,Devil's Due,2011,suggest no-image
354328,tt7261314,Run,2015,suggest no-image
354333,tt1853662,Spike,2009,suggest no-image
359072,tt2400112,Midnight Daisy,2013,suggest no-image
360368,tt2016283,Silent Sins,2011,suggest no-image
362683,tt2308447,A Cry in the Night,1915,suggest no-image
363067,tt0285633,The Jest,1921,suggest no-image
363809,tt2378067,Abed,2012,suggest no-image
365840,tt4603658,Black Eyes,2015,suggest no-image
366115,tt5161832,Still Alive,2015,suggest no-image
366134,tt5154206,Angie + Zahra,2015,suggest no-image
366399,tt0352310,The Early 70's Horror Trailer,1999,suggest no-image
370564,tt1733677,The Living Want Me Dead,2011,suggest no-image
371875,tt1826776,Night Tales,2011,suggest no-image
372579,tt3180128,Watch This,2013,suggest no-image
372827,tt0999925,The Visiting,2007,suggest no-image
375482,tt1586754,Whatever Happened to Peaches Christ?,2004,suggest no-image
375829,tt6522396,Shoals,2011,suggest no-image
379313,tt4949708,Hungry,2015,suggest no-image
379859,tt4456430,We All Go the Same,2015,suggest no-image
382677,tt0800066,Hell Bent for Whiskey,2005,suggest no-image
383570,tt3859336,Til Night Redux,2014,suggest no-image
385659,tt0110599,Murmuration,2016,suggest no-image
385941,tt3718214,Tick Tick Tick,2013,suggest no-image
386231,tt2387020,Pelt,2012,suggest no-image
386372,tt1314347,Shapes,2008,suggest no-image
386705,tt1534334,Do Not Disturb,2009,suggest no-image
392525,tt4624662,That Towering Oak,2015,suggest no-image
392765,tt1773302,Behold,2010,suggest no-image
393206,tt5205600,The Werewolf's Greatest Hit,2016,suggest no-image
393208,tt5554084,Clownz,2016,suggest no-image
395430,tt2071452,Dorothy,2012,suggest no-image
396003,tt5447376,Grotesque Fantasies,2003,suggest no-image
396537,tt2459148,"I love you, Jamie",2012,suggest no-image
396542,tt4010856,Stranger,2013,suggest no-image
400781,tt5464912,Milk & Cookies,2015,suggest no-image
401265,tt5737754,Witchfinder,,suggest no-image
401407,tt4438570,House of Straw,2015,suggest no-image
401586,tt0166575,Dimension,1984,suggest no-image
405057,tt0439886,Y2K: Shutdown Detected,1999,suggest no-image
406849,tt1485691,Charm,2002,suggest no-image
407323,tt0456005,The Shrieking,2008,suggest no-image
407593,tt5850420,The Ditch,2008,suggest no-image
407923,tt1367238,Mortified,2009,suggest no-image
407926,tt1458462,Hunter's Moon,2010,suggest no-image
408088,tt0182527,The Waxing Moon,1976,suggest no-image
410473,tt3945844,Sour Milk,2014,suggest no-image
418404,tt3711140,Evil Dark,2014,suggest no-image
418406,tt1756642,Night on Has Been Mountain,2010,suggest no-image
418557,tt0275648,Blood Dreams,1991,suggest no-image
419525,tt6022812,Jockstrap Slaughterhouse,2016,suggest no-image
419638,tt3120942,Clara Militch,,suggest no-image
419774,tt0094719,Because the Dawn,1988,suggest no-image
421565,tt6147376,Don't Do It,2016,suggest no-image
421676,tt0337822,Amy Strangled a Small Child,1998,suggest no-image
423363,tt3835248,Voice,2014,suggest no-image
423579,tt0992919,In Memory of Laura,1997,suggest no-image
423666,tt5774244,Bite Radius,2016,suggest no-image
425268,tt26422627,The Exhumation,1986,suggest no-image
427765,tt5498508,Max,2016,suggest no-image
429148,tt6250968,Swallowtail,2016,suggest no-image
433926,tt2113726,Night of Horror,2010,suggest no-image
436808,tt0265856,The Tell-Tale Heart,1939,suggest no-image
437625,tt1337016,The Philosopher's Stone,2008,suggest no-image
439384,tt2177775,The Python,2003,suggest no-image
439404,tt2308713,Heba The Snake Woman,1915,suggest no-image
441081,tt0337949,Crippled,1992,suggest no-image
441087,tt0338456,Speed Freaks With Guns,1991,suggest no-image
441088,tt0337939,Communion In Room 410,1988,suggest no-image
442029,tt4491478,When They Say You're Alone,2014,suggest no-image
444872,tt0263292,Dungeon of Death,1989,suggest no-image
444876,tt0261791,Legal Entrapment,1996,suggest no-image
444903,tt0265812,Strangled 3: Blood Test,1996,suggest no-image
444932,tt0769758,Cannibal Sacrifice,2004,suggest no-image
