id,imdb_id,title,year,director,imdb_directors,match,imdb_year
103708,tt1850459,Aggressive Behavior,2012,Stefan Smith,Stefan Smith,year_director,2011
268758,tt2299389,1 Hour to Die 2,2013,Philip Gardiner,Philip Gardiner,year_director,2012
478818,tt5905334,Snuff TV,2004,Carl J. Sukenick,Carl J. Sukenick,year_director,2016
558482,tt21441218,Brutal Bigfoot,2018,James Snell,James Snell,year_director,2018
690085,tt12866936,Italy Possessed: A Brief History of Exorcist Rip-Offs,2020,Giuliano Emanuele; Eugenio Ercolani; Alessio Di Rocco,Alessio Di Rocco; Giuliano Emanuele; Eugenio Ercolani,year_director,2020
923855,tt17010770,Mysterious! Ambilly Bubble Spirit Medium,2004,Mamiko Hiwatari,Mamiko Hiwatari; Kazuyuki Sakamoto; Kôji Shiraishi,year_director,2002
362702,tt0235251,The Skulls of Terror Return,1944,Fernando Méndez,Fernando Méndez,year_director,1944
1019581,tt22006188,Gouge Away,2023,Jeff Frumess,Jeff Frumess,year_director,
1160618,tt28865982,Variant II,2023,Joe Meredith,Joe Meredith,year_director,2023
1198618,tt29355254,"Young Blondes, Stalked and Murdered",2024,Nick Funess,Rhonda Douek; Nick Funess,year_director,
1225091,tt43717090,Sex Pervert Kills A Sasquach,2023,Elliot Scott,Elliott Scott,year_director,2023
1336344,tt22796490,I'm Heather,2023,J. Tech,J. Tech,year_director,
1337800,tt29685732,The Punk Rocker's Ghost,2024,John Orrichio,John Orrichio,year_director,
1357778,tt26920161,Chasing Zombies,2024,Mike Ancas; Jesse Hutchins,Mike Ancas; Jesse Hutchins,year_director,2024
1365229,tt33571977,Beautiful Dreams,2025,Matt Bolvari,Matt Bolvari,year_director,
1400005,tt23476588,Son Of Gacy: Chapter One,2023,Pete Jacelone,Pete Jacelone,year_director,2024
1511111,tt39167505,The Things We Keep,2025,Joshua D Taylor; Joshua Minnix,Josh Minnix; Joshua D Taylor,year_director,
1555096,tt38572723,The Book of Hades,2025,William Clapp,William Clapp,year_director,2025
1730682,tt35463326,Lifeforms,2025,Dustin Ferguson,Dustin Ferguson,year_director,
1473792,tt33083538,Dollar Store Killers,2025,Cleve Braddy,Cleve E. Braddy,year_director,2025
1536383,tt31322095,The Veiled Abyss,2024,Hayley Paultyn,Hayley Paultyn,year_director,
1555576,tt36484338,Spite,2025,Carolynn Cecilia,Carolynn Cecilia,year_director,
1691931,tt43645326,LAKESVILLE MOVIE,2026,"William ""Roxie"" Haylor",William Haylor,year_director,2026
