id,title,year
3414,El último Frankenstein,2004
43280,L'armadio,2002
80737,Don't Lose Heart,2008
108641,Blood Work,2009
185295,Grindhouse,2003
212017,Bootlegger of the Damned,2007
220775,Le zombi de Cap-Rouge,1997
226767,Amy's Torch,2008
239215,Mysterium Noctis,2004
253755,The Scorpion's Sting,2013
267078,The Skin of Your Teeth,2009
280670,The Monkey's Paw,1978
283224,Death Rattle,2012
287644,Occupational Hazard,2012
291031,The Sanctuary,2010
292601,Brutalos,1998
292720,Deadville,2010
302289,The Present,2014
302618,Hit,2011
303772,The Evil,2003
312756,We'll Be Happy Over There,2014
314234,Terror en la capilla mortuoria,1980
317982,Dead Bunnies,1983
322046,A Young Lady's Resentment,1974
322403,Reversed Enemy,1982
325618,The Hunt for the House on Cuckoo Lane,2011
325837,Coup Manqué,1971
326012,Frankenstein,2011
333436,Paraphilia: Necrophile Passion II,2014
337072,Chilling,1974
339661,From Hollywood with Love,2015
341732,Gillespie,2010
342435,Don't Go in the Fucking Woods,2002
348154,16 Days 'til the Rest of Your Life,2005
348164,Stained,2006
352325,Devil's Due,2011
365840,Black Eyes,2015
370564,The Living Want Me Dead,2011
371875,Night Tales,2011
372827,The Visiting,2007
379313,Hungry,2015
379859,We All Go the Same,2015
383570,Til Night Redux,2014
393206,The Werewolf's Greatest Hit,2016
393208,Clownz,2016
406849,Charm,2002
407593,The Ditch,2008
408088,The Waxing Moon,1976
418406,Night on Has Been Mountain,2010
419525,Jockstrap Slaughterhouse,2016
421565,Don't Do It,2016
423579,In Memory of Laura,1997
423666,Bite Radius,2016
427765,Max,2016
442029,When They Say You're Alone,2014
450230,The Eternal,2016
464389,Birds of Prey,1998
468421,Filler!,2008
473963,The Wicked,2001
481889,The Good Samaritan,2017
490126,The Thing in the Roof,2002
491516,Beartrap,2009
497521,Healers,2013
497637,Parasite,2006
499497,Feed Me,2013
509101,You Going to Die,2014
512304,All Hallowe'en,1953
521393,Fade to Black,2001
526877,Josh,2017
537963,Judas,2015
548725,College Fright Night,2014
549466,Fae,2017
551074,TWO,2006
552338,Breed,2023
558087,Madder Isle,2018
564825,Meat,1997
580279,The Intruder,2005
582889,A Taste of Flesh,1976
609581,In the Kitchen With,2016
616801,The Northwoods,2021
641382,Piano,2014
642100,Into the Darkness,2005
643969,Between Heaven and Hell,2010
658503,The Dark,2013
658642,Sinful,2019
659415,Werewolf of Nashville,2009
659416,Summer of the Mummy,2009
666883,Perfect,2003
679865,Crab Boy,1996
689688,In the Back,2012
693066,Mumsie,2003
694481,Colore Non Vedenti,2009
695183,Black Heart,1994
695647,In Shadows,2015
699008,Casonetto's Last Song,2003
701727,The Other Side,2018
706483,Honeymoon Murders,1990
706486,Honeymoon Murders II,1990
708455,Petrified Beast from the Frozen Zone,1990
708660,Zandor and Friends,2020
709805,Zombie Party,1989
709987,The Demon From Devil's Lake,1964
721825,Stiffed,2011
724162,Regeneration,1987
726040,The Nothing Deal,2000
727577,Rats in the Walls,2020
729873,3 Day Weekend,2009
730159,As They Fall,2008
730161,"Aune, or On Effective Demise",2013
734637,All Hallow's Eve,2002
742538,Nishkinata,2021
744404,Inside,2004
744410,Mr. Eryams,2004
744423,Disturbances,2004
744430,A Man and His Finger,2004
744534,Working with a Master: Dario Argento,2006
744774,The Search for Inflata-boy,2003
745657,Return to the Bermuda Triangle,2010
746245,Mombies,2009
751372,Fasa: The Basement,2017
752694,Fasa: Children of Evil,2012
755795,The Early House,2020
755878,The Withered Dead,2010
758802,Fasa: The Clown,2014
763014,Nightfill,2006
765199,Beyond Reach,2009
766326,The Darkening,1997
769391,The Tap Tap Lady,2015
773108,The Hearts of Age,1997
773568,As Long as He Lives,1998
777488,Strange Life: The Breech,1998
779655,"Devil in the White City, Julia Conner's Murder",2016
792543,Newborn,2014
796066,The Little One,2004
796165,The Making of One Missed Call: Final,2006
800453,The Wedding Ritual,2020
803429,Face to Face with The Fear,2021
804617,The Witch & the Woodsman,2010
809673,Turn Off the Lights,2017
811751,The Janitor,2019
816915,La Blague,2021
827994,American Cannibals,2007
839394,Outside the Law: The Scanner Cop Revolution,2021
840885,The Organist,2014
841655,Hex of the Vulture,2007
843939,Mud Boy,2009
848787,Fine-toothed Festivities,2021
853602,The Coastal Path,2014
854818,Trader Jack,2010
856056,Rose City Underground: Earthsong,2021
856864,Something in the Basement,1986
858487,Hurt Luv,2020
861199,Executioner 2: Electric Boogaloo,2021
862720,The Mortified,2011
863779,No Haunt for a Gentleman,1952
877759,Stalker,2017
882438,Working Stiffs,2008
885117,Things That Go Bump,1997
889423,Don't Look Away,2016
889927,Helter Skelter,2018
892700,What Goes Around,2015
896663,Lamaze of the Dead,2009
904417,The Monster,2008
904471,Garden Wedding,2007
911931,Ghosts in the Machine,2009
931312,Five Remakes of Ringu,2020
931313,The Legend of Helium Mary,2022
931348,Consequences,2022
934729,Moonlight Exigent,2022
938145,Cry,2002
938156,Through A Vulture Eye,2006
947065,Safe Inside,2021
947933,Left Hand Drive,1993
949733,Party 85,2015
954177,Possessions,1980
955336,Dead by Dawn 2 - the Mask of Conrad,2004
969757,Playtime,2021
975512,The Caterer,2008
977062,The Draft,2006
978673,Slaughter Among Pigs,2009
986437,Control,2019
994008,Dopplebanger,2022
996851,Mortice,1999
1001433,Intestines from Space,1978
1017821,Love and Curses... and All That Jazz,1991
1118513,The Unusualist,2023
1137121,The Herp,2023
1152336,The DoubleWalker,2023
1179635,Family Tree,2023
1184902,Find You Here,2023
1190712,Similar Suspects,2023
1206636,The Evil Within,2024
1259424,Lisa Tries Love,2023
1262389,Jimpardy,2023
1275648,Liminal,2024
1318154,Pest of the Mind,2024
1337295,Devil's Work,2025
1362425,Camera Obscura,2024
1370430,Project Spooky,2024
1384299,Echoes of Hope,2024
1405687,Rabid Reels,2025
1418314,Cleansing,2024
1430450,The Knock,2025
1438152,Jinx,2024
1459122,Renascence,2025
1463368,The Enemy,2025
1484499,Unholy Smokes,2024
1503405,Friend Shaped,2025
1557147,Murder Cabin,2025
1566810,The Lost Lily,2025
1592780,Gotcha,2025
1631971,Tammy's Cookies,2025
1637806,"Grandma, Where Are You?",2025
1641390,Grimoire du Souris: Sanctum Regnum,2025
1646028,djuna + lilith,2025
1661211,Nightcap,2023
1724548,The Crooked Man,2024
