id,title,year
1631640,Satan at Play,1907.0
1376013,Two of a Kind,1949.0
1376010,The Dress Rehearsal,1949.0
1376006,The Rendezvous,1949.0
1376004,Confession,1949.0
955121,The Short SA4,1952.0
1216156,The Raven,1954.0
1569464,Return of the Creature,1955.0
1301371,Dr. Jekyll and Mr. Hyde,1956.0
1391927,The Creature,1957.0
700373,Desire in a Public Dump,1958.0
1391936,Death Wears a Mask,1962.0
344642,Angelic Frankenstein,1964.0
1602499,Dr. Bigelow's Monster,1966.0
1293711,Perchance to Scream,1967.0
512530,Dracula's Wedding Day,1967.0
690797,Pursued,1968.0
1306572,Thark,1968.0
1028614,The Dunsmore Devil Worshippers,1971.0
1451695,The House That Jack Built,1971.0
1567025,The Silverfish King,1973.0
1563070,Then Came Ecstasy,1975.0
1060040,House of dead,1978.0
1041636,The Return of the Beast of Terror,1978.0
915567,"Star, Baby",1979.0
1407526,The Axe,1979.0
1293190,The Wind,1980.0
766070,Behind Blue Eyes,1980.0
1407530,Scarecrow,1980.0
1561034,Vampyr,1981.0
1234356,The Life of Percy,1982.0
1234353,Unhappy Returns,1982.0
1018698,The Adventures of The Walla Monster,1982.0
1018695,The Paroxysm Plague,1982.0
1561032,Retribution,1983.0
1234349,Vampire,1983.0
1640023,Nightfright,1984.0
1624015,Nightmare Call-In Theatre,1984.0
1571909,Beware of the Boogeyman,1984.0
1597803,X-Ray,1984.0
1353903,The 1984 Scary Awards,1984.0
1575124,The killer hula hoop,1985.0
697189,Shadows,1986.0
1602079,The Virus,1986.0
410841,Angel of Light,1986.0
1223350,Blood Flood,1986.0
1666819,Part VII,1987.0
1432060,Zug,1987.0
1353660,Grampa Presents Carnival Of Souls,1988.0
741276,Upper Michigan Tonight,1988.0
1565541,Stop,1989.0
1033502,Slaughter Day IV,1989.0
1033500,Slaughter Day III,1989.0
1033498,Slaughter Day II,1989.0
1171455,Hockey Man,1989.0
1405519,Nightmare,1990.0
1712607,Gargoyle and Goblin,1990.0
1696145,The Nose,1990.0
1686603,Death World,1991.0
1169261,The Toxic Kid,1991.0
1625952,Satan's Nephew,1991.0
1304220,Bride of Re-Animator Documentary,1991.0
1734939,Phone Line,1991.0
1656324,Invasion of the Space Zombies,1992.0
1078478,Technacide,1992.0
1078476,Alex,1992.0
806778,Till Death,1992.0
1671427,Sad Man,1993.0
759244,Dienstag (once upon a Tuesday),1993.0
418259,A Mother's Vengeance,1993.0
229198,Bells of Waiting,1993.0
1462629,Shadows,1994.0
955848,Kaspar in: New York,1994.0
1555955,Thrill Kill,1994.0
1310728,The Recess,1995.0
1141206,Blinded by the Blood 2: Creep,1995.0
1401471,Maggot,1996.0
1310743,Stephen Arthur's Computer Animation Series: Compilation #1,1996.0
761047,The Kindness of Strangers,1996.0
1680956,Plastic Hell,1997.0
1490848,The Horror Of Blood Moon,1997.0
1234184,Video Nasties,1997.0
816495,Hubcap,1997.0
1653165,The Love of Victoria Anus,1998.0
1628041,After the Beep,1998.0
1529529,Columbus Day Weekend,1998.0
1096501,Mr Tomkins and the NHS,1998.0
819341,Divorcing Jesus,1998.0
815278,3-D ME,1998.0
728401,Succubus,1998.0
732475,Haunted Histories: Zombies,1998.0
1318028,Fempyra,1999.0
1171474,The Black Wolf Project,1999.0
592960,Cannibal Vampire School Girls from Outer Space,1999.0
1569099,The Sleepover,1999.0
426507,Dead Girls Don't Say Goodbye,2000.0
819713,Chew the Fat,2000.0
1464972,Blade of the Spatula: The Spatula Murders II,2001.0
1399256,Living Dead World,2001.0
484834,911,2001.0
426519,Lucifer's Lovers,2001.0
87590,Zombie Jamboree: The Day the Dead..uh..Weren't,2001.0
1511356,Little Red Riding Hood,2002.0
1439432,Dead Boys Club,2002.0
1414540,Waker Safety,2002.0
1305793,Alice,2002.0
1230836,Recycled,2002.0
1189981,Østers,2002.0
1181499,Saul's Pupils,2002.0
1149835,An Early Movie,2002.0
735592,Unloved,2002.0
1529531,"Oh, Sherrie",2002.0
1641937,Attack of the Giant Turtle,2003.0
1641935,The Strain,2003.0
1641930,Dirty Scales,2003.0
1641929,Cocktails at Midnight,2003.0
1529534,The Real World Hollywood,2003.0
1240338,Apparition,2003.0
742568,The Hap Hapgood Story,2003.0
594458,Sheep's Clothing,2003.0
594454,Dark Rose: 700 Year Itch,2003.0
742573,Lost Souls,2003.0
740393,Yamaba,2003.0
732476,Heartbroken Trip,2003.0
1221008,The Last F*ck,2003.0
1529533,Steven's Room,2003.0
1221005,"Die, F*ggot, Die!",2003.0
1681343,Amid the Dead,2004.0
1660271,Azathoth,2004.0
1655190,The Love Craft,2004.0
1655182,Shadowdog,2004.0
1414537,Vows,2004.0
1251563,Rez-Erection,2004.0
594465,Crying Wolf,2004.0
1526852,Killer Weed,2004.0
1529540,Trick or Treat,2005.0
1228122,Home video,2005.0
1113604,Model Kill,2005.0
1113956,The Handyman,2005.0
1732782,PMS Survival Tips,2005.0
1623870,Mommy May I Sleep with Death: The Virginia Scum Story,2005.0
1007552,Black Woods,2005.0
1660304,Dying,2006.0
1448903,The Sphynx,2006.0
1420363,Mariscos e Miolos,2006.0
1418707,On Blood and Wings,2006.0
1380307,Babyface,2006.0
1159760,Return to Bronson Canyon,2006.0
735880,Ghosts of Chillingham Castle,2006.0
606432,Valentines Massacre,2006.0
30498,All Hallows,2006.0
1526861,Killer Weed 2,2006.0
1691493,Sleep,2006.0
1228069,The Passion of Zombie Jesus,2006.0
865114,Night Marchers II: Return Of The Ka'ai,2006.0
1662084,The Shadow Traveler,2007.0
1483389,Amalgam,2007.0
1408373,Sacrificed,2007.0
1139143,"He Loves Me, He Loves Me Not",2007.0
1059142,Decadence Of Flesh,2007.0
218607,"Hey, You've Got Zombies in Your Backyard",2007.0
212027,Dead Fortunate,2007.0
670127,Real Thing,2007.0
147740,H.I.Z. (Erection Der Zombie),2007.0
5655,Dairy of Terror,2007.0
1683532,Self Preservation,2008.0
1660837,The Call of Cthulhu,2008.0
1435175,Pickman's Song,2008.0
1403250,School of the Dead,2008.0
1189512,A Little Less Living - The Inglorious Zombie Bastards,2008.0
439421,Spiritual Of Snake,2008.0
87616,Zombie Zinger: A Bedtime Story,2008.0
1281412,Amateur Porn Star Killer 2: Snuff Edition,2008.0
1482395,The Best of Care,2008.0
1259840,They Hunger,2008.0
1378965,Don't Go in the Woods,2008.0
1070772,Little Sister Gone,2008.0
732465,"Great Cemetaries of the World: Metarie & St. Louis New Orleans, Louisiana",2008.0
964434,DECAMPMENT,2008.0
1667945,Malfunction,2009.0
1482259,Baby Sounds,2009.0
1461995,The Fridge Monster,2009.0
1459159,Five Minutes Earlier,2009.0
309102,Castle Ghosts of the British Isles,2009.0
1221158,Mirror,2009.0
338510,The Occulist,2009.0
1660306,Fhtagn,2009.0
1431844,Shoeicide,2010.0
1416944,The Bad Cookie,2010.0
1407518,Adam Mudman's House o' Pancakes,2010.0
977638,"HALF ASS CARTOON - ""Tom Wants Head""",2010.0
977637,"HALF ASS CARTOON 2 - ""Kate Wants Drugs""",2010.0
272320,The Uninvited,2010.0
1391659,Evil Haunted House - Ghost uses toy to talk!,2010.0
938116,Deliver Me,2010.0
1660822,The Call,2010.0
386865,Jack,2010.0
1276802,Exposure,2010.0
1141668,Alien Mutation Thingy,2010.0
1660143,The Lurking Fear,2010.0
1221163,Ballface.,2010.0
1662085,The Call of Cthulhu in Under 2 Minutes,2010.0
1667216,Shoreditch of the Dead,2010.0
386883,Doppelganger,2010.0
1659140,Dunwich,2010.0
1659133,Call of C'thulu,2010.0
1237431,Heather and Puggly's Christmas Special,2010.0
1659785,The Forbidden Forest,2011.0
1529544,Downloading and You,2011.0
1482541,Trapped by the Trapper,2011.0
1467916,Slavegirl Auction: The Abduction Files,2011.0
1447805,Black Horizon,2011.0
1400213,They All Die,2011.0
406072,Call to Forehead,2011.0
1280647,Late Afternoon of the Dead,2011.0
1662071,The Courtyard,2011.0
1662140,Rumblings,2011.0
1161151,The Swarm,2011.0
763038,The Gamers: Curse of the Cart,2011.0
218038,Phi Nong Mia,2011.0
1270416,Death Lake - The Movie,2011.0
1660819,Of Love and Sea Monsters,2011.0
1667328,Human Nature,2012.0
1661461,A Cruel Tale: Return to the Dream,2012.0
1413769,The Wooden Mirror,2012.0
1410730,Brine Leak,2012.0
273714,Ghost and Demon Children of the Damned,2012.0
505200,Taped Nightmare,2012.0
1451310,The Evil Bread,2012.0
1356776,The Night Before Christmas,2012.0
1370236,Mad Dog,2012.0
197154,Following Death,2012.0
1416981,Barbershop of Horrors,2012.0
1077737,Wendigo,2012.0
1661601,Withdrawal,2012.0
1232715,Killer Willy - A Horror Tale,2012.0
1660235,H.P. Lovecraft's The Outsider,2012.0
1660130,The Thing on the Doorstep,2012.0
1662067,The Enlightenment of Inspector Legrasse,2012.0
1467064,The Paper Mask,2012.0
1662077,Kingsport,2012.0
1674088,The Lambton Worm,2013.0
1444024,House Wins,2013.0
1440278,The Cursed Maidens,2013.0
1438745,Laboratory,2013.0
1438280,The Afterparty,2013.0
1435259,Piercing,2013.0
1430638,Don't Make a Sound,2013.0
1430636,Don't Look Under the Bed,2013.0
1428877,Red Riding Hood,2013.0
1428576,Spacefish: Help Unwanted,2013.0
1427899,Surprise,2013.0
1427863,Spite,2013.0
1426859,Unlucky,2013.0
1426844,Under Your Bedsheets,2013.0
1426330,Closing,2013.0
1423459,Jars,2013.0
1420695,Cold Shoulder,2013.0
1420130,Reflections,2013.0
1419544,3 Weeks,2013.0
1419532,There's Some THING in the Closet,2013.0
1415529,Charity,2013.0
1414543,The Waking Scream,2013.0
1413008,Malevolent,2013.0
1412528,Slender Crucis,2013.0
1411874,Eyes Wide Open,2013.0
1410727,The Briefcase,2013.0
1408833,Passé,2013.0
1408832,"Papa, Papa",2013.0
1408365,"Run, Run, Run",2013.0
1408359,Run!,2013.0
1406465,Höof,2013.0
1406378,The Homecoming,2013.0
1406351,Home Cooking,2013.0
1406063,Oculous,2013.0
1404968,Dinner for Two,2013.0
1404966,Dinner Bourguignon,2013.0
1404443,Beauty,2013.0
1403883,Face 2 Face,2013.0
1403214,Sausage Sandwich,2013.0
1402678,Never Look Behind You,2013.0
1402200,Peep,2013.0
1400698,Trapped,2013.0
1400672,Tough Love,2013.0
1400178,Goodbye Wave,2013.0
1400176,Gone in Sixteen Seconds,2013.0
1400171,Gone,2013.0
1400163,Going Out,2013.0
1399272,The Lovers,2013.0
1398890,Be Mine Forever,2013.0
1398887,Bath Time,2013.0
1398884,Baby Monitor,2013.0
1398421,Mr. Cuddles,2013.0
1398414,More Cookies,2013.0
1398410,Monstrum,2013.0
1398390,Merciless,2013.0
1396896,In the Dark,2013.0
1396877,Hungry Mama,2013.0
1396471,The Black Forest,2013.0
1396467,Bitter Eyes,2013.0
1396462,Beware,2013.0
1395656,Revenge of a Doll,2013.0
1395653,The Return of the Ripper,2013.0
1395243,Grandma,2013.0
1394897,Within the Woods,2013.0
1394896,Welcome Home,2013.0
1394892,Waltz with a Sad End,2013.0
1394330,Nightcrawlers,2013.0
1393803,Dave Called in Sick Today.,2013.0
1393251,The Killing Joke,2013.0
1392712,Summon the Scareclown,2013.0
1392296,Awake,2013.0
1392145,At the Door,2013.0
1391803,Fallen Star,2013.0
1391156,Her Prey,2013.0
1391133,After the Fall,2013.0
1390936,Undead,2013.0
1389306,Deader than the Undead,2013.0
1388894,Death's Door,2013.0
1388447,Above,2013.0
273706,Antisocial Behavior,2013.0
272488,Dark Passenger,2013.0
1662095,The Other Gods,2013.0
1660134,The Old Town,2013.0
1479106,Slender,2013.0
299900,Blink,2013.0
197398,Court and Hallie's wedding,2013.0
1660802,The Calling,2013.0
1660167,Worldwide Wireless Newsreel: Antarctic Expedition,2013.0
875119,Sleep,2013.0
1660770,Thriving Infatuation,2013.0
1248402,saints cove,2013.0
1660799,The Stall,2013.0
1660274,3 Evils,2013.0
1094317,Texas Chainsaw Massacre: New Blood,2013.0
260797,A...,2013.0
