id,imdb_id,title,year,director,imdb_directors,match
1283051,tt19396256,Consumed,2023,JP Bradham,JP Bradham,year_director
1290975,tt30413771,Night Hag,2024,Brandon Champ Robinson,Brandon Champ Robinson,year_director
1366967,tt32368113,Cornucopia,2024,Andrew Kevelson,Andrew Kevelson,year_director
1356823,tt37025856,Feed Me,2024,Ushmey Chakraborty,Ushmey Chakraborty,year_director
1280723,tt32369670,The D Word,2024,James Watjen,James Watjen,year_director
418259,tt0296764,A Mother's Vengeance,1993,Mick McCleery,Mick McCleery,year_director
592960,tt35664804,Cannibal Vampire School Girls from Outer Space,1999,William Cayton Jr,William Cayton Jr.,year_director
1113604,tt16059478,Model Kill,2005,Alex Pucci,Alex Pucci,year_director
1391659,tt6920914,Evil Haunted House - Ghost uses toy to talk!,2010,Brandi Lynn Borgia,Brandi Lynn Borgia,year_director
357463,tt4065184,The Paper Round,2015,Katie Bonham,Katie Bonham,year_director
1490261,tt43140358,ClayCat’s DOOM,2016,Lee Hardcastle,Lee Hardcastle,year_director
1034787,tt5273216,Beneath the Black Moon,2016,Sean Mannion,Sean Mannion,year_director
753131,tt9011276,Empire of Dirt,2017,Adam Mason,Adam Mason,year_director
949668,tt11895242,Dark Rooms,2020,Christian Holtappel,Christian Holtappel,year_director
880891,tt22267594,Below the Pines,2021,Zack Stauffer,Zack Stauffer,year_director
1280105,tt32026962,Haunted for Life: Encounter,2021,Hunter Nickless,Hunter Nickless,year_director
945443,tt36375289,Sweetest Day,2022,Doug Hawley,Doug Hawley,year_director
1301430,tt20243668,Internal Sin,2022,Mauricio Reyes,Mauricio Reyes,year_director
1284073,tt15018138,The Last Picture,2022,Ally May,Ally May,year_director
1281634,tt28561453,The Perfect Jump Scare,2023,Jacob Miller,Jacob Miller,year_director
1259281,tt19580058,The Followers of Sigmund,2023,Alex Koebke;Emily Willson-Quayle,Alex Koebke;Emily Willson-Quayle,year_director
1084456,tt26690446,Strippers from beyond the grave,2023,Ciaron Davies,Ciaron Davies,year_director
1312023,tt18305078,The Book of Zeke,2023,Tokala Tatum,Tokala Tatum,year_director
1340731,tt27419582,October's Eyes,2023,B. Luciano Barsuglia,B. Luciano Barsuglia,year_director
1290973,tt30990115,Monophobia,2023,Gregory Voigt,Gregory Voigt,year_director
1303393,tt27990712,Uncontrollable,2023,Mia Geere,Mia Geere,year_director
1282176,tt24331700,It Grew Both Day and Night,2024,David Churchyard,David Churchyard,year_director
1281146,tt29898985,Nice Shades,2024,Kyle Floyd,Kyle Floyd,year_director
1312425,tt13605998,EZ Money,2024,Heather Nguyen;Katherine Dudley,Katherine Dudley,year_director
1365428,tt28766872,Raid of the Living Dead - The Norse Awakens,2024,Diane Jehn,Diane Jehn,year_director
1362422,tt39161495,Beware! The Devil's Wrath,2024,Craig Meinhart,Craig Meinhart,year_director
1372978,tt38121273,Best Self,2024,Phebe Schmidt,Phebe Schmidt,year_director
1405586,tt33484698,Poodle’s Chainsaw Murders,2024,Josué Fiallo,Josué Fiallo,year_director
1405639,tt35572126,Smugglers Rest,2024,Steven Lancefield,Steven Lancefield,year_director
1442999,tt32868890,Mond Appétit,2025,Sjoerd de Bont,Sjoerd de Bont,year_director
1354816,tt35409085,La Diablesse,2025,Grace Perez,Grace Perez,year_director
1503405,tt34382736,Friend Shaped,2025,Lo Norman;Juniper Crawford,Juniper Crawford;Lo Norman,year_director
1619837,tt40471350,To be Judged by the Fool,2026,Norbert Kollár,Norbert Kollár,year_director
1557155,tt31961957,Frayed Flags,2026,Khaula Kai,Khaula Kai;Marcus A. Stricklin,year_director
