id,title,original_title,year,reason,n_candidates
1199546,HOUSE 6,HOUSE 6,,no_year,0
1544212,Channel 9,Channel 9,,no_year,0
1650534,Hollow Trees,Hollow Trees,,no_year,0
1696337,Twin Demons,Twin Demons,,no_year,0
1255945,Witching Hour,,,no_year,0
1520771,Ghost Ship,,,no_year,0
1680958,The Hand,,,no_year,0
661289,The Summers of IT: Chapter Two,The Summers of IT: Chapter Two,2019,no_title_year_match,0
800597,Registros Fatais 3: Apocalypse,Registros Fatais 3: Apocalypse,2012,no_title_year_match,0
911926,Issac,Issac,2022,no_title_year_match,0
1031141,Mad God Ghoul Log,Mad God Ghoul Log,2022,no_title_year_match,0
805104,"Hannibal Lecter, l'icône du mal par excellence","Hannibal Lecter, l'icône du mal par excellence",2010,no_title_year_match,0
1024207,this is my world,this is my world,2022,no_title_year_match,0
462987,666: Salem Calling,666: Salem Calling,2008,no_title_year_match,0
299768,Carmilla,Carmilla,1989,no_title_year_match,0
550718,Leviathan: The Story of Hellbound: Hellraiser II,Leviathan: The Story of Hellbound: Hellraiser II,2015,no_title_year_match,0
267574,The Shining: Forwards and Backwards,The Shining: Forwards and Backwards,2011,no_title_year_match,0
94161,Dracula,Dracula,2002,no_title_year_match,0
845692,Murders,Murders,2022,no_title_year_match,0
454289,The Brandon Corey Story,The Brandon Corey Story,2006,no_title_year_match,0
1012840,The Sweet Scent of Death,The Sweet Scent of Death,1984,no_title_year_match,0
526146,Intruders,Intruders,1992,no_title_year_match,0
1012853,The Late Nancy Irving,The Late Nancy Irving,1985,no_title_year_match,0
1028005,Moon Light,Moon Light,2022,no_title_year_match,0
466658,Ennama Katha Vuduranga,Ennama Katha Vuduranga,2016,no_title_year_match,0
619290,Girls Gone Grabblin',Girls Gone Grabblin',2005,no_title_year_match,0
783208,The Ultimate Dilemma Part 2,The Ultimate Dilemma Part 2,2020,no_title_year_match,0
446297,Dr. Shagetz,Dr. Shagetz,1975,no_title_year_match,0
1012847,Black Carrion,Black Carrion,1984,no_title_year_match,0
1012826,Paint Me a Murder,Paint Me a Murder,1985,no_title_year_match,0
30456,Vampire Catholic School Girls from Hell,Vampire Catholic School Girls from Hell,2001,no_title_year_match,0
473647,Sandkings,Sandkings,1995,no_title_year_match,0
297548,Never Can Say Good-bye,Never Can Say Good-bye,2018,no_title_year_match,0
130972,The Night Marchers,The Night Marchers,2001,no_title_year_match,0
638265,Return of The Ghoul Log,Return of The Ghoul Log,2019,no_title_year_match,0
714358,The Making of The Battery,The Making of The Battery,2014,no_title_year_match,0
869915,His Name Was Jason,His Name Was Jason,2021,no_title_year_match,0
928317,The Eyes of the Panther,The Eyes of the Panther,1989,no_title_year_match,0
833639,Halloween Jack O'Lantern,Halloween Jack O'Lantern,2019,no_title_year_match,0
256795,Perawan Malam,Perawan Malam,1988,no_title_year_match,0
413708,Häxan: Witchcraft Through The Ages,Häxan: Witchcraft Through The Ages,1968,no_title_year_match,0
884093,American Apocalypse,American Apocalypse,2021,no_title_year_match,0
459856,The Pink Egg,The Pink Egg,2017,no_title_year_match,0
473544,Vault of Horror I,Vault of Horror I,1994,no_title_year_match,0
976432,The F13th Fan Film Mixtape,The F13th Fan Film Mixtape,2019,no_title_year_match,0
386037,Cannibal Killer Clowns On Dope,Cannibal Killer Clowns On Dope,2020,no_title_year_match,0
679870,Dreams of Darkness,Dreams of Darkness,2020,no_title_year_match,0
856547,Giallothon,Giallothon,2019,no_title_year_match,0
918547,Smut Without Smut: Satanic Horror Nite,Smut Without Smut: Satanic Horror Nite,2021,no_title_year_match,0
604487,Terror Tales of the Mandarin Orange Boy,Terror Tales of the Mandarin Orange Boy,2019,no_title_year_match,0
982419,Do Not Enter 2,Do Not Enter 2,2022,no_title_year_match,0
292227,Night is the Time For Killing,Night is the Time For Killing,1975,no_title_year_match,0
770165,Tersimpang Ke Alam Bunian,Tersimpang Ke Alam Bunian,2020,no_title_year_match,0
680369,Sleepless in Salamanca: Wildwood Sanitarium,Sleepless in Salamanca: Wildwood Sanitarium,2020,no_title_year_match,0
439943,Return Of The Snake Girl,Return Of The Snake Girl,2014,no_title_year_match,0
524138,Culinária Dumbo,Culinária Dumbo,2018,no_title_year_match,0
973911,The Legacy: A Ghost Story,The Legacy: A Ghost Story,2004,no_title_year_match,0
688005,Community,Community,2008,no_title_year_match,0
864844,Snuff,Snuff,2021,no_title_year_match,0
647354,Midday Demons,Midday Demons,2018,no_title_year_match,0
1005559,Heavy Metal vs. Dominator,Heavy Metal vs. Dominator,2005,no_title_year_match,0
756820,Face your Fears | Thriller shorts for Adults,Face your Fears | Thriller shorts for Adults,2020,no_title_year_match,0
923869,Urban Horror Series,Urban Horror Series,2021,no_title_year_match,0
273060,The Evil Dead Inbred Rednecks,The Evil Dead Inbred Rednecks,2012,no_title_year_match,0
273422,It Exists,Ia Wujud,2014,no_title_year_match,0
601107,Dr. Ling's Torture Greenhouse,Dr. Ling's Torture Greenhouse,2019,no_title_year_match,0
892259,Hunks on Haunted Hill,Hunks on Haunted Hill,2000,no_title_year_match,0
459614,Your Eyes Are Bleeding,Your Eyes Are Bleeding,2017,no_title_year_match,0
298347,Monkey Boy,Monkey Boy,1992,no_title_year_match,0
103708,Aggressive Behavior,Aggressive Behavior,2012,no_title_year_match,0
524577,The Unbelievable Channeling The Spirits,The Unbelievable Channeling The Spirits,2012,no_title_year_match,0
571155,Zombies Invade Pittsburg,Zombies Invade Pittsburg,1988,no_title_year_match,0
720667,INFINITY minus Infinity,INFINITY minus Infinity,2019,no_title_year_match,0
1012953,Last Video and Testament,Last Video and Testament,1984,no_title_year_match,0
139879,The Lizard of Death,The Lizard of Death,2000,no_title_year_match,0
246023,Malam Penuh Bermisteri,Malam Penuh Bermisteri,2013,no_title_year_match,0
268758,1 Hour to Die 2,One Hour to Die 2,2013,no_title_year_match,0
268948,The Best Of Tromadance Film Festival: Volume 2,The Best Of Tromadance Film Festival: Volume 2,2003,no_title_year_match,0
