id,title,year,canonical_path,n_posters,n_clusters,n_discarded_variants,changed_from_primary,iso_639_1,vote_average,vote_count
17,The Dark,2005,/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg,2,2,0,0,en,3.334,1
83,Open Water,2004,/7Gy5N0Yp7ocaKBR860v9KDbpYHj.jpg,5,5,0,0,en,3.334,1
136,Freaks,1932,/fX2Wxd0W9E7eVClUd8kJTfennoV.jpg,5,5,0,0,en,6.312,8
138,Dracula,1931,/6qXBYSjpTRtSRhegX9SLlV3bERn.jpg,5,5,0,1,en,5.25,8
170,28 Days Later,2002,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,5,5,0,0,en,6.834,19
176,Saw,2004,/rLNSOudrayDBo1uqXjrhxcjODIC.jpg,5,5,0,0,en,6.042,12
214,Saw III,2006,/z3ARA2fHufyKJcOFxb3Gv4DclkB.jpg,5,5,0,1,en,2.278,3
215,Saw II,2005,/gTnaTysN8HsvVQqTRUh8m35mmUA.jpg,5,4,1,0,en,4.722,9
229,Bride of Frankenstein,1935,/5241zUwe7rC17MNc2QpCBKKdp1N.jpg,5,5,0,0,en,4.656,16
234,The Cabinet of Dr. Caligari,1920,/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg,5,4,1,0,en,6.834,40
244,King Kong,1933,/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg,5,5,0,0,en,6.114,22
326,Snakes on a Plane,2006,/i0ynvZ89tV1t8MAL9FmeQELfXH0.jpg,5,4,1,0,en,2.542,4
348,Alien,1979,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,5,5,0,0,en,5.858,39
377,A Nightmare on Elm Street,1984,/b9rMHAAKISRmIonaQd9Cccx0S4X.jpg,5,4,1,0,en,5.786,7
395,AVP: Alien vs. Predator,2004,/ySWu5bCnnmgV1cVacvFnFIhgOjp.jpg,5,4,1,0,en,6.312,8
