id,cluster,file_path,is_rep,is_canonical,vote_average,vote_count,iso_639_1
17,0,/wZeBHVnCvaS2bwkb8jFQ0PwZwXq.jpg,1,0,0.0,0,en
17,1,/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg,1,1,3.334,1,en
83,0,/eGcdNjswlKwdJRyStR7zEMVAKWN.jpg,1,0,1.75,2,en
83,1,/xOjcaWBNG2PvylJOhlkaqaAAKUr.jpg,1,0,1.75,2,en
83,2,/pjLh97W1J8AdcuKWzqqdKHfYmp5.jpg,1,0,2.542,4,en
83,3,/85o7BSpumewsd8KoGYvqpGH54yF.jpg,1,0,2.278,3,en
83,4,/7Gy5N0Yp7ocaKBR860v9KDbpYHj.jpg,1,1,3.334,1,en
136,0,/j2dwljljOrLTcnwfKeUBBeNB8t7.jpg,1,0,5.778,18,en
136,1,/dHSitROI1U0uSqwNKABD433o58u.jpg,1,0,3.334,1,en
136,2,/fX2Wxd0W9E7eVClUd8kJTfennoV.jpg,1,1,6.312,8,en
136,3,/fWa6ow4KbTVdCh8wLghnvNbZNyN.jpg,1,0,2.278,3,en
136,4,/vHnVP0VtRVuwcBaY0m62zPnrg9B.jpg,1,0,3.334,1,
138,0,/6qXBYSjpTRtSRhegX9SLlV3bERn.jpg,1,1,5.25,8,en
138,1,/oHn2vJZYYhLdcbzgpvI2juqjksP.jpg,1,0,4.722,9,en
138,2,/tjYgDj6EZyB3kvYODyu8rjYqTXe.jpg,1,0,5.25,10,en
138,3,/7JVnY0rLSJGy9c90cOwoq5jfUd9.jpg,1,0,5.25,18,en
138,4,/sqC71v6rK3r5gSJGS9eqdvUXS3f.jpg,1,0,3.954,11,en
170,0,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,1,1,6.834,19,en
170,1,/w4SL5hv0qOanrN7GjwNgtjF1RtD.jpg,1,0,5.25,18,en
170,2,/axHaVmcRfe52GMScQNEVc6deRpK.jpg,1,0,3.334,1,en
170,3,/kuNYQYy7qz3NKPwbBBOXlDHUeQk.jpg,1,0,3.334,1,en
170,4,/oxnJpQsNgSdHPlnKCYrk46L807B.jpg,1,0,3.334,1,en
176,0,/rLNSOudrayDBo1uqXjrhxcjODIC.jpg,1,1,6.042,12,en
176,1,/h2x0kRZWvwpw8GvghmQUn1m1jQo.jpg,1,0,4.656,16,en
176,2,/ixwaHER4oYhr4ztmQs9oPhBpZ5v.jpg,1,0,4.154,13,en
176,3,/harQifr8kpIVqlLP41kTR058LZB.jpg,1,0,4.934,30,en
176,4,/4da0TS3iQ1IzuyhDS8elgkmOfrN.jpg,1,0,5.25,11,en
214,0,/z3ARA2fHufyKJcOFxb3Gv4DclkB.jpg,1,0,2.278,3,en
214,1,/gsJsjvKFg4J2eDgeGBkxNn3blAv.jpg,1,0,3.334,1,en
214,2,/9pWlgGYoPb0QPOsQTjfDmwMdBc6.jpg,1,1,3.334,3,en
214,3,/8JlYJch0xA5t9csbaDYHIxCuAIM.jpg,1,0,3.334,1,en
214,4,/ekuAdKjboejcK0cakuC9r5f9dSY.jpg,1,0,2.278,3,en
215,0,/gTnaTysN8HsvVQqTRUh8m35mmUA.jpg,1,1,4.722,9,en
215,1,/87jZISI32cGvZSycW6hWNbi8jqN.jpg,1,0,3.334,1,en
215,2,/AwfBNpkedYcXt9BjGEYZf5g2s37.jpg,1,0,2.278,3,en
215,2,/tLmWnTW0ysrjnCVT4RGwgHret6r.jpg,0,0,2.278,3,en
215,3,/3cCK59HDUAc9ZSDFcD6CHdH9FaE.jpg,1,0,3.334,1,en
229,0,/oCiHPp7ZiVFjdawRXAmhW1RTetn.jpg,1,0,4.062,16,en
229,1,/cQBujQNS0o1yI17cHAucDTosiB9.jpg,1,0,3.424,13,en
229,2,/5241zUwe7rC17MNc2QpCBKKdp1N.jpg,1,1,4.656,16,en
229,3,/qquyiOKwxLV7NSNEtXOkuTqvhlb.jpg,1,0,3.334,1,
229,4,/2Iw02FtmHxDv9gljad22fPick7O.jpg,1,0,3.334,2,
234,0,/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg,1,1,6.834,40,en
234,1,/vw3QfEyIX1iK2R4M8oQByCKZ5bk.jpg,1,0,3.334,3,en
234,1,/f29VD3kfwkc1F1GJatKT6u3fTBH.jpg,0,0,3.334,1,
234,2,/uHlhT0VhHggkQYKc1wKvJunPSE.jpg,1,0,3.334,1,
234,3,/cXSzcOF6RINcXrExn0nR4ExFoR3.jpg,1,0,5.786,8,en
244,0,/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg,1,1,6.114,22,en
244,1,/dNDD3d6NYRl8w4wc1DCEWbUZSXx.jpg,1,0,3.334,3,en
244,2,/kGmLtJmxfr7QCqQpvwGDqo7KjtW.jpg,1,0,3.334,2,en
244,3,/ubn38OvGenU8ppK4fkLrFqHxU1B.jpg,1,0,4.934,16,en
244,4,/xaBGVokudNc0P4QHskbiAdRaYCM.jpg,1,0,3.334,2,
326,0,/9wqWQ5rXQG6daMpowqwadGjI768.jpg,1,0,2.542,4,en
326,1,/i0ynvZ89tV1t8MAL9FmeQELfXH0.jpg,1,1,2.542,4,en
326,1,/s0l3q3XdAdjosWomRmXw83eWpT7.jpg,0,0,1.75,2,en
