id,year,title,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,rek_mod,rek_violence,rek_mod_weapons,rek_gore,rek_n_faces,rek_emotion,rek_gender,rek_age_lo,rek_age_hi
1338346,2026,Zanni,movie poster:0.95,movie poster,0.95,0.0,0.0,0.0,0.0,0.0,0.0,5,30.0,80.0,85.0,#000000:50.0|#ffffff:25.0|#555555:10.0|#808080:8.0|#ff0000:7.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Female,20,30
1646124,2026,Tiger's Rampage,woman:0.95|tiger:0.92,woman,0.95,0.0,0.0,0.95,0.0,0.0,0.0,5,30.0,70.0,80.0,#000000:50.0|#ff0000:20.0|#ffffff:15.0|#ff7f00:10.0|#c0c0c0:5.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Female,20,30
1678298,2026,The Waiter,person:0.95,person,0.95,0.0,0.0,0.95,0.0,0.0,0.0,3,30.0,70.0,90.0,#000000:25.0|#ffffff:20.0|#666666:15.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Male,40,60
1681429,2026,BEAR TRAP,movie poster:0.98,movie poster,0.98,0.0,0.0,0.0,0.0,0.0,0.0,5,30.0,60.0,70.0,#000000:35.0|#FF0000:30.0|#FFFFFF:20.0|#800000:10.0|#C0C0C0:5.0,Violence:0.70,0.7,0.0,0.0,0,,,-1,-1
1687144,2026,Skotos,Movie Poster:0.95,Movie Poster,0.95,0.0,0.0,0.0,0.0,0.0,0.0,5,40.0,70.0,80.0,#000000:55.0|#FFFFFF:20.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Female,20,30
1734331,2026,Rowe's Realm of Horror,person:0.95,person,0.95,0.0,0.0,0.95,0.0,0.0,0.0,5,40.0,70.0,80.0,#2a2a2a:45.0|#000000:30.0|#4b4b4b:15.0|#777777:5.0|#ffffff:5.0,Violence:0.80,0.8,0.0,0.0,3,FEAR:0.95,Male,40,60
1736084,2025,UP ON THE HOUSETOP,Woman:0.97,Woman,0.97,0.0,0.0,0.97,0.0,0.0,0.0,5,65.0,75.0,80.0,#FF0000:30.0|#FFFFFF:20.0|#000000:15.0|#FFC0CB:12.0|#C0C0C0:8.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Female,20,30
368347,1998,Nocturne,human:0.95,human,0.95,0.0,0.0,0.95,0.0,0.0,0.8,5,25.0,70.0,80.0,#000000:50.0|#222222:30.0|#444444:10.0|#666666:5.0|#888888:5.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Female,20,30
1642568,2026,The Last Temptation of Becky,person:0.98|person:0.96,person,0.98,0.0,0.0,0.98,0.0,0.0,0.0,5,45.0,60.0,80.0,#000000:55.0|#ffffff:15.0|#ff0000:10.0,Violence:0.85,0.85,0.0,0.0,2,FEAR:0.95,Female,20,30
1708678,2001,The Not-So-Grim Reaper,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,50.0,80.0,85.0,#000000:50.0|#FFFFFF:50.0,Violence:0.80,0.8,0.0,0.0,0,,,-1,-1
1727906,2026,Backrooms Bigfoot,Bigfoot:0.95,Bigfoot,0.95,0.0,0.0,0.0,0.0,0.0,0.8,5,40.0,75.0,80.0,#000000:50.0|#5F5F5F:25.0|#858585:10.0,Violence:0.80,0.8,0.0,0.0,0,,,-1,-1
1244523,2026,Beware Boiúna,Boiguna:0.90,Boiguna,0.9,0.9,0.0,0.0,0.0,0.0,0.0,5,35.0,70.0,90.0,#000000:55.0|#333333:20.0|#666666:10.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Female,20,30
1423577,2027,Gremlins 3,Gremlin:0.95|Car:0.90,Gremlin,0.95,0.0,0.0,0.0,0.0,0.0,0.0,5,40.0,75.0,80.0,#000000:35.0|#00ff00:25.0|#ff0000:20.0|#808080:10.0|#ffffff:10.0,Violence:0.80,0.8,0.0,0.0,1,FEAR:0.95,Male,20,30
1730156,2026,The Witness,man:0.95,man,0.95,0.0,0.0,0.95,0.0,0.0,0.0,5,45.0,75.0,80.0,#000000:15.0|#ffffff:10.0|#a0522d:9.0,Violence:0.70,0.7,0.0,0.0,1,FEAR:0.85,Male,25,35
