id,full_ocr,n_lines,n_boxes,mean_conf,error
17,THE DARK,2,2,0.9991,
83,0 P E N W A T E R,2,2,0.6012,
136,FREAKS,1,1,0.9734,
138,DRACULA,1,1,0.8944,
170,28 DAYS LATER,3,3,0.8524,
176,SAI,1,1,0.7473,
214,SAI II,1,1,0.7527,
215,SALH,1,1,0.0748,
229,The BRIDE Of FRANKENSTEIN,4,4,0.6471,
234,CABINET & GAGAK DR,3,3,0.5319,
244,ANG KOlt,2,2,0.5043,
326,SHAKES PLANE ONA,3,3,0.4861,
348,E N,2,2,0.925,
377,Mgaaasreae A ELM STREET,3,3,0.4249,
395,ALIEN Vs_ PREDATOR,2,2,0.728,
440,A L ! E N $ VS PREDATOR R E 0 U ! E M,4,4,0.7418,
467,A 0 L E,1,1,0.5,
539,eeYOHO,1,1,0.1315,
561,(ONSTANT INE,1,1,0.8644,
565,the ring,1,1,0.9218,
571,"'TheBirds""",1,1,0.7941,
573,HCHCOCKS FREn,2,2,0.4993,
578,JAWS,1,1,0.9672,
579,JAWS2,1,1,0.7804,
580,WS ThE REVENGE,2,2,0.7726,
588,Welcome to Silent Hill SILENT HILL,3,3,0.837,
609,POLTERGEIST,1,1,0.8162,
622,NINTH GATE,2,2,0.9808,
628,INTERVIEW WITH THE VAMPIRE,3,3,0.902,
635,ANGEL HEART,1,1,0.9524,
653,NOSFERATU,1,1,0.9324,
663,sAlliv,1,1,0.292,
694,W& 3 SHiNiNG,3,3,0.3606,
747,SHAVM opiie DEN,3,3,0.2053,
755,"FROM: ""DUSK MLL} 'DAYN",4,4,0.3615,
763,BRANDEAD,1,1,0.9263,
764,Et0,1,1,0.0455,
765,Ffp2,1,1,0.1216,
766,ArmYe DARRNESS,1,1,0.1425,
768,FY,1,1,0.413,
779,vamvut,1,1,0.2825,
790,John CARPENTER's THETOC,2,2,0.5827,
791,THE FOG,2,2,0.9999,
794,THE OMEN,2,2,0.9709,
805,Rosemarys Baby,2,2,0.995,
806,THE OMEN,2,2,0.9598,
814,AN AMERICAM WEREWoFF INJONDON,4,4,0.69,
831,ThIg Igwand EARTH,3,3,0.4773,
837,VIDEODROME,1,1,0.7923,
923,JALL OftrE ZEA,3,3,0.2972,
924,DAWNADEAD,1,1,0.5145,
927,GREMLINS,1,1,0.8094,
928,GREMLiNS 2 THE NEW BATCH,2,2,0.6587,
931,~dont Look now,3,3,0.8182,
948,HALLOWEEN,1,1,0.9689,
964,PHANTOM TME oft OPERA,3,3,0.6012,
985,ERASERHEAD,1,1,0.9982,
1091,"MAN IS THE WARMEST PLACE TO HIDE , ULTIMATE Thc ALIEN TERRORI JoHM CARPENTER Wcoe THE IING KuRT RUSSELL KEH DAVID WilfrED BRIMMLEY",18,18,0.6754,
