id,full_ocr,n_lines,n_words,mean_conf,latency_s,error
523,DEOILIE,1,1,0.2238,2.023,
572,"4
JOUD 1X",2,2,0.2739,4.504,
827,Boliau,1,1,0.2767,3.62,
919,"OOD
THE LAST VAMPINE",2,4,0.6965,3.254,
1255,"THE
HOST",2,2,0.9998,4.608,
1256,"DEAD
IN
DAYS",3,3,0.9796,3.806,
1433,"THE DEVIL'S
BACKBONE",2,3,0.9947,3.275,
1560,"SINGAPORE
bNlTS",2,2,0.6574,1.802,
1663,"SQUEAKER
THE
Edgar Wallace",3,4,0.9988,3.278,
1678,12005,1,1,0.5503,4.704,
1679,"ZOOD
AIDS-AG
I
-",4,4,0.3679,3.47,
1698,W,1,1,0.7567,1.8,
1699,"ANATOMY
A new
experiment
in terror",4,6,0.9832,3.174,
1836,IN MY SKIN,1,3,0.9946,3.265,
1876,"TWIN TRACK FILMS PRESENTS
THE PENALTY KING
A FILM BY CHRIS COOK
Leeds
HAVANA
Who needs eyes when you're got balls?
A TVIN TRACK FILMS
AND
MAVERIK MOTION PICTURES LTD
CLA RE GROGAN. NICK BARTLETT. PATRICK MICALLEF. JANE PEACHEY SAM BECKINSALE.
ORIGINAL WISIC BY TIM HOWARTH. EDITED BY JASON PORTHOUSE. EXECUTIVE PRODUCER TIM Cook
PRODUCED BY CHARLIE BOWDEN WRITTEN AND DERECTED IT CHRIS Cook
Distributed by Revelation Films
TWIN TRACK",14,69,0.8751,3.439,
2093,AMSTERDAMNED,1,1,0.8209,3.276,
2097,,0,0,,2.7,
2104,"Aucune prière.
ne VOUS épargnera !
......
REQUIEM
- HERVE RENOH
MULTA ANIM at .
DVD
2F",8,17,0.6858,3.09,
2269,YWATL,1,1,0.4642,3.408,
2386,"LE COLLECTIONNEUR
UN FILM DE
MICHEL
SUBIELA
DE CERVEAUX
D'APRES ROBOTS PENSANTS 3 GEORGE LANGELAN",6,13,0.7788,1.629,
2671,RINGU,1,1,0.9809,1.856,
2971,"ERICH VUN STRUHEIM
ALRAUNE",2,4,0.6098,1.044,
2993,"9
G
ON TOP OF THE OTHER
100
i",5,9,0.5954,2.156,
3026,"CORDELiER
DU DOCTEUR
LE TESTAMENT",3,5,0.9923,1.4,
3037,"""
MESMERIZING.
WINNER
GILVER BEAR
-
I
I
Derek Elley, VARIETY
YELLA
A film by Christian Petzold
""
AN
EXPERTLY
CRAFTED
THRILLER.""
David Jenkins, TIME OUT
A Cinema Gold Release
www.cinemaguild.com/yelila",18,31,0.8623,2.49,
3066,"""THe
FRANKENSTEIN MONSTER
OF",3,4,0.9067,0.827,
3118,"Jean Rochefort
Fiona Gélin
Eddy Mitchell
FRANKENSTEIN 90
AN PUR
Hlain Jessua
Ferma Uos
Ged Marlon Serge Marquand Anna Gaylor",8,19,0.7862,3.271,
3122,"RANKENS
-Lady",2,2,0.4633,0.696,
3144,"-
a cult film for movie-goers in search of politically incorrect, mind-warping laughs.""
Fangoria
-
this is a hilarious trash classic.""
""Bad 15"" underground filmmaking
Shock Clapma
at its best. A must see!""
Film Threat
ECO
""The greatest despicable
film I've ever seen.""
New York Press
""One of the funniest movies
I've seen in years. -
on Movies
COLLECTOR'S EDITION DVD
ROCK & ROLL
FRANKENSTEIN
58006 CHEAMA CIRCHA NEMOTS sock . BOLL
STAREOS SEAPS - JAYSON SPENCE EARRY FETURNAS
AND
KKAN
LACOB
NOGARIA
SPECIAL ****** PA GENERAL MAYNEM MINIC TAJ
PRODUCTION SAICA BALDOCOM or 263 BILLMAS
stort an URAEA D-CASSELLA - -
PRODUCERS SEAS STEVE MCLADGELD -
HORROR
A3D SIDECTED n
CINEMA",32,111,0.7073,2.417,
3146,"CA
THE WAR OF THE
GARGANTUAS",3,6,0.7927,2.068,
3159,"Weird
Creatures
Return
To Life
In
Frankensteins
of
reaks
ROSSANO BRAZZI
MICHAEL DUNN and
EDMUND PURDOM
as Gordon Michael Alain Collins-Loren Ewing
Xiro Papas . Boris Lugosi . CHRISTIANE ROYCE b
the DE a MDC
facts Paties G ROBERT STRAUB Produced and Directed by ROBERT ROUVER . COLOR
K",16,49,0.8121,2.675,
3160,FRANKENSTEIN,1,1,0.9956,1.142,
3163,"Silma
S
Jes a by
40",4,6,0.3914,1.316,
3199,"DRACULA
RISONER OF",2,3,0.736,1.128,
3205,ANTO,1,1,0.3744,1.101,
3214,"ANT
SANTO & BLU
VS. DR. FRANKEN
THE",4,8,0.8741,1.829,
3215,"LSD
ANGRE
Frankenstein
UN FILM DE
GERMAN MAGARIÑOS
Un Yiaje infernal hacia la Nada
1991",7,15,0.8491,1.454,
3216,"SIGNMENT
ERROR",2,2,0.8565,1.195,
3346,"USE
&
FRANKESTEIN
el VampirosCia.",4,4,0.4231,2.211,
3347,"filmax
PRESENTA
ALDO MACCIONE
- IN "" -
FRANKENS TEIN
A LA ITALIANA
GIANRICO TEDESCHI - NINETTO DAVOLI.JENNY . TAMBURI . ANNA MAZZAMAURO
LORENZA GUERRIERI
- -
ARMANDO CRISPINO TELECOLOR
producide -
FILIBERTO BANDINI",12,34,0.8129,1.744,
3409,"THE
HORRIBLE
SEXY VAMPIRE
COLOUR",4,5,0.858,0.868,
3410,"ARBANGA
VE SAMAS BASAR
SEVIMLi
UT OZATAY . MUALLA FIRAT . YUKSEL GOZEN
BAKi TAMER . iBRAHiM DELIDENIZ
- NEJAT SAYDAM Include MELiH SERTESEN
MARAT KOSTBALU
Renkli
1946",9,28,0.7492,1.039,
3413,"HE
CLED
ORLAK
en llinfierno de frankenstein
ANDRES SOLER JORQUIN CORDERO RMA DORANTES",5,13,0.6541,1.779,
3477,"INFERNAL
VIE
THE",3,3,0.7777,0.741,
3560,,0,0,,0.558,
3561,"DISTRIBUZIONE 11
MARISA MELL LOU CASTEL
presents
CHRIS AVRAM
L'OSCENO DESIDERIO
- LE PENE NEL VENTRE -
LAURA TROTTER . PAOLA MAIOLINI JAVIER ESCRIVA . VICTOR ISRAEL
Edizione musicale
Musica di
CARLO SAVINA
NAZIONALMUSIC MILANO
De No $
GIULIO PETRONI
Dea presshote CINEINIZIATIVE ROMA TRITON P.C. MADRID . COLORE della TELECOLOR",14,50,0.8578,1.247,
3699,"BLOOD SEVEN
STAINED
ORCHIDS",3,4,0.9351,2.018,
3700,"БАТН ! /
D",2,4,0.3566,1.879,
3763,ONIBABA,1,1,0.9682,0.938,
