id,poster_path,title,year
17,/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg,The Dark,2005
83,/7Gy5N0Yp7ocaKBR860v9KDbpYHj.jpg,Open Water,2004
136,/fX2Wxd0W9E7eVClUd8kJTfennoV.jpg,Freaks,
138,/ueVSPt7vAba0XScHWTDWS5tNxYX.jpg,Dracula,
176,/rLNSOudrayDBo1uqXjrhxcjODIC.jpg,Saw,2004
214,/4iO9n24Rb10peXV0JH2EldIOrAp.jpg,Saw III,2006
215,/gTnaTysN8HsvVQqTRUh8m35mmUA.jpg,Saw II,2005
229,/5241zUwe7rC17MNc2QpCBKKdp1N.jpg,Bride of Frankenstein,
234,/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg,The Cabinet of Dr. Caligari,
244,/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg,King Kong,
326,/i0ynvZ89tV1t8MAL9FmeQELfXH0.jpg,Snakes on a Plane,2006
377,/b9rMHAAKISRmIonaQd9Cccx0S4X.jpg,A Nightmare on Elm Street,1984
395,/ySWu5bCnnmgV1cVacvFnFIhgOjp.jpg,AVP: Alien vs. Predator,2004
440,/5iTwPDNtvK6ZZF607BHBbU3HO0B.jpg,Aliens vs Predator: Requiem,2007
467,/n5aMoI6AZLJzUoNbjMj0P60EYMJ.jpg,The Hole,2001
565,/AeRpUynJKDpJveklBJipOYrVxCS.jpg,The Ring,2002
571,/eClg8QPg8mwB6INIC4pyR5pAbDr.jpg,The Birds,1963
580,/ebYw9tR0iqBzDGA6HVBhtd2xJM3.jpg,Jaws: The Revenge,1987
609,/4eMN3GANH5GG4kXdHkrTZEUuQ9M.jpg,Poltergeist,1982
635,/h5v3wjJQNB7q2RntEnKDLhKtTFE.jpg,Angel Heart,1987
653,/zv7J85D8CC9qYagAEhPM63CIG6j.jpg,Nosferatu,
663,/ku1QdCXOU4ckz3zxLLlis8MIJVm.jpg,Saw IV,2007
694,/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg,The Shining,1980
764,/54C1qdaiSijIU5NeNb4WsPJdNkG.jpg,The Evil Dead,1981
779,/yt3JS5JSoZseSohYkhs6FLU9B0O.jpg,Vampyr,
790,/12EeSboRofP3CI4SPmMFNNXCbtY.jpg,The Fog,1980
794,/mDcjjEu1fMNmsXi4l4D8IftlTix.jpg,The Omen,1976
805,/uYgvlHceRFjAFbsNeMInYcLZLUb.jpg,Rosemary's Baby,1968
814,/hVEqUASJmCQaolkKFEySCHZ8uKG.jpg,An American Werewolf in London,1981
837,/qqqkiZSU9EBGZ1KiDmfn07S7qvv.jpg,Videodrome,1983
923,/70MY8H0bLMvXf8ED2SgVMPhDVVM.jpg,Dawn of the Dead,1978
924,/ttquyxStEEctzghtA2f4PUGprDr.jpg,Dawn of the Dead,2004
927,/6m0F7fsXjQvUbCZrPWcJNrjvIui.jpg,Gremlins,1984
928,/35F5yD7MljvBE2AC0NHAVCoPGEi.jpg,Gremlins 2: The New Batch,1990
931,/ivWsU3QtcstImCTOjItsH0SAbNn.jpg,Don't Look Now,1973
948,/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg,Halloween,1978
964,/mvaYpAYj957C2tlq3vVJPSzGJXK.jpg,The Phantom of the Opera,
985,/mxveW3mGVc0DzLdOmtkZsgd7c3B.jpg,Eraserhead,1977
1091,/ob1NaOSYDC4iBaFkTgIUecaMFGT.jpg,The Thing,1982
1272,/oKGGeJ8qvm0UmClz43VJ31fzPP7.jpg,Sunshine,2007
1423,/hoRIW3Qqynr5M8sjRhvKNKGRbZy.jpg,Flying Saucer Rock 'N' Roll,2006
1448,/rMxdX8QXWjIZDsZthsN8axFR4ws.jpg,The Wisdom of Crocodiles,1998
1483,/y8GbJny4bBUimJxUGXqq3l3k4OV.jpg,Begotten,1991
1547,/nH1lvyQvfbL5GKScTtT6zkIvDEn.jpg,The Lost Boys,1987
1562,/oix0aNv1lvW3nUGspUyvSIBlpbs.jpg,28 Weeks Later,2007
1577,/way9dOm4dM2sm9UMcu2PEXMTX0q.jpg,Resident Evil: Apocalypse,2004
1596,/trEcuqgfXtIt06b7Tg1fkCnOHBY.jpg,Population 436,2006
1644,/whCG6TGm3h9AHBkfh5M0MnJ8zT0.jpg,The Vanishing,1993
1691,/qB20aiY8Ah3pQikkBxm3j7jQVc8.jpg,Hostel: Part II,2007
1693,/iFCta7mFC7aVTPMA3opH8Vq62Pn.jpg,Monster Man,2003
1694,/7FYhY70LTumoFfQgTI8TK0UDdsF.jpg,Re-Animator,1985
