id,imdb_id,title,year
3408,tt0402861,Boy Frankenstein,1998
3414,tt0463798,El último Frankenstein,2004
27559,tt1201122,Timo Rose's Beast,2009
27753,tt0397345,Blood Sisters,2003
32297,tt0204228,Crowley,1987
38741,tt1703058,The Deserted Inn,2008
43280,tt0330002,L'armadio,2002
80737,tt1347137,Don't Lose Heart,2008
108641,tt1521700,Blood Work,2009
129278,tt2447822,Momok: Jangan Cari Pasal,2012
166092,tt0178226,Alicia,1994
185295,tt1587307,Grindhouse,2003
201838,tt0299141,Silver Slime,1981
212017,tt9383554,Bootlegger of the Damned,2007
220775,tt0135070,Le zombi de Cap-Rouge,1997
226767,tt1358922,Amy's Torch,2008
239215,tt38510966,Mysterium Noctis,2004
253755,tt3369776,The Scorpion's Sting,2013
257309,tt3305368,Toyol,1981
267078,tt3922110,The Skin of Your Teeth,2009
280670,tt1345500,The Monkey's Paw,1978
283224,tt2265162,Death Rattle,2012
287644,tt2396888,Occupational Hazard,2012
291031,tt1831802,The Sanctuary,2010
292601,tt0481010,Brutalos,1998
292720,tt3058430,Deadville,2010
294966,tt1990211,The Devil Inside Me,2011
302289,tt3780366,The Present,2014
302618,tt4149612,Hit,2011
303772,tt0352330,The Evil,2003
308250,tt0479747,Sansani: The Sensation,1981
312756,tt3574242,We'll Be Happy Over There,2014
314234,tt0196150,Terror en la capilla mortuoria,1980
317979,tt0331087,Public Cemetery of Grudges,1983
317982,tt0353340,Dead Bunnies,1983
318631,tt0788206,Satur,1951
321705,tt10573104,Sell Your Life,1966
321725,tt0418666,Revenge of a Mother,1970
322036,tt0419271,A Resented Woman,1973
322046,tt3143288,A Young Lady's Resentment,1974
322403,tt0317585,Reversed Enemy,1982
322574,tt0395611,The Gates of Hell,1962
325618,tt4237900,The Hunt for the House on Cuckoo Lane,2011
325837,tt0834065,Coup Manqué,1971
326012,tt2286560,Frankenstein,2011
333436,tt22779902,Paraphilia: Necrophile Passion II,2014
337072,tt0273495,Chilling,1974
339661,tt4620154,From Hollywood with Love,2015
341732,tt1756530,Gillespie,2010
342435,tt37541576,Don't Go in the Fucking Woods,2002
343517,tt4131622,Breeder,2015
348154,tt0499179,16 Days 'til the Rest of Your Life,2005
348164,tt1865507,Stained,2006
352325,tt2017496,Devil's Due,2011
362087,tt37370873,The Bloody Curse,1987
362088,tt37371006,Night of horror,1988
365583,tt4373974,Beyond the Bridge,2015
365840,tt4603658,Black Eyes,2015
370564,tt1733677,The Living Want Me Dead,2011
371875,tt1826776,Night Tales,2011
372827,tt0999925,The Visiting,2007
379313,tt4949708,Hungry,2015
379859,tt4456430,We All Go the Same,2015
383570,tt3859336,Til Night Redux,2014
392069,tt1954606,Lañinbwil's Gift,2012
393206,tt5205600,The Werewolf's Greatest Hit,2016
393208,tt5554084,Clownz,2016
405540,tt40526810,Les Proies du Mal,1982
406849,tt1485691,Charm,2002
407593,tt5850420,The Ditch,2008
408088,tt0182527,The Waxing Moon,1976
408201,tt0330240,Du blues dans la tête,1981
416921,tt30063719,Tortured Soul,1992
418328,tt4373932,The End of Mara,2016
418406,tt1756642,Night on Has Been Mountain,2010
419525,tt6022812,Jockstrap Slaughterhouse,2016
421565,tt6147376,Don't Do It,2016
423579,tt0992919,In Memory of Laura,1997
423666,tt5774244,Bite Radius,2016
427765,tt5498508,Max,2016
433044,tt32158736,Halloween Nightmare 2,2015
439975,tt3176104,Anger Of The Dead,2013
442029,tt4491478,When They Say You're Alone,2014
450230,tt5235520,The Eternal,2016
464389,tt0238863,Birds of Prey,1998
468421,tt1525834,Filler!,2008
473963,tt0425649,The Wicked,2001
481889,tt7546864,The Good Samaritan,2017
490126,tt0318755,The Thing in the Roof,2002
491516,tt1524093,Beartrap,2009
497521,tt1733473,Healers,2013
497637,tt0934539,Parasite,2006
499497,tt7573742,Feed Me,2013
509101,tt3301148,You Going to Die,2014
512304,tt0044341,All Hallowe'en,1953
521393,tt0305563,Fade to Black,2001
526877,tt5587776,Josh,2017
537963,tt5168436,Judas,2015
548725,tt1992111,College Fright Night,2014
549466,tt6268244,Fae,2017
551074,tt8924108,TWO,2006
552338,tt5486670,Breed,2023
558087,tt8877056,Madder Isle,2018
564825,tt0198739,Meat,1997
570324,tt7725562,Sara is Missing,2017
580279,tt0402129,The Intruder,2005
582889,tt11542394,A Taste of Flesh,1976
609581,tt5923772,In the Kitchen With,2016
616801,tt10504248,The Northwoods,2021
641382,tt7071262,Piano,2014
642100,tt1432051,Into the Darkness,2005
643969,tt1395256,Between Heaven and Hell,2010
658503,tt2397518,The Dark,2013
658642,tt10948116,Sinful,2019
659415,tt1905090,Werewolf of Nashville,2009
659416,tt1905029,Summer of the Mummy,2009
666883,tt0440710,Perfect,2003
679865,tt0139132,Crab Boy,1996
689688,tt4958712,In the Back,2012
693066,tt0349843,Mumsie,2003
694481,tt29728894,Colore Non Vedenti,2009
695183,tt0207342,Black Heart,1994
695647,tt4515694,In Shadows,2015
699008,tt1112103,Casonetto's Last Song,2003
701727,tt9266508,The Other Side,2018
706483,tt0238280,Honeymoon Murders,1990
706486,tt0238281,Honeymoon Murders II,1990
708455,tt0100358,Petrified Beast from the Frozen Zone,1990
708660,tt12070450,Zandor and Friends,2020
709805,tt0250126,Zombie Party,1989
709987,tt10601780,The Demon From Devil's Lake,1964
721825,tt12644780,Stiffed,2011
724162,tt0152169,Regeneration,1987
726040,tt0392555,The Nothing Deal,2000
727577,tt12767484,Rats in the Walls,2020
729873,tt1334508,3 Day Weekend,2009
730159,tt1972593,As They Fall,2008
730161,tt3072416,"Aune, or On Effective Demise",2013
734637,tt12282604,All Hallow's Eve,2002
742538,tt8341906,Nishkinata,2021
744404,tt0439218,Inside,2004
744410,tt0431273,Mr. Eryams,2004
744423,tt0437970,Disturbances,2004
744430,tt0439245,A Man and His Finger,2004
744534,tt0844359,Working with a Master: Dario Argento,2006
744774,tt0373299,The Search for Inflata-boy,2003
745657,tt1809334,Return to the Bermuda Triangle,2010
746245,tt1391097,Mombies,2009
751372,tt7251778,Fasa: The Basement,2017
752694,tt2508968,Fasa: Children of Evil,2012
755795,tt11995908,The Early House,2020
755878,tt1754732,The Withered Dead,2010
758802,tt4219470,Fasa: The Clown,2014
763014,tt3514662,Nightfill,2006
765199,tt2514208,Beyond Reach,2009
766326,tt2408242,The Darkening,1997
769391,tt3393640,The Tap Tap Lady,2015
773108,tt0806085,The Hearts of Age,1997
773568,tt0139033,As Long as He Lives,1998
777488,tt0192635,Strange Life: The Breech,1998
779655,tt4493790,"Devil in the White City, Julia Conner's Murder",2016
792543,tt3844442,Newborn,2014
796066,tt0426512,The Little One,2004
796165,tt13796130,The Making of One Missed Call: Final,2006
800453,tt12734942,The Wedding Ritual,2020
803429,tt32740897,Face to Face with The Fear,2021
804617,tt1568303,The Witch & the Woodsman,2010
809673,tt7108182,Turn Off the Lights,2017
811751,tt12879086,The Janitor,2019
816915,tt14460086,La Blague,2021
827994,tt7574282,American Cannibals,2007
839394,tt14735180,Outside the Law: The Scanner Cop Revolution,2021
840885,tt41274716,The Organist,2014
841655,tt4312850,Hex of the Vulture,2007
843939,tt2486438,Mud Boy,2009
848787,tt15181404,Fine-toothed Festivities,2021
853602,tt13154474,The Coastal Path,2014
854818,tt1705076,Trader Jack,2010
856056,tt8959094,Rose City Underground: Earthsong,2021
856864,tt0294927,Something in the Basement,1986
858487,tt15181388,Hurt Luv,2020
861199,tt14922156,Executioner 2: Electric Boogaloo,2021
862720,tt1961574,The Mortified,2011
863779,tt0195950,No Haunt for a Gentleman,1952
877759,tt8099196,Stalker,2017
880891,tt22267594,Below the Pines,2021
882438,tt1340693,Working Stiffs,2008
885117,tt0117892,Things That Go Bump,1997
889423,tt6594714,Don't Look Away,2016
889927,tt10981326,Helter Skelter,2018
892700,tt5235486,What Goes Around,2015
896663,tt1576697,Lamaze of the Dead,2009
904417,tt1506451,The Monster,2008
904471,tt16260150,Garden Wedding,2007
911931,tt1548979,Ghosts in the Machine,2009
931312,tt12970066,Five Remakes of Ringu,2020
931313,tt15834358,The Legend of Helium Mary,2022
931348,tt18924150,Consequences,2022
934729,tt18548106,Moonlight Exigent,2022
938145,tt0774092,Cry,2002
938156,tt16117188,Through A Vulture Eye,2006
947065,tt14397252,Safe Inside,2021
947933,tt0314305,Left Hand Drive,1993
949733,tt4905608,Party 85,2015
954177,tt38949300,Possessions,1980
955336,tt0440998,Dead by Dawn 2 - the Mask of Conrad,2004
969757,tt15702016,Playtime,2021
975512,tt1347127,The Caterer,2008
977062,tt0876263,The Draft,2006
978673,tt2906736,Slaughter Among Pigs,2009
986437,tt21028888,Control,2019
994008,tt15847428,Dopplebanger,2022
996851,tt0200872,Mortice,1999
1001433,tt21307324,Intestines from Space,1978
1017821,tt0102345,Love and Curses... and All That Jazz,1991
1084456,tt26690446,Strippers from beyond the grave,2023
1118513,tt27663106,The Unusualist,2023
1137121,tt29541568,The Herp,2023
1152336,tt19225924,The DoubleWalker,2023
1175668,tt29036216,Drizzle in Johnson,2023
1179635,tt29189684,Family Tree,2023
1184902,tt31726705,Find You Here,2023
1190712,tt29485626,Similar Suspects,2023
1206636,tt11487742,The Evil Within,2024
1206723,tt29455183,The Von Dingles in: Halloween Massacre,2023
1239771,tt28082291,Forget Me Not,2023
1259281,tt19580058,The Followers of Sigmund,2023
1259424,tt29943081,Lisa Tries Love,2023
1262389,tt31077860,Jimpardy,2023
1275648,tt34376464,Liminal,2024
1281146,tt29898985,Nice Shades,2024
1281634,tt28561453,The Perfect Jump Scare,2023
1282176,tt24331700,It Grew Both Day and Night,2024
1290973,tt30990115,Monophobia,2023
1303393,tt27990712,Uncontrollable,2023
1312023,tt18305078,The Book of Zeke,2023
1312425,tt13605998,EZ Money,2024
1318154,tt31149574,Pest of the Mind,2024
1337295,tt19386928,Devil's Work,2025
1340731,tt27419582,October's Eyes,2023
1354816,tt35409085,La Diablesse,2025
1362425,tt35099423,Camera Obscura,2024
1365428,tt28766872,Raid of the Living Dead - The Norse Awakens,2024
1370430,tt38994717,Project Spooky,2024
1372978,tt38121273,Best Self,2024
1384299,tt36637192,Echoes of Hope,2024
1405586,tt33484698,Poodle’s Chainsaw Murders,2024
1405639,tt35572126,Smugglers Rest,2024
1405687,tt33267310,Rabid Reels,2025
1418314,tt35431418,Cleansing,2024
1430450,tt35671925,The Knock,2025
1438152,tt34143884,Jinx,2024
1442999,tt32868890,Mond Appétit,2025
1459122,tt42695518,Renascence,2025
1463368,tt4282828,The Enemy,2025
1484499,tt36457703,Unholy Smokes,2024
1503405,tt34382736,Friend Shaped,2025
1506139,tt37986375,My Secret Boyfriend Died in a Mass Shooting,2025
1557147,tt38210278,Murder Cabin,2025
1566810,tt37302995,The Lost Lily,2025
1592780,tt39100724,Gotcha,2025
1631971,tt2365975,Tammy's Cookies,2025
1637806,tt38455756,"Grandma, Where Are You?",2025
1641390,tt35540723,Grimoire du Souris: Sanctum Regnum,2025
1646028,tt36759444,djuna + lilith,2025
1661211,tt28492372,Nightcap,2023
1714225,tt38267179,Hollow Point Road,2025
1724548,tt36375186,The Crooked Man,2024
