id,title,year
7180,RISEN,2008
13276,Deadwater,2008
20321,Doctor Sleep,2002
28930,Live Evil,2009
29214,Echoes,1982
36965,Infection,2005
40338,Naked Massacre,1976
45511,Teacher's Pet,2000
47431,To Make a Killing,1988
51176,Hellborn,2003
56383,"Lisa, Lisa",1974
64623,Vendetta,1993
69142,The Wrath,2008
72654,Parents,2007
82972,Curio,2010
84233,Don't Hang Up,1974
92312,Django the Bastard,1969
95008,Scream... and Die!,1973
100467,The Hand That Feeds the Dead,1974
109707,Flora,1989
110772,Stille Nacht IV: Can't Go Wrong Without You,1993
125294,Rough Draft,1998
128655,Haunted High,2012
131575,Fear Has 1000 Eyes,1970
135973,Pennhurst,2012
144839,Evil Stalks This House,1981
163543,Shelf Life,2004
200803,Altered Species,2001
204611,The McPherson Tape,1989
208703,Rufus,2013
216139,Burned at the Stake,1981
217903,El virus del poder,1988
223281,The Unspeakable,1996
244305,The Ice House,1969
250788,Savage Encounter,1980
272100,Supernatural,1982
275203,Locked in a Room,2012
290696,Dysmorphia,2014
290732,VIViD,2011
300817,Graves & Bones,2014
302038,An Erotic Tale of Ms. Dracula,2014
303898,Cut Throat,2002
309063,The Ouija Experiment 2: Theatre of Death,2015
321768,Captive,2014
328939,Cheerleader Camp 2 the Death,2023
332689,Playing with Dolls,2015
373027,Geheimnisvolle Freundinnen,2003
392051,The Damned Thing,2014
404713,Downhill,2016
412471,Dark Silence,2016
417180,Vacant House,2016
421490,Tall Men,2016
461724,The Spirits of Jupiter,1984
477576,DeadThirsty,2017
492535,Darkness Wakes,2017
529744,Princess: Voices from Hell,2017
543901,P.O.E. Pieces of Eldritch (P.O.E. 3),2014
549646,Diggerz: Black Lung Rises,2019
549703,Girls Just Wanna Have Blood,2020
559928,Heaven's War,2018
567331,The Killing House,2018
601369,The Way She Used to Be,2018
638544,The Vault,2015
651448,Darkslide,2016
664168,Fat Ass Zombies,2020
721952,Homecoming Massacre,2020
729722,Afterward,1983
737885,The Test,2021
827144,The Corruption of Divine Providence,2020
853155,Bad Blood,2021
922848,Deadly Doula,2022
924618,Tardy Terror,2021
927771,Guiltless,2022
1156820,Meat's Meat... And Man's Gotta Eat,1990
1236920,Blood Fear,2022
1424947,By the Throat,2026
1505601,Blair's Craft Projects,2024
1708678,The Not-So-Grim Reaper,2001
