id,title,year,verdict,accepted_tt,n_candidates,hits,candidates
1019123,Spookie Dookie,2022.0,NO_TMDB_LINK,,2,,tt13996652|tt21651888
725283,The Circle,2020.0,NO_MATCH,,3,,tt11080442|tt11833800|tt20250342
984225,The Resurgence,2022.0,NO_MATCH,,2,,tt14763752|tt29387381
770456,A Christmas Carol,2019.0,NO_MATCH,,3,,tt10476682|tt10778144|tt13571948
418253,Trapped!,1994.0,NO_TMDB_LINK,,2,,tt0129450|tt0265892
466607,Love Is a Stranger,1994.0,NO_TMDB_LINK,,2,,tt0143456|tt12603432
752291,CROWN OF THE ARCHONS,2017.0,NO_TMDB_LINK,,2,,tt7809904|tt7818370
897260,The Project,2017.0,NO_TMDB_LINK,,2,,tt26743693|tt7748240
1200877,Crow,2023.0,NO_MATCH,,2,,tt11375842|tt1340094
1477709,Whispers,2025.0,NO_MATCH,,2,,tt35680929|tt36054825
1522558,Intruder,2025.0,NO_MATCH,,2,,tt33245062|tt33365542
1591150,Cycle,2024.0,NO_MATCH,,2,,tt28337760|tt42577152
1630746,The Strangers,2026.0,NO_TMDB_LINK,,2,,tt31077738|tt40205823
1158427,Temptation,2005.0,NO_MATCH,,3,,tt0339771|tt1059297|tt14766238
1214934,Enigma,2003.0,NO_MATCH,,2,,tt0458665|tt12093188
1255945,Witching Hour,,NO_MATCH,,11,,tt0007576|tt0012855|tt0025998|tt0089296|tt0181904|tt10327962|tt12002602|tt1634140|tt2727882|tt4473620|tt5103486
1520771,Ghost Ship,,NO_MATCH,,8,,tt0035937|tt0044656|tt0104334|tt0288477|tt33086064|tt5389708|tt8351502|tt8640996
1567770,Threshold,,NO_MATCH,,15,,tt0083197|tt0120326|tt0339789|tt0425360|tt10909734|tt13443576|tt22263454|tt22456808|tt37727297|tt39636133|tt4002210|tt4669328|tt4738196|tt8008938|tt9297478
1680958,The Hand,,NO_MATCH,,9,,tt0053890|tt0066039|tt0082497|tt0401456|tt13898604|tt15165236|tt22046190|tt27830625|tt37510083
1705685,Red Lips,,NO_MATCH,,5,,tt0019315|tt0114245|tt0141531|tt1206483|tt43312702
