id,full_ocr,n_lines,n_words,mean_conf,latency_s,error
793,Blue Velvet,1,2,0.7409,1.087,
1839,IAS DE UN FILM MARINA DE VAN,3,7,0.986,1.155,
2956,"VOS HOMUNCULUS nes I.TEIL DERRÜNSTLICHE MENTCH."" DELLA",7,7,0.4457,0.953,
2958,"Die Devilche Biolcop Gefellfchaft Geeher fich,Theen die Gebürt ihres jungften Kinder Homunculus (Olaf Fönss) onjuzeigen Die Taufrorfübrungs-Frierlichkeiten finden 20. Juni 1916 in den Räumen der om Deutfehen Biofcop Crefellfch. Friedrichfer. 236 Statt",11,31,0.6764,1.243,
2962,Roy HOMUNCULUS VITEIL (DAS ENDE DES HOMUNCULUS) OLAF FÖNSS mit von ROBERT REINERT,7,13,0.8455,1.16,
2967,"""ALRAUNE"" 2 6 AKTE NACH DEM ROMAN VON HANNS HEINZ EWSERS DINSE - ECKERT BERLIN 30 MARMORHAUA KURFORSTENDAMM 236 DIR: SIEGBERT GOLDSCHMIDT",11,22,0.7937,0.998,
2968,Ventral Film Endnre. Eisen. ALRAUNE Weltfilm in 6 Abteilungen! MONOPOL- FiLMVERTRiEB-A-FLÜGEL- FÜR GANZ SÜD-DEUTSCHLAND EiNSCHL- BAYERN FREiBURGY/BR.KAISERSTRASSE 151 DRINCK:E.EHRET. FREIBURG.,8,20,0.7711,1.226,
3402,MARTA,1,1,0.978,1.119,
3417,Frankenstein: une histoire d'amour,3,4,0.9204,1.13,
5634,STRANGLER OF THE BLACKWOOR CASTLE,3,5,0.8974,0.941,
9639,GRIMM LOVE,1,2,0.9959,0.558,
10695,"1775 MOTION PICTURE NEWS March 24, 1917 If you're tired of the Hum- drum in Photoplay Stories If you're yearning for some- thing New in Motion Pictureideas You will be interested in FATE MORATER A real mystery story. Anovel idea splendidly handled.A big problem STATE worked out. Interesting RIGHTS to the last flash on the screen. ""THE MONSTER SELLING OF FATE is relish for the WIRE OR WRITE TO DAY FOR YOUR TERRITORY palate of a jaded motion We have every Advertising and Publicity Aid you need picture public. Hawk Film Company New York City 1600 Broadway You are wasting your",30,100,0.9621,1.445,
12495,"The Singing, Ringing TREE",2,4,0.8483,0.653,
13151,SCOOBYDOO ZOMBIE ISLAND TM,2,4,0.7688,0.916,
13934,MATER AND THE GHOSTLIGHT,3,4,0.9784,0.762,
14248,iGOR H,2,2,0.548,0.868,
14282,NINTA SCROLL,2,2,0.7169,0.98,
15018,THRILLER a cruel picture-,2,4,0.9506,0.741,
16036,AOISM DRUNKARD,2,2,0.9825,0.835,
16465,THE INFERNAL CAULDRON,2,3,0.998,0.753,
17467,RIKI-OH THE STORY OF RICKY,2,5,0.9404,0.874,
18242,The Secret Adventures of Tom Thumb,2,6,0.9743,0.904,
18328,NU HÔN THAN CHÊT,4,4,0.958,0.776,
19006,مقسسة THE FLAT PRODUCT,3,4,0.4362,0.498,
19035,Jan Švankmajer Dimensions of Dialogue,3,5,0.9893,0.592,
19037,VIRILE GAMES,2,2,0.9876,0.598,
19130,MABUSE Dr. THE INVISIBLE,3,4,0.9604,0.807,
19147,HOMEM QUE DESAFIOU .DIABO,3,4,0.8012,1.071,
20132,kaaL,1,1,0.5509,0.616,
20731,RAAZ,1,1,0.966,0.663,
24127,"THREE GREAT DAYS AT THE Theatre Isis Next to Postoffice TONIGHT FOUR FEELS OF GEORGE KLEINE ATTRACTIONS Absoluetly the best films produced, this Thursday ١١٦١ will have THE ISLAND OF TERROR In Two Reels COALS OF FIRE SAMMY AT THE SEASIDE PICTURESQUE WATERFALLS OF FRANCE",13,45,0.9581,0.865,
24175,Gostanza da Libbiano di Paolo Benvenuti a cura di Laura Caretti IL PRATO Centro Cinema Paolo e Vittorio Taviani EDIZIONI ETS,7,21,0.9972,0.747,
25237,COME AND SEE,1,3,1.0,0.903,
27240,Dear Gougle,2,2,0.526,0.679,
27250,PSYCHIC WARS,1,2,0.9929,0.72,
27393,A DRAGONFLY EACH FOR CORPSE,5,5,0.9912,0.599,
27614,PAVERGAY,1,1,0.2415,0.527,
28064,NAKED YOU DiE,3,3,0.9485,1.122,
28197,THE EYES OF THE MUMMY,1,5,0.8668,0.598,
28298,SADE,1,1,0.9949,0.902,
28488,KNIFE OF ICE,3,3,0.9928,0.787,
28574,VIOLENCE IN A WOMEN'S PRISON,2,5,0.9937,0.734,
28588,Gary Larson's TALES FROM THE FAR SIDE™ R,3,8,0.909,0.815,
28589,Gary Larson's TALES FROM FAR THL SIDE,3,7,0.8944,0.726,
28629,EERIE TALES 9 JO & ج 1 2 3 mit Conrad Yeidt Reinhold Schünzel Anita Berber man SWM - PHONIX-PILM VERTRIEB,8,21,0.8414,0.803,
28682,Emanaella in America,3,3,0.7565,1.107,
28812,the KILLER WORE GLOVES,2,4,0.998,0.584,
28844,BLACK VELVET,2,2,0.9763,1.028,
28856,WRATH OF.. DAIMATIN,2,3,0.6197,1.219,
28857,RETURN OF DAMAJIN,2,3,0.6884,0.964,
29165,The Crimes ofthe Black Cat POLIT,6,6,0.9901,0.738,
29530,RINGS OF FEAR,3,3,0.9928,0.573,
