id,title,year,genre_names,reason
9984,City of Rott,2006,"Animation, Horror",tmdb_genre_Animation
13190,Dead Space: Downfall,2008,"Animation, Horror, Science Fiction, Thriller",tmdb_genre_Animation
13204,Hellboy Animated: Blood and Iron,2007,"Action, Animation, Fantasy, Horror, Science Fiction, Thriller, TV Movie",tmdb_genre_Animation
16226,Lady Death,2004,"Action, Animation, Fantasy, Horror, Science Fiction",tmdb_genre_Animation
16774,Hellboy Animated: Sword of Storms,2006,"Action, Animation, Fantasy, Horror, Science Fiction, Thriller, TV Movie",tmdb_genre_Animation
17778,We Are the Strange,2007,"Animation, Drama, Fantasy, Horror, Science Fiction",tmdb_genre_Animation
31967,Dante's Inferno: An Animated Epic,2010,"Action, Adventure, Animation, Horror",tmdb_genre_Animation
33274,Street Fighter - Round One - FIGHT!,2009,"Animation, Fantasy, Horror, Science Fiction",tmdb_genre_Animation
38863,Go to Hell!,1997,"Animation, Horror",tmdb_genre_Animation
46719,Night of the Living Dead: Reanimated,2009,"Action, Animation, Drama, Fantasy, Horror, Thriller",tmdb_genre_Animation
55215,Dead Space: Aftermath,2010,"Animation, Horror, Science Fiction",tmdb_genre_Animation
64855,Ghost Stories,1987,"Animation, Horror, TV Movie",tmdb_genre_Animation
79436,Dr. Jekyll and Mr. Hyde,1986,"Animation, Horror",tmdb_genre_Animation
169314,Where the Dead Go to Die,2012,"Animation, Fantasy, Horror",tmdb_genre_Animation
198757,The Amazing Adventures of the Living Corpse,2012,"Animation, Horror",tmdb_genre_Animation
208505,The Dark Planet,1989,"Animation, Fantasy, Horror, Mystery, Science Fiction",tmdb_genre_Animation
214851,The Romantic,2009,"Action, Adventure, Animation, Fantasy, Horror, Romance",tmdb_genre_Animation
225982,From Inside,2008,"Animation, Horror",tmdb_genre_Animation
227618,Nightmare Museum,2006,"Animation, Horror",tmdb_genre_Animation
300375,Borley Rectory,2017,"Animation, Documentary, Horror",tmdb_genre_Animation
329020,Extraordinary Tales,2013,"Animation, Horror, Mystery",tmdb_genre_Animation
331031,The Digital Dead: Rise of the Zombies,2014,"Animation, Horror",tmdb_genre_Animation
354481,The Phantom of the Opera,1988,"Animation, Horror",tmdb_genre_Animation
363890,Night of the Living Dead: Darkest Dawn,2015,"Action, Animation, Horror",tmdb_genre_Animation
366071,Enchiridion,2012,"Animation, Drama, Horror",tmdb_genre_Animation
366171,To Your Last Death,2019,"Animation, Horror",tmdb_genre_Animation
371914,When Black Birds Fly,2016,"Animation, Horror, Science Fiction",tmdb_genre_Animation
378160,Abruptio,2024,"Animation, Horror, Thriller",tmdb_genre_Animation
410865,Eight Clouds Rising,1997,"Adventure, Animation, History, Horror",tmdb_genre_Animation
458071,Dracula's Angel,2014,"Animation, Horror",tmdb_genre_Animation
476047,Umbilical World,2018,"Animation, Horror",tmdb_genre_Animation
480204,Monsters of the Id,2007,"Animation, Horror",tmdb_genre_Animation
491277,Howard Lovecraft & the Undersea Kingdom,2017,"Adventure, Animation, Family, Fantasy, Horror",tmdb_genre_Animation
523033,The Ketchup Vampires,1995,"Adventure, Animation, Horror",tmdb_genre_Animation
