id,title,year,genre_names,reason
747,Shaun of the Dead,2004,"Comedy, Horror",tmdb_genre_Comedy
763,Braindead,1992,"Comedy, Horror",tmdb_genre_Comedy
765,Evil Dead II,1987,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
766,Army of Darkness,1992,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
814,An American Werewolf in London,1981,"Comedy, Horror",tmdb_genre_Comedy
927,Gremlins,1984,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
928,Gremlins 2: The New Batch,1990,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
1423,Flying Saucer Rock 'N' Roll,2006,"Adventure, Comedy, Horror, Science Fiction",tmdb_genre_Comedy
1547,The Lost Boys,1987,"Comedy, Horror",tmdb_genre_Comedy
1694,Re-Animator,1985,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
1961,My Name Is Bruce,2007,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
2151,Man with the Screaming Brain,2005,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
2182,Attack of the Killer Tomatoes!,1978,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
2199,My Mom's a Werewolf,1989,"Comedy, Horror",tmdb_genre_Comedy
3023,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
3028,Jekyll and Hyde... Together Again,1982,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
3053,The Fearless Vampire Killers,1967,"Comedy, Horror",tmdb_genre_Comedy
3144,Rock 'n' Roll Frankenstein,1999,"Comedy, Horror, Music",tmdb_genre_Comedy
3151,Frankenstein General Hospital,1988,"Comedy, Horror",tmdb_genre_Comedy
3152,Big Monster on Campus,2000,"Comedy, Horror",tmdb_genre_Comedy
3217,Monster Mash: The Movie,1995,"Comedy, Horror",tmdb_genre_Comedy
3218,Mistress Frankenstein,2000,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
3486,The Fiendish Plot of Dr. Fu Manchu,1980,"Comedy, Horror",tmdb_genre_Comedy
3603,Black Sheep,2007,"Comedy, Horror",tmdb_genre_Comedy
3980,Critters,1986,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
4237,Freak Out,2004,"Comedy, Horror",tmdb_genre_Comedy
4242,Scary Movie,1991,"Comedy, Horror, Thriller",tmdb_genre_Comedy
4365,Munchies,1987,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
5060,Carry On Screaming,1966,"Comedy, Horror",tmdb_genre_Comedy
5072,Severance,2006,"Comedy, Horror, Thriller",tmdb_genre_Comedy
5657,The Worm Eaters,1977,"Comedy, Horror",tmdb_genre_Comedy
5680,"Elvira, Mistress of the Dark",1988,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
5759,Baghead,2008,"Comedy, Drama, Horror, Romance",tmdb_genre_Comedy
6069,The Witches of Eastwick,1987,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
6488,Arachnophobia,1990,"Comedy, Horror",tmdb_genre_Comedy
6552,Idle Hands,1999,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
7091,Vampire's Kiss,1988,"Comedy, Horror",tmdb_genre_Comedy
8464,Top of the Food Chain,1999,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
8869,Eight Legged Freaks,2002,"Action, Comedy, Horror, Thriller",tmdb_genre_Comedy
8991,Undead,2003,"Action, Comedy, Horror, Science Fiction",tmdb_genre_Comedy
9035,Slither,2006,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
9059,Tales from the Crypt: Demon Knight,1995,"Comedy, Horror, Thriller",tmdb_genre_Comedy
9362,Tremors,1990,"Action, Comedy, Horror, Science Fiction",tmdb_genre_Comedy
9374,Death Becomes Her,1992,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
9406,An American Werewolf in Paris,1997,"Comedy, Horror",tmdb_genre_Comedy
9431,Bordello of Blood,1996,"Comedy, Horror",tmdb_genre_Comedy
9680,Uncle Sam,1996,"Comedy, Horror",tmdb_genre_Comedy
9707,Bubba Ho-tep,2002,"Comedy, Fantasy, Horror, Mystery, Thriller",tmdb_genre_Comedy
9825,Lake Placid,1999,"Action, Comedy, Horror, Science Fiction, Thriller",tmdb_genre_Comedy
9890,The Stepford Wives,2004,"Comedy, Horror, Science Fiction, Thriller",tmdb_genre_Comedy
9964,Bad Taste,1987,"Action, Comedy, Horror, Science Fiction",tmdb_genre_Comedy
9976,Satan's Little Helper,2004,"Comedy, Horror, Romance",tmdb_genre_Comedy
10012,Cursed,2005,"Comedy, Horror",tmdb_genre_Comedy
10070,Feast,2005,"Action, Comedy, Horror, Thriller",tmdb_genre_Comedy
10089,Evil Bong,2006,"Comedy, Horror",tmdb_genre_Comedy
10127,Critters 2,1988,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
10177,Evil Aliens,2006,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
10205,Cut,2000,"Comedy, Horror, Mystery",tmdb_genre_Comedy
10206,Buffy the Vampire Slayer,1992,"Action, Comedy, Horror",tmdb_genre_Comedy
10288,Fido,2006,"Comedy, Drama, Horror, Romance",tmdb_genre_Comedy
10432,Hack!,2007,"Comedy, Horror",tmdb_genre_Comedy
10776,Little Shop of Horrors,1986,"Comedy, Horror",tmdb_genre_Comedy
10779,The Frighteners,1996,"Comedy, Horror",tmdb_genre_Comedy
10829,Tremors 3: Back to Perfection,2001,"Action, Comedy, Horror, Science Fiction, Thriller",tmdb_genre_Comedy
10845,2001 Maniacs,2005,"Comedy, Horror",tmdb_genre_Comedy
10891,Tremors 4: The Legend Begins,2004,"Action, Comedy, Horror, Western",tmdb_genre_Comedy
10894,May,2003,"Comedy, Drama, Horror",tmdb_genre_Comedy
10925,The Return of the Living Dead,1985,"Comedy, Horror",tmdb_genre_Comedy
10961,Behind the Mask: The Rise of Leslie Vernon,2006,"Comedy, Horror, Thriller",tmdb_genre_Comedy
11069,Tremors 2: Aftershocks,1996,"Action, Comedy, Horror, Science Fiction, Thriller",tmdb_genre_Comedy
11217,Club Dread,2004,"Comedy, Horror",tmdb_genre_Comedy
11249,Seed of Chucky,2004,"Comedy, Horror",tmdb_genre_Comedy
11342,Warlock,1989,"Adventure, Comedy, Fantasy, Horror",tmdb_genre_Comedy
11347,The Lair of the White Worm,1988,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
11415,House,1986,"Comedy, Horror",tmdb_genre_Comedy
11429,Beyond Re-Animator,2003,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
11629,Legion of the Dead,2001,"Comedy, Fantasy, Horror, Science Fiction",tmdb_genre_Comedy
11797,Fright Night,1985,"Comedy, Horror",tmdb_genre_Comedy
11811,Leprechaun,1993,"Comedy, Horror",tmdb_genre_Comedy
11908,Hatchet,2006,"Comedy, Horror",tmdb_genre_Comedy
11932,Bride of Chucky,1998,"Comedy, Horror",tmdb_genre_Comedy
11974,The 'Burbs,1989,"Comedy, Horror, Thriller",tmdb_genre_Comedy
12110,Dracula: Dead and Loving It,1995,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
12158,Vampire in Brooklyn,1995,"Comedy, Horror, Romance",tmdb_genre_Comedy
12525,Critters 4,1992,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
12591,Santa's Slay,2005,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
12702,Critters 3,1991,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
12718,Teenage Caveman,2002,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
12724,The Convent,2000,"Comedy, Horror, Thriller",tmdb_genre_Comedy
13009,Zombie Strippers!,2008,"Comedy, Horror",tmdb_genre_Comedy
13013,Son of Dracula,1974,"Comedy, Horror, Music",tmdb_genre_Comedy
13094,Dance of the Dead,2008,"Comedy, Horror",tmdb_genre_Comedy
13121,Teeth,2007,"Comedy, Horror",tmdb_genre_Comedy
13489,Lost Boys: The Tribe,2008,"Comedy, Crime, Drama, Horror, Thriller",tmdb_genre_Comedy
13561,Murder Party,2007,"Comedy, Horror",tmdb_genre_Comedy
13762,The Private Eyes,1980,"Comedy, Crime, Horror, Mystery, Thriller",tmdb_genre_Comedy
13797,Feast II: Sloppy Seconds,2008,"Action, Comedy, Horror, Thriller",tmdb_genre_Comedy
13849,The Cottage,2008,"Comedy, Crime, Horror, Thriller",tmdb_genre_Comedy
14005,Terror Firmer,1999,"Comedy, Fantasy, Horror, Thriller",tmdb_genre_Comedy
14907,Alien Apocalypse,2005,"Comedy, Drama, Horror, Science Fiction, Thriller, TV Movie",tmdb_genre_Comedy
15135,Feast III: The Happy Finish,2009,"Action, Comedy, Horror, Thriller",tmdb_genre_Comedy
15239,The Toxic Avenger,1984,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
15423,Snoop Dogg's Hood of Horror,2006,"Comedy, Horror",tmdb_genre_Comedy
15482,Return of the Killer Tomatoes!,1988,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
15527,Otis,2008,"Comedy, Horror",tmdb_genre_Comedy
15689,Dead Meat,2004,"Action, Comedy, Horror, Science Fiction",tmdb_genre_Comedy
15762,Night of the Creeps,1986,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
15851,Death to the Supermodels,2005,"Comedy, Horror",tmdb_genre_Comedy
16159,Sundown: The Vampire in Retreat,1989,"Comedy, Horror",tmdb_genre_Comedy
16191,Highway to Hell,1991,"Action, Comedy, Fantasy, Horror",tmdb_genre_Comedy
16205,Jack Brooks: Monster Slayer,2007,"Action, Comedy, Horror",tmdb_genre_Comedy
16209,Jesus Christ Vampire Hunter,2001,"Action, Comedy, Horror",tmdb_genre_Comedy
16281,Creepshow,1982,"Comedy, Horror",tmdb_genre_Comedy
16288,Creepshow 2,1987,"Comedy, Horror",tmdb_genre_Comedy
16296,Killer Klowns from Outer Space,1988,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
16304,Creepshow 3,2006,"Comedy, Horror",tmdb_genre_Comedy
16337,The Texas Chainsaw Massacre 2,1986,"Comedy, Horror",tmdb_genre_Comedy
16634,Alien Trespass,2009,"Action, Adventure, Comedy, Horror, Science Fiction",tmdb_genre_Comedy
16846,Gingerdead Man 2: Passion of the Crust,2008,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
17005,Bitten,2008,"Comedy, Horror",tmdb_genre_Comedy
17141,Blood Car,2007,"Comedy, Horror",tmdb_genre_Comedy
17153,Botched,2007,"Comedy, Crime, Horror, Thriller",tmdb_genre_Comedy
17287,Poultrygeist: Night of the Chicken Dead,2006,"Comedy, Horror",tmdb_genre_Comedy
17306,Ice Spiders,2007,"Action, Adventure, Comedy, Horror, Science Fiction, TV Movie",tmdb_genre_Comedy
17796,Freaked,1993,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
17910,Gnaw,2008,"Comedy, Horror",tmdb_genre_Comedy
17965,The Abominable Dr. Phibes,1971,"Comedy, Horror",tmdb_genre_Comedy
18009,Leprechaun 2,1994,"Comedy, Horror",tmdb_genre_Comedy
18011,Leprechaun in the Hood,2000,"Comedy, Horror",tmdb_genre_Comedy
18111,Bride of Re-Animator,1990,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
18116,American Zombie,2007,"Comedy, Documentary, Horror",tmdb_genre_Comedy
18216,Brutal Massacre: A Comedy,2008,"Comedy, Horror",tmdb_genre_Comedy
18238,Lesbian Vampire Killers,2009,"Comedy, Horror",tmdb_genre_Comedy
18250,Dr. Phibes Rises Again,1972,"Adventure, Comedy, Horror",tmdb_genre_Comedy
18462,Night of the Comet,1984,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
18498,Ghoulies,1985,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
18502,The Stuff,1985,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
18505,Grizzly Park,2008,"Comedy, Horror",tmdb_genre_Comedy
18632,A Dog's Breakfast,2007,"Comedy, Horror",tmdb_genre_Comedy
18841,The Lost Skeleton of Cadavra,2001,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
18966,Love at First Bite,1979,"Comedy, Horror, Romance",tmdb_genre_Comedy
19064,Once Bitten,1985,"Comedy, Horror, Romance",tmdb_genre_Comedy
19286,Leprechaun 3,1995,"Comedy, Horror",tmdb_genre_Comedy
19287,Leprechaun 4: In Space,1996,"Comedy, Fantasy, Horror, Science Fiction",tmdb_genre_Comedy
19288,Leprechaun: Back 2 tha Hood,2003,"Comedy, Horror",tmdb_genre_Comedy
19310,Spectres of the Spectrum,2000,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
19351,Maniac Nurses,1992,"Comedy, Horror",tmdb_genre_Comedy
19723,The League of Gentlemen's Apocalypse,2005,"Comedy, Horror",tmdb_genre_Comedy
19908,Zombieland,2009,"Comedy, Horror",tmdb_genre_Comedy
19994,Jennifer's Body,2009,"Comedy, Horror",tmdb_genre_Comedy
20029,Evil Bong 2: King Bong,2009,"Comedy, Horror",tmdb_genre_Comedy
20472,Saturday the 14th,1981,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
20485,Growing Out,2009,"Comedy, Horror",tmdb_genre_Comedy
20606,Doghouse,2009,"Comedy, Horror",tmdb_genre_Comedy
20701,Tales from the Darkside: The Movie,1990,"Comedy, Fantasy, Horror, Thriller",tmdb_genre_Comedy
20842,Children Shouldn't Play with Dead Things,1972,"Comedy, Horror",tmdb_genre_Comedy
21151,My Best Friend Is a Vampire,1987,"Comedy, Family, Horror",tmdb_genre_Comedy
21187,Diagnosis: Death,2010,"Comedy, Horror",tmdb_genre_Comedy
21362,High Spirits,1988,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
21381,Rabid Grannies,1988,"Comedy, Horror",tmdb_genre_Comedy
21509,The Cook,2008,"Comedy, Horror",tmdb_genre_Comedy
21515,Student Bodies,1981,"Comedy, Horror",tmdb_genre_Comedy
21597,Elvira's Haunted Hills,2002,"Comedy, Horror",tmdb_genre_Comedy
21627,Crimewave,1985,"Comedy, Crime, Horror",tmdb_genre_Comedy
21838,Dead & Breakfast,2004,"Comedy, Fantasy, Horror",tmdb_genre_Comedy
21910,I Sell the Dead,2008,"Comedy, Drama, Horror",tmdb_genre_Comedy
22172,Street Trash,1987,"Comedy, Horror",tmdb_genre_Comedy
22244,Society,1989,"Comedy, Horror, Mystery",tmdb_genre_Comedy
22335,Smash Cut,2009,"Comedy, Horror",tmdb_genre_Comedy
22455,Body Melt,1994,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
22476,Infestation,2009,"Action, Comedy, Horror, Science Fiction",tmdb_genre_Comedy
22573,Last of the Living,2009,"Comedy, Horror",tmdb_genre_Comedy
22637,I Know How Many Runs You Scored Last Summer,2008,"Comedy, Horror",tmdb_genre_Comedy
22642,A Bucket of Blood,1959,"Comedy, Horror",tmdb_genre_Comedy
23127,The Haunted World of El Superbeasto,2009,"Action, Animation, Comedy, Horror",tmdb_genre_Comedy
23173,Tormented,2009,"Comedy, Horror",tmdb_genre_Comedy
23532,How to Be a Serial Killer,2009,"Comedy, Crime, Horror",tmdb_genre_Comedy
23988,Stan Helsing,2009,"Comedy, Horror",tmdb_genre_Comedy
24098,O.C. Babes and the Slasher of Zombietown,2008,"Comedy, Horror",tmdb_genre_Comedy
24103,Haunted Honeymoon,1986,"Comedy, Drama, Horror, Music, Mystery",tmdb_genre_Comedy
24133,One-Eyed Monster,2008,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
24194,TerrorVision,1986,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
24409,Nightmare Man,2006,"Comedy, Horror, Thriller",tmdb_genre_Comedy
24452,The Little Shop of Horrors,1960,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
24632,The Mad,2007,"Comedy, Horror, Thriller",tmdb_genre_Comedy
24777,Private Parts,1972,"Comedy, Horror, Mystery, Thriller",tmdb_genre_Comedy
24831,Piranha,1978,"Comedy, Horror",tmdb_genre_Comedy
24925,Night of the Demons 2,1994,"Comedy, Horror",tmdb_genre_Comedy
24929,Return of the Living Dead Part II,1988,"Comedy, Horror",tmdb_genre_Comedy
24935,Return of the Living Dead: Necropolis,2005,"Action, Comedy, Horror",tmdb_genre_Comedy
24939,Return of the Living Dead: Rave to the Grave,2005,"Action, Comedy, Horror",tmdb_genre_Comedy
24944,Skinned Alive,1990,"Comedy, Horror",tmdb_genre_Comedy
24948,Zombies! Zombies! Zombies!,2008,"Comedy, Horror",tmdb_genre_Comedy
25061,Zombie Nation,2004,"Comedy, Horror",tmdb_genre_Comedy
25088,The Willies,1990,"Comedy, Horror",tmdb_genre_Comedy
25133,Transylvania 6-5000,1985,"Comedy, Horror",tmdb_genre_Comedy
25145,Andre the Butcher,2005,"Comedy, Horror",tmdb_genre_Comedy
25234,Evil Ed,1995,"Comedy, Horror",tmdb_genre_Comedy
25422,Die You Zombie Bastards!,2005,"Comedy, Horror",tmdb_genre_Comedy
25533,Undead or Alive: A Zombedy,2007,"Action, Comedy, Horror",tmdb_genre_Comedy
25574,Dead Moon Rising,2007,"Action, Adventure, Comedy, Horror",tmdb_genre_Comedy
25762,Curse of the Queerwolf,1988,"Comedy, Horror",tmdb_genre_Comedy
26230,Class of Nuke 'Em High 2: Subhumanoid Meltdown,1991,"Comedy, Horror, Science Fiction",tmdb_genre_Comedy
26369,Cannibal Women in the Avocado Jungle of Death,1989,"Action, Adventure, Comedy, Horror, Romance",tmdb_genre_Comedy
26554,Class of Nuke 'Em High,1986,"Comedy, Horror, Science Fiction, Thriller",tmdb_genre_Comedy
