id,title,year,genre_names,reason
3144,Rock 'n' Roll Frankenstein,1999,"Comedy, Horror, Music",tmdb_genre_Music
13013,Son of Dracula,1974,"Comedy, Horror, Music",tmdb_genre_Music
14353,Repo! The Genetic Opera,2008,"Horror, Music, Science Fiction",tmdb_genre_Music
24103,Haunted Honeymoon,1986,"Comedy, Drama, Horror, Music, Mystery",tmdb_genre_Music
27327,Phantom of the Paradise,1974,"Comedy, Fantasy, Horror, Music, Thriller",tmdb_genre_Music
28128,Hard Rock Zombies,1985,"Comedy, Horror, Music",tmdb_genre_Music
29616,Crazy Animal,2007,"Horror, Music",tmdb_genre_Music
34321,Cradle Of Filth : PanDaemonAeon,1998,"Documentary, Horror, Music",tmdb_genre_Music
36762,Rock 'n' Roll Nightmare,1987,"Horror, Music",tmdb_genre_Music
37924,Sweeney Todd,2006,"Drama, Horror, Music, Thriller",tmdb_genre_Music
38134,Vicious Lips,1987,"Comedy, Horror, Music, Science Fiction",tmdb_genre_Music
38258,Grizzly II: Revenge,2020,"Horror, Music, Thriller",tmdb_genre_Music
40208,Shock 'Em Dead,1991,"Horror, Music, Thriller",tmdb_genre_Music
42794,The Horror of Party Beach,1964,"Horror, Music, Science Fiction",tmdb_genre_Music
44028,Suck,2009,"Comedy, Horror, Music",tmdb_genre_Music
44436,ODDSAC,2010,"Horror, Music",tmdb_genre_Music
48302,Bad Channels,1992,"Comedy, Horror, Music, Science Fiction",tmdb_genre_Music
55616,Dracula: Pages from a Virgin's Diary,2002,"Drama, Horror, Music",tmdb_genre_Music
58520,Live Freaky! Die Freaky!,2006,"Animation, Comedy, Horror, Music, Science Fiction",tmdb_genre_Music
77824,Rockula,1990,"Comedy, Horror, Music, Romance",tmdb_genre_Music
83404,Don't Go in the Woods,2012,"Horror, Music",tmdb_genre_Music
84289,Black Roses,1988,"Horror, Music",tmdb_genre_Music
84590,Banned,1989,"Comedy, Fantasy, Horror, Music",tmdb_genre_Music
84994,Rocktober Blood,1984,"Horror, Music",tmdb_genre_Music
