id,title,year,imdb_id,tmdb_genres,imdb_titleType,flag_tmdb_tv_movie,flag_imdb_tv_type,reason
3024,The Strange Case of Dr. Jekyll and Mr. Hyde,,tt0062908,,tvMovie,0,1,tv_horror_tmdb_or_imdb
3027,Dr. Jekyll and Mr. Hyde,1973,tt0070002,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
3042,Frankenstein,1993,tt0106959,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
3056,Frankenstein,2004,tt0397430,"Drama, Horror, Mystery, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
3067,Frankenstein,1984,tt0087288,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
3068,Frankenstein,1973,tt0070073,"Horror, Science Fiction, TV Movie",tvEpisode,1,1,tv_horror_tmdb_or_imdb
3070,Frankenstein,1987,tt0311159,"Family, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
3105,Frankenstein: The True Story,1974,tt0070074,"Drama, Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
3579,Shadow Realm,2002,tt0328723,"Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
4337,The Birds II: Land's End,1994,tt0109275,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
5675,Hollywood Rated 'R',1997,tt0179853,"Documentary, Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
6174,The Murders in the Rue Morgue,1986,tt0091574,"Crime, Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
7342,Carrie,2002,tt0319970,"Drama, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
9608,The Legend of Sleepy Hollow,1999,tt0214874,"Fantasy, Horror, Mystery",tvMovie,0,1,tv_horror_tmdb_or_imdb
9711,Species III,2004,tt0410650,"Action, Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
9755,Bloodsuckers,2005,tt0430926,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
10004,Desperation,2006,tt0129871,"Drama, Fantasy, Horror, Mystery, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
11508,Addams Family Reunion,,tt0146402,,tvMovie,0,1,tv_horror_tmdb_or_imdb
14192,Living Hell,2008,tt0479201,"Action, Horror, Science Fiction, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
14730,The Wyvern Mystery,2000,tt0237934,"Drama, History, Horror, Mystery, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
14863,Anaconda 3: Offspring,2008,tt1137996,"Action, Adventure, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
