id,title,year,vote_count,imdb_id,reason
346364,It,2017,16900,tt1396484,tmdb_vote_count_gt_100
381288,Split,2016,15360,tt4972582,tmdb_vote_count_gt_100
694,The Shining,1980,14911,tt0081505,tmdb_vote_count_gt_100
419430,Get Out,2017,14721,tt5052448,tmdb_vote_count_gt_100
72190,World War Z,2013,13440,tt0816711,tmdb_vote_count_gt_100
44214,Black Swan,2010,12624,tt0947798,tmdb_vote_count_gt_100
348,Alien,1979,12083,tt0078748,tmdb_vote_count_gt_100
447332,A Quiet Place,2018,12032,tt6644200,tmdb_vote_count_gt_100
138843,The Conjuring,2013,9735,tt1457767,tmdb_vote_count_gt_100
578,Jaws,1975,8659,tt0073195,tmdb_vote_count_gt_100
539,Psycho,1960,8452,tt0054215,tmdb_vote_count_gt_100
176,Saw,2004,7650,tt0387564,tmdb_vote_count_gt_100
158015,The Purge,2013,7386,tt2184339,tmdb_vote_count_gt_100
300668,Annihilation,2018,7378,tt2798920,tmdb_vote_count_gt_100
126889,Alien: Covenant,2017,7298,tt2316204,tmdb_vote_count_gt_100
474350,It Chapter Two,2019,7221,tt7349950,tmdb_vote_count_gt_100
259693,The Conjuring 2,2016,7061,tt3065204,tmdb_vote_count_gt_100
333371,10 Cloverfield Lane,2016,6808,tt1179933,tmdb_vote_count_gt_100
22970,The Cabin in the Woods,2012,6741,tt1259521,tmdb_vote_count_gt_100
9552,The Exorcist,1973,6535,tt0070047,tmdb_vote_count_gt_100
300669,Don't Breathe,2016,6387,tt4160708,tmdb_vote_count_gt_100
282035,The Mummy,2017,6346,tt2345759,tmdb_vote_count_gt_100
395992,Life,2017,6326,tt5442430,tmdb_vote_count_gt_100
933260,The Substance,2024,6206,tt17526714,tmdb_vote_count_gt_100
458723,Us,2019,6169,tt6857112,tmdb_vote_count_gt_100
345940,The Meg,2018,6068,tt4779682,tmdb_vote_count_gt_100
493922,Hereditary,2018,6057,tt7784604,tmdb_vote_count_gt_100
60304,Hansel & Gretel: Witch Hunters,2013,6015,tt1428538,tmdb_vote_count_gt_100
561,Constantine,2005,5863,tt0360486,tmdb_vote_count_gt_100
381283,mother!,2017,5863,tt5109784,tmdb_vote_count_gt_100
310131,The Witch,2015,5790,tt4263482,tmdb_vote_count_gt_100
2668,Sleepy Hollow,1999,5700,tt0162661,tmdb_vote_count_gt_100
238636,The Purge: Anarchy,2014,5695,tt2975578,tmdb_vote_count_gt_100
49018,Insidious,2010,5689,tt1591095,tmdb_vote_count_gt_100
1091,The Thing,1982,5566,tt0084787,tmdb_vote_count_gt_100
170,28 Days Later,2002,5557,tt0289043,tmdb_vote_count_gt_100
270303,It Follows,2014,5456,tt3235888,tmdb_vote_count_gt_100
1933,The Others,2001,5398,tt0230600,tmdb_vote_count_gt_100
439079,The Nun,2018,5393,tt5814060,tmdb_vote_count_gt_100
1576,Resident Evil,2002,5385,tt0120804,tmdb_vote_count_gt_100
49017,Dracula Untold,2014,5364,tt0829150,tmdb_vote_count_gt_100
250546,Annabelle,2014,5341,tt3322940,tmdb_vote_count_gt_100
4232,Scream,1996,5318,tt0117571,tmdb_vote_count_gt_100
242224,The Babadook,2014,5251,tt2321549,tmdb_vote_count_gt_100
530385,Midsommar,2019,5237,tt8772262,tmdb_vote_count_gt_100
565,The Ring,2002,5208,tt0298130,tmdb_vote_count_gt_100
507089,Five Nights at Freddy's,2023,5095,tt4589218,tmdb_vote_count_gt_100
13885,Sweeney Todd: The Demon Barber of Fleet Street,2007,5091,tt0408236,tmdb_vote_count_gt_100
7131,Van Helsing,2004,4987,tt0338526,tmdb_vote_count_gt_100
755,From Dusk Till Dawn,1996,4977,tt0116367,tmdb_vote_count_gt_100
36647,Blade,1998,4965,tt0120611,tmdb_vote_count_gt_100
1813,The Devil's Advocate,1997,4887,tt0118971,tmdb_vote_count_gt_100
396422,Annabelle: Creation,2017,4859,tt5140878,tmdb_vote_count_gt_100
628,Interview with the Vampire,1994,4852,tt0110148,tmdb_vote_count_gt_100
1233413,Sinners,2025,4835,tt31193180,tmdb_vote_count_gt_100
570670,The Invisible Man,2020,4778,tt1051906,tmdb_vote_count_gt_100
520763,A Quiet Place Part II,2021,4721,tt8332922,tmdb_vote_count_gt_100
423108,The Conjuring: The Devil Made Me Do It,2021,4689,tt7069210,tmdb_vote_count_gt_100
945961,Alien: Romulus,2024,4682,tt18412256,tmdb_vote_count_gt_100
8077,Alien³,1992,4615,tt0103644,tmdb_vote_count_gt_100
316727,The Purge: Election Year,2016,4614,tt4094724,tmdb_vote_count_gt_100
9532,Final Destination,2000,4585,tt0195714,tmdb_vote_count_gt_100
82507,Sinister,2012,4563,tt1922777,tmdb_vote_count_gt_100
332567,The Shallows,2016,4524,tt4052882,tmdb_vote_count_gt_100
948,Halloween,1978,4421,tt0077651,tmdb_vote_count_gt_100
21208,Orphan,2009,4403,tt1148204,tmdb_vote_count_gt_100
201085,Crimson Peak,2015,4396,tt2554274,tmdb_vote_count_gt_100
215,Saw II,2005,4357,tt0432348,tmdb_vote_count_gt_100
23827,Paranormal Activity,2007,4309,tt1179904,tmdb_vote_count_gt_100
6114,Bram Stoker's Dracula,1992,4172,tt0103874,tmdb_vote_count_gt_100
377,A Nightmare on Elm Street,1984,4150,tt0087800,tmdb_vote_count_gt_100
5876,The Mist,2007,4147,tt0884328,tmdb_vote_count_gt_100
615656,Meg 2: The Trench,2023,4032,tt9224104,tmdb_vote_count_gt_100
298312,The Visit,2015,4012,tt3567288,tmdb_vote_count_gt_100
376570,Hush,2016,3990,tt5022702,tmdb_vote_count_gt_100
8078,Alien Resurrection,1997,3981,tt0118583,tmdb_vote_count_gt_100
424139,Halloween,2018,3974,tt1502407,tmdb_vote_count_gt_100
36586,Blade II,2002,3963,tt0187738,tmdb_vote_count_gt_100
522681,Escape Room,2019,3924,tt5886046,tmdb_vote_count_gt_100
133805,Carrie,2013,3919,tt1939659,tmdb_vote_count_gt_100
2667,The Blair Witch Project,1999,3901,tt0185937,tmdb_vote_count_gt_100
1008042,Talk to Me,2023,3829,tt10638522,tmdb_vote_count_gt_100
713704,Evil Dead Rise,2023,3814,tt13345606,tmdb_vote_count_gt_100
426063,Nosferatu,2024,3784,tt5040012,tmdb_vote_count_gt_100
109428,Evil Dead,2013,3758,tt1288558,tmdb_vote_count_gt_100
132232,Mama,2013,3667,tt2023587,tmdb_vote_count_gt_100
395,AVP: Alien vs. Predator,2004,3654,tt0370263,tmdb_vote_count_gt_100
214,Saw III,2006,3653,tt0489270,tmdb_vote_count_gt_100
1577,Resident Evil: Apocalypse,2004,3635,tt0318627,tmdb_vote_count_gt_100
1078605,Weapons,2025,3634,tt26581740,tmdb_vote_count_gt_100
