id,imdb_id,title,year,tmdb_genres,imdb_genres,titleType,reason
1693,tt0365513,Monster Man,2003,Horror,"Adventure, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
1992,tt1077258,Planet Terror,2007,"Action, Horror, Thriller","Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
2989,tt0083001,Roar,,,"Adventure, Comedy, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
3073,tt0040068,Bud Abbott and Lou Costello Meet Frankenstein,1948,,"Comedy, Family, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
3119,tt0116356,Frankenstein and Me,,,"Comedy, Family, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
3145,tt0065851,The Horror of Frankenstein,1970,"Horror, Science Fiction","Comedy, Horror, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
3574,tt0022827,Doctor X,1932,,"Comedy, Crime, Horror",movie,imdb_Comedy_not_tmdb_Comedy
4289,tt0365653,Dinocroc,2004,"Horror, Science Fiction, Thriller","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
4290,tt0827735,Supergator,2007,Horror,"Action, Adventure, Comedy",video,imdb_Comedy_not_tmdb_Comedy
9847,tt0760187,The Tripper,2006,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
9980,tt0091499,Maximum Overdrive,1986,"Action, Horror, Science Fiction","Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
10063,tt0455362,The Breed,2006,"Horror, Thriller","Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
10166,tt0100944,The Witches,1990,"Adventure, Family, Fantasy, Horror","Adventure, Comedy, Family",movie,imdb_Comedy_not_tmdb_Comedy
10552,tt0088889,Cat's Eye,1985,"Horror, Thriller","Comedy, Drama, Horror",movie,imdb_Comedy_not_tmdb_Comedy
11508,tt0146402,Addams Family Reunion,,,"Comedy, Family, Fantasy",tvMovie,imdb_Comedy_not_tmdb_Comedy
12521,tt0098320,Shocker,1989,Horror,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
12759,tt0482495,Doll Graveyard,2005,Horror,"Comedy, Fantasy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
13122,tt0105121,The People Under the Stairs,1991,"Horror, Mystery","Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
13151,tt0166792,id 13151,,,"Adventure, Animation, Comedy",video,imdb_Comedy_not_tmdb_Comedy
13340,tt0478305,Triloquist,2008,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
13465,tt0041094,The Adventures of Ichabod and Mr. Toad,1949,,"Animation, Comedy, Family",movie,imdb_Comedy_not_tmdb_Comedy
14248,tt0465502,id 14248,,,"Animation, Comedy, Family",movie,imdb_Comedy_not_tmdb_Comedy
14456,tt0492486,Shrooms,2007,"Horror, Mystery","Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
14604,tt0033723,Hold That Ghost,1941,,"Comedy, Crime, Horror",movie,imdb_Comedy_not_tmdb_Comedy
14605,tt0032520,The Ghost Breakers,1940,,"Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
14814,tt0974536,Chemical Wedding,2008,"Horror, Mystery, Thriller","Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
