id,title,year,vote_count,imdb_id
1017030,Unmasked,1929,0,tt0020537
227857,I Was a Teenage Mummy,1962,0,tt0151013
709987,The Demon From Devil's Lake,1964,0,tt10601780
398896,Nobody Ordered Love,1972,0,tt0067499
322050,Human Affairs Are Nothing,1975,0,tt0309712
322058,A Brave King,1976,0,tt0310376
408088,The Waxing Moon,1976,0,tt0182527
314958,The Diabolical Dr. Flak,1978,0,tt0826052
314234,Terror en la capilla mortuoria,1980,0,tt0196150
286347,Miss Morison's Ghosts,1981,0,tt0124008
315247,Christmas Spirits,1981,0,tt1623143
567501,World War Mud,1982,0,tt8147030
318381,On the Third Day,1983,0,tt0086046
322410,The Fear of Ancestral Rites,1984,0,tt8729292
139791,The Thirteenth Day of Christmas,1985,0,tt0293649
29711,Anemia,1986,0,tt0252883
425829,Project,1986,0,tt0195190
251370,Interview with Terror,1987,0,tt1841660
360018,Death Faces,1988,0,tt0360505
383648,Spook,1988,0,tt0384556
419774,Because the Dawn,1988,0,tt0094719
418984,Visions,1989,0,tt0198010
444872,Dungeon of Death,1989,0,tt0263292
361302,The Dreaded,1990,0,tt0362575
416281,The Alien Within,1990,0,tt9667606
425264,Last Day At The Beach,1990,0,tt26422634
417098,Death by Love,1991,0,tt6931630
418557,Blood Dreams,1991,0,tt0275648
418260,Psycho Vampire,1992,0,tt10359110
418261,Psycho Dance,1992,0,tt0265589
444955,Perforations,1992,0,tt0261895
997316,Hadesae: The Final Incident,1992,0,tt3771834
328576,Vampire Brides,1993,0,tt0262096
418258,Curse of the Swamp Creature,1993,0,tt0263243
415869,Demented,1994,0,tt0189472
238695,The Dark Dealer,1995,0,tt0251653
297465,Schizofrantic,1996,0,tt1321474
417025,Theater Dark Video Magazine,1996,0,tt0184941
444876,Legal Entrapment,1996,0,tt0261791
444901,Strangled 2,1996,0,tt0265811
444903,Strangled 3: Blood Test,1996,0,tt0265812
526969,Alien Vows,1996,0,tt0115507
4230,Scary Texas Movie,1997,0,tt0128457
290447,Kiss the Girls Goodbye,1997,0,tt0246733
385075,The Mark of Dracula,1997,0,tt0165872
444879,Curse of the Swamp Creature 2,1997,0,tt0263244
444947,Psycho Charlie's Revenge,1997,0,tt0261928
