hamming,id_a,title_a,id_b,title_b
1,578,Jaws,824915,Room For Rent
1,3151,Frankenstein General Hospital,13429,Donkey Punch
1,13121,Teeth,326247,The House on Pine Street
1,13121,Teeth,740049,Enys Men
1,13121,Teeth,1330421,Bone Lake
1,13121,Teeth,1617221,Nuptials
1,15667,The Last Winter,13429,Donkey Punch
1,15667,The Last Winter,1127375,The Notorious Finster
1,17141,Blood Car,13429,Donkey Punch
1,27690,Sorority Slaughter,68714,The House on Skull Mountain
1,31646,Piranha II: The Spawning,446101,Assassination Nation
1,43593,Piranha 3D,1127375,The Notorious Finster
1,54118,Night School,40016,Birdemic: Shock and Terror
1,94841,Cell Count,375580,Dead Body
1,102390,Devil's Bridge,35197,The Reeds
1,102390,Devil's Bridge,548079,Rootwood
1,102390,Devil's Bridge,794960,Blood Moon
1,104811,id 104811,1494294,Trail of the Werewolf
1,104811,id 104811,1648434,The Final Hour
1,105543,Hollywood Mortuary,1494294,Trail of the Werewolf
1,105543,Hollywood Mortuary,1648434,The Final Hour
1,119198,The Shadow of No One,85007,Murderlust
1,136074,Little Monsters,1127375,The Notorious Finster
1,139132,The Mad Room,49237,Fair Game
1,190544,Image of the Beast,476869,Strange Events
1,210454,Kiss Me and Die,488134,id 488134
1,210454,Kiss Me and Die,981696,The Haunted Bedroom
1,210454,Kiss Me and Die,1460572,"Blessed: Live, Laugh,Run!"
1,211421,Screamer,488134,id 488134
1,211421,Screamer,981696,The Haunted Bedroom
1,211421,Screamer,1460572,"Blessed: Live, Laugh,Run!"
1,223097,Please Talk with Me,638254,Headshots
1,224243,Soulmate,71668,Piranha 3DD
1,227369,Horror Filmed,423269,Halloween Spookies
1,227369,Horror Filmed,489456,Preylien: Alien Predators
1,241927,Hellions,326247,The House on Pine Street
1,241927,Hellions,740049,Enys Men
1,241927,Hellions,1330421,Bone Lake
1,241927,Hellions,1617221,Nuptials
1,244638,Brain Fix,423269,Halloween Spookies
1,244638,Brain Fix,489456,Preylien: Alien Predators
1,280002,The Remaining,378470,Endor
1,280002,The Remaining,1656845,Women's Playground
1,293862,Night Terrors,1487474,Phobophobia
1,311010,Satan Claus,507700,Uncle David 2
1,311010,Satan Claus,767615,Encounters
1,311010,Satan Claus,1494294,Trail of the Werewolf
1,311010,Satan Claus,1648434,The Final Hour
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,213766,This Darkness: The Vampire Virus
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,311010,Satan Claus
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,574137,Unfollowed
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,610010,Killer Therapy
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,715275,Beyond the Night
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,774108,The Dead… Will Rise!
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,805429,The Missing
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,1313837,Jason Still Lives Part 2: The Ski Resort Murders
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,1318452,Damned If You Do
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,1425891,id 1425891
1,315400,The Heaping Bouncy Breasts That Smothered a Midget,1735325,JAWBREAKER
1,325157,Haunters,824915,Room For Rent
1,330938,Dark Echoes,84375,Frozen Scream
1,330938,Dark Echoes,324234,You Better Watch Out!
