id,title,year,qa_path,tmdb_primary_path
9938,Raptor,2001,/hRDA6Kk9dYyXjE32P7jQPvhSAxz.jpg,/sIY0CsTaxV3OxvtwV9NdtPa7uWy.jpg
12587,Arachnid,2001,/tNzkiouX9WMixVD7TcmvloxOzzE.jpg,/vvBZADXO4mJIAn5mlurR3cYGmH0.jpg
21484,Possession,1981,/pnhC5V0rD9kl58stPtJXKJ7iIqF.jpg,/A9bnRn05riOKWftvQlLKa2gl51n.jpg
27895,The Curse of the Komodo,2004,/20cghIeOFm9wIU0NbI9UB7kW3M2.jpg,/coGnsZETIQTNwKPGBdhnVFLEPyk.jpg
28232,Stitches,2001,/iQiFASrQLTqaoNULoTvBnibesCB.jpg,/7OLhE9RLgAVnSSGNGj5HRxphvGT.jpg
29799,Project Shadowchaser III,1995,/mc8van53cfvx83GpeCoPVEbXYVk.jpg,/nJkexmkMBZpmA5UBfUuVAHT332C.jpg
30796,Rest in Pieces,1987,/zIp8FeNamDmqfrCGNdnLfjhGd2r.jpg,/fkKMAqhdB08YbEKzLgPibqvHSvU.jpg
34737,Leeches!,2003,/4YPdv12dBSbbtEXRhPtjxm09rOt.jpg,/hvlZnD49pGX6qO96XIqXNjCjWMK.jpg
75077,Necropolis,1987,/qVogaNqgEmERwHXBph2EmPUVsZO.jpg,/sVY1TUU0uktvkRHLlTpiTDeit8.jpg
108576,The Prince of Terror,1988,/62whEEUwifFe95Ajwq1XaaxtAn.jpg,/fCxyBzGLAAsl3SJb3r8YwnnXNm5.jpg
112238,Frankenstein Day of the Beast,2011,/lQaf3OQ2hAAMUhYOkrqZOrXMVoM.jpg,/iuFED0bgSApFk4VVPMYBHTi5JOG.jpg
116946,The Wailer,2006,/dY6Z17E0cSia5cLLNPfk1uMXZqZ.jpg,/wFsqE0TXqEayvuVApk6RE8ZQzeA.jpg
127188,Timesweep,1987,/tcRJG3HRbGNrBQl8Ur6RnHmcp2X.jpg,/1RP8uqJQ83iJb4tjus0f6jzV3Wb.jpg
131938,Delivery,2006,/yq0Brf7BxJqYfb6y8gLnklplhgg.jpg,/7tqY5ur1IVDz5as7DOjco2UNPbf.jpg
172798,Blood Thirsty,1999,/yakjb8ig9sJJ442ZJMVSsA07414.jpg,/wsAxchKXcvcNsj0BHuJn5igZh0M.jpg
176990,Sorority Party Massacre,2012,/rPixtumBbk8b5sUAXAqXfIjAGGt.jpg,/1RVY4sGoo7TxFUjngply7PeMJAf.jpg
194209,Crocodile Fury,1988,/pN2AhOTXwfyKvl9funuWby1lr8O.jpg,/aGEwX06Ab9YJomhqFeeqtgvo4I9.jpg
292636,A Cry from Within,2014,/2hUZiCnH6PuUKLHTOpRM2O1xP6A.jpg,/qNcy80yVh52WLmo0VumkzCOl0tJ.jpg
339917,The Girl with the Hungry Eyes,1995,/nzrzk5LXZJN87vbPravPin8E3Ar.jpg,/dJKLUZ5tpErxrp9Njzj3AyUPshM.jpg
376258,One Minute Before Death,1972,/nfxk3fvmCzRYYQ9VlweFDQPtxww.jpg,/5Ugp1PHxRaeYDUctCaxFrA9mWW2.jpg
416470,Bikini Mayhem,2015,/slP3S9QC7QJGBrP7aJX2Y4anRcN.jpg,/mLs6lmlZjgYJjkTqYK4xenxblbR.jpg
675253,M.O.M. Mothers of Monsters,2020,/trnuzuGOxItQjzYR47kIoZZzFez.jpg,/lDyrXDB3POXKN49g5XvSoXSFijc.jpg
759397,Godforsaken,2020,/epWOO64JV9cedyTEsxJjEgU1s5z.jpg,/1DlrihNXMdExoeaGfpIg7UUmCWb.jpg
810499,The Gingerweed Man,,/uCPdqe6MzGeb5PhXHWsOE4eVclD.jpg,/gpQythtPfkjg6emKud9yaWwRIHl.jpg
847802,Red,2020,/9oqBA74eIWHBvBHK9NRhA7y73Dw.jpg,/cUF9UXwPfK2jryDYlrFHcRDQEwu.jpg
938600,Attachment,2022,/iZJri8mnELrZIq792uadGznOmCT.jpg,/eu2LGKaKvLznaGx979r2t3psNg7.jpg
1084187,Pretty Lethal,,/24mPV4ZvGeS4D7UJGePWiioI9tD.jpg,/znTPnXCK3lEQJgqXCvP7e5FUz6f.jpg
1232569,Pinocchio: Unstrung,,/sqhfUrPEeAlFf684FsVa8v1GYCD.jpg,/r0hCOPsYHFc7qok51canND9TVoN.jpg
1368492,The Wolf and the Lamb,,/cJs61pTY5F7zJjE3WJgLc08zpAe.jpg,/y1ooSWuq4FEaexbu0iAFAyezfcO.jpg
1564614,Leviticus,,/cu0XnXLzJGPeI0msCoJKgnEecKz.jpg,/gnAsZvBygplNpp8PtjoTEYv3VPB.jpg
