id,title,year,vote_count,imdb_id
320380,The Phantom Foe,1920,0,tt0011571
664862,The Dream Cheater,1920,0,tt0011135
948056,The House of Whispers,1920,0,tt0011311
981608,Love Without Question,1920,0,tt0011417
1261573,Black Shadows,1920,0,tt0010996
1258584,His Brother's Keeper,1921,0,tt0011295
510733,The Ghost Breaker,1922,0,tt0013170
851308,One Glorious Day,1922,0,tt0013459
27512,While Paris Sleeps,1923,0,tt0014602
1080723,The Last Moment,1923,0,tt0014188
1261561,The Monkey's Paw,1923,0,tt0175924
643237,A Son of Satan,1924,0,tt0139621
862538,The Shadow of the East,1924,0,tt0015319
918940,Unseen Hands,1924,0,tt0015449
1261552,Those Who Dare,1924,0,tt0015404
727488,Ten Days,1925,0,tt0168218
330169,The Gorilla,1927,0,tt0017947
337184,The Wizard,1927,0,tt0018584
595631,The Haunted House,1928,0,tt0018978
1165122,Haunted Island,1928,0,tt0018979
445494,Black Waters,1929,0,tt0019700
466929,House of Horror,1929,0,tt0297175
580441,The Devil Bear,1929,0,tt0303908
330173,The Gorilla,1930,0,tt0021923
335512,The Ghost Train,1931,0,tt0021907
470435,The Bells,1931,0,tt0021650
852093,Monsters of the Deep,1931,0,tt0151624
1351825,Immediate Possession,1931,0,tt0194036
337380,Condemned to Death,1932,0,tt0022776
343885,Castle Sinister,1932,0,tt0150057
482503,Thark,1932,0,tt0023572
733068,The Horror,1932,0,tt0194949
695270,Obeah,1935,0,tt0026800
1266520,The Burgomeister,1935,0,tt0026158
391463,Love Life of a Gorilla,1937,0,tt0127669
1265841,Voodoo Devil Drums,1944,0,tt0037440
1018799,Fight That Ghost,1946,0,tt0135420
1018804,Return of Mandy's Husband,1947,0,tt0202554
416911,The Fatal Night,1948,0,tt0040345
1210358,Melody in the Dark,1949,0,tt0174914
116875,The Golden Mistress,1954,0,tt0047037
219004,Macumba Love,1960,0,tt0054045
315094,Honeymoon of Terror,1961,0,tt0173908
94063,Sin You Sinners,1963,0,tt0055450
252429,Honeymoon of Horror,1964,0,tt0058205
913062,Fraternity of Horror,1964,0,tt16827892
329711,The Devil's Mistress,1965,0,tt0126865
415632,Fortress of the Dead,1965,0,tt0059195
276748,Creature of Comfort,1968,0,tt0144151
195328,His Wife's Habit,1970,0,tt0065222
646977,End Zone 2,1970,0,tt11108022
146307,The Reincarnate,1971,0,tt0067663
403598,South of Hell Mountain,1971,0,tt0067780
451055,The Slaughter,1971,0,tt0991282
213358,Voodoo Heartbeat,1973,0,tt0069473
258453,The Wednesday Children,1973,0,tt3614944
859992,Thirty Dangerous Seconds,1973,0,tt0133230
28647,The Spectre of Edgar Allan Poe,1974,0,tt0072197
106448,Black Mamba,1974,0,tt0242317
194625,My Brother Has Bad Dreams,1974,0,tt0069238
436328,Diabolic Wedding,1974,0,tt0139858
582888,The Summoned,1974,0,tt11542384
383696,Sasqua,1975,0,tt0877502
558504,OPERA MORTEM,1975,0,tt9222182
167556,My Friends Need Killing,1976,0,tt0074942
346043,Summer of Secrets,1976,0,tt0075282
