id,imdb_id,primaryTitle,startYear,titleType,genres
125752,tt0152662,Super Ball,1974,movie,Adult
126397,tt0071287,Case of the Full Moon Murders,1973,movie,"Adult,Comedy,Horror"
271798,tt1339493,Rotkäppchen: The Blood of Red Riding Hood,2009,movie,"Adult,Drama,Fantasy"
311699,tt3098958,Video Macumba,1991,video,"Adult,Documentary,Horror"
325620,tt0335301,Caress of the Vampire 3: Lust of the Nightstalker,1999,video,Adult
329029,tt0139294,Gums,1976,movie,"Adult,Comedy,Fantasy"
370311,tt2032453,Fresh Acconci,1995,video,"Adult,Drama,Horror"
424646,tt6235022,Cosmic Calendar Girls,2016,video,"Adult,Comedy,Romance"
434786,tt1934358,Payton Collins: Serial Rapist,2011,video,"Adult,Crime,Thriller"
446473,tt0369355,Daughters of Darkness,2000,video,"Adult,Fantasy,Horror"
605372,tt1345820,Cupcake Girls: I Hate It,2008,video,"Adult,Horror"
694944,tt0348090,Spittoon,1981,movie,"Adult,Comedy"
777488,tt0192635,Strange Life: The Breech,1998,movie,"Adult,Documentary,Horror"
982959,tt18294968,Don't Sweat the Dead/Hott Sushii Double Feature,2022,movie,Adult
1095541,tt0220417,Electric Blue 36,1986,video,"Adult,Horror,Romance"
1100221,tt0309344,Beast,2001,video,Adult
1269520,tt2226557,Spankenstein,2000,video,"Adult,Adventure,Horror"
1316569,tt14774398,Gruesome Twosome,2021,movie,Adult
1359373,tt2150133,7 Minutes in Heaven,2011,video,Adult
1411929,tt0196519,Dungeon of Darkness,1997,video,"Adult,Horror"
1422993,tt0136898,Fear in the Forest,1993,video,"Adult,Horror"
1429456,tt1877720,Naked Nazi,2008,video,"Adult,Crime,Horror"
1440858,tt3214776,Bible Black: The Movie,\N,movie,"Adult,Horror"
