id,title,year,director,reason,candidates
1403029,Yaksha,2025,Sunil Sharma,nav_err TimeoutException,tt13690306:2010
1412171,The Bombay Halloween Special,2024,Mihika Kulkarni; Suhani Dhupar; Hiyaneijemmy Das,nav_err TimeoutException,tt0800332:1977
1417569,The man in the window,2024,Aaron Sciortino,nav_err TimeoutException,tt36590778:2026
1431516,The Haunting at St. Madeline,2024,J. Jones,nav_err TimeoutException,tt34501500:2025
1436932,Satellite,2023,Nick Menendez,nav_err TimeoutException,tt0408162:2005
1441969,Alienated,2023,Glenn Chan; Noh Do-yeon,nav_err TimeoutException,tt10364272:2021|tt3735332:2015
1452523,Ghost Stories,2025,Jeremy Dyson; Andy Nyman; Sean Holmes,nav_err TimeoutException,tt10230404:2020|tt5516328:2017
1453109,Hotel Attack,2025,Aiden Palomo,nav_err TimeoutException,tt33175825:2024
1457700,Stillness Spreads,2025,Marci de la Mort,nav_err TimeoutException,tt6647826:2017
1459933,Unlike You,2025,Jack Henry Calverley,nav_err TimeoutException,tt41933156:2026
1463644,Viper Visionz,2024,Adam Mirajkar,nav_err TimeoutException,tt12451792:2019|tt22003794:None
1468801,A Very Blood Sick Christmas Special,2024,Brewce Longo; David M. Dawson; Josh Christensen; Annie Mitchell; Richard Baylor; Dave Castiglione; Nicholas DeGideo; Michael DiFrancesco; Justin Cottingham; Lou Twilley; Ryan Petrillo; Dan Lisowski; David Nelson; Joel D. Wynkoop; Del Worshim; Trevor Bather; Zoe Angeli; Cacia Rose,nav_err TimeoutException,tt35332651:2024|tt30056935:2023
1473792,Dollar Store Killers,2025,Cleve Braddy,nav_err TimeoutException,tt33083538:2025
1478501,A Visitor in the Night,2025,Victor Dubyna; Amanda Coates,nav_err TimeoutException,tt2797642:2013|tt0066141:1971
1514584,Blood Weekend,2025,Joseph Voegele,nav_err TimeoutException,tt16152226:2020|tt8752130:None|tt1176733:2009|tt0110374:1994
1519253,Ape,2025,Joshua Guyton,nav_err TimeoutException,tt2339367:2012|tt0074148:1976
1526741,An Evening with Rodney Ascher,2025,Rodney Ascher,nav_err TimeoutException,tt6518270:2018
1536383,The Veiled Abyss,2024,Hayley Paultyn,nav_err TimeoutException,tt31322095:None
1542655,Death Cult,2025,Kazuhiro Taira,nav_err TimeoutException,tt33030352:2027|tt27403971:1992|tt0079788:1980|tt0073461:1975
1555576,Spite,2025,Carolynn Cecilia,nav_err TimeoutException,tt36484338:None
1558271,Amityville: Bed & Breakfast,2025,Walt Braley; Joe Blackstock; Harry Pasley,nav_err TimeoutException,tt28668112:2024
1565447,Lock Your Doors,2025,Alex Curtis,nav_err TimeoutException,tt27644832:None
1565756,Do Not Watch This Film,2025,Maximus Cardillo,nav_err TimeoutException,tt40637847:2026
1571931,Midwest Angelica,2025,Aidan Chick,nav_err TimeoutException,tt30689921:2022
1658267,Pinwydd,2025,Iolo Walker; Jeno Davies,nav_err TimeoutException,tt0130945:1990
1664530,Theater in Quarantine: The Phantom of the Opera,2025,Joshua William Gelb,nav_err TimeoutException,tt14802342:2021
1707748,Late At Night,2023,Cody Knepper,nav_err TimeoutException,tt6313066:2016
1727787,Found Footage #1,2024,Sean Darragh,nav_err TimeoutException,tt27200503:2025
1471251,Intrusion,2026,Declan Sennott,nav_err TimeoutException,tt5563324:2021|tt6228950:2021|tt6487642:2018|tt4105082:2012
1606871,"Knock, Knock, Knock",2026,Jackson Bigley,nav_err TimeoutException,tt37887424:2025
1607468,Into the Spiral,2026,Joseph Robinson,nav_err TimeoutException,tt30972880:2025
1615290,The Nursing Home,2026,Mattias J. Skoglund,nav_err TimeoutException,tt21954988:2025
1637971,The Colored Experiment (Film Edition),2026,Oscar Perez Enriquez,nav_err TimeoutException,tt37361733:2025
1638528,The Coohatch,2026,Dave Sondrini,nav_err TimeoutException,tt31726535:2025
1640477,G2.22,2026,Molly Michelson,nav_err TimeoutException,tt0860906:2009
1688495,The Shadowman's Nightmare,2026,Mark Bonanno,nav_err TimeoutException,tt39051758:None
1691931,LAKESVILLE MOVIE,2026,"William ""Roxie"" Haylor",nav_err TimeoutException,tt43645326:2026
1697835,WE WHO HUNGER,2026,Hieronymus Glover,nav_err TimeoutException,tt8952400:1969
