id,title,year,n_candidates,tconsts,titleTypes,primaryTitles,startYears,genres_list,year_mode
1019123,Spookie Dookie,2022.0,2,tt13996652|tt21651888,movie|movie,Spookie Dookie|Spookie Dookie,2022|2022,Comedy|Comedy,exact
725283,The Circle,2020.0,3,tt11080442|tt11833800|tt20250342,movie|movie|movie,The Circle|Circle|The Circle,2020|2020|2020,"Documentary|Drama,Horror,Thriller|Horror",exact
984225,The Resurgence,2022.0,2,tt14763752|tt29387381,movie|movie,Resurgence|Resurgence,2021|2023,"Documentary,Sport|Documentary",fuzzy
770456,A Christmas Carol,2019.0,3,tt10476682|tt10778144|tt13571948,movie|movie|movie,A Christmas Carol|A Christmas Carol|A Christmas Carol,2019|2019|2019,"Drama,Fantasy,Music|Comedy|Drama",exact
418253,Trapped!,1994.0,2,tt0129450|tt0265892,video|video,Trapped|Trapped!,1995|1993,Adult|Adult,fuzzy
466607,Love Is a Stranger,1994.0,2,tt0143456|tt12603432,video|video,Love Is a Stranger|Love Is A Stranger,1994|1994,Adult|Thriller,exact
897260,The Project,2017.0,2,tt26743693|tt7748240,video|video,The Project|The Project,2017|2017,"Comedy,Short|Drama,Short",exact
1200877,Crow,2023.0,2,tt11375842|tt1340094,movie|movie,Crow|The Crow,2022|2024,"Action,Mystery,Thriller|Action,Crime,Fantasy",fuzzy
1477709,Whispers,2025.0,2,tt35680929|tt36054825,movie|movie,Whispers|Whispers,2025|2025,"Horror,Mystery,Thriller|Horror",exact
1522558,Intruder,2025.0,2,tt33245062|tt33365542,movie|movie,Intruder|The Intruder,2025|2025,Sci-Fi|Thriller,exact
1591150,Cycle,2024.0,2,tt28337760|tt42577152,movie|movie,The Cycle|Cycle,2023|2025,Drama|Documentary,fuzzy
1630746,The Strangers,2026.0,2,tt31077738|tt40205823,movie|movie,Strangers|Strangers,2026|2026,"\N|Drama,Romance",exact
1158427,Temptation,2005.0,3,tt0339771|tt1059297|tt14766238,movie|movie|movie,Temptation|Temptation|Temptation,2004|2006|2004,Musical|Drama|Drama,fuzzy
1214934,Enigma,2003.0,2,tt0458665|tt12093188,video|video,Excitant Eye Shot|Enigma,2002|2002,"Adult|Adult,Fantasy,Romance",fuzzy
1255945,Witching Hour,,11,tt0007576|tt0012855|tt0025998|tt0089296|tt0181904|tt10327962|tt12002602|tt1634140|tt2727882|tt4473620|tt5103486,movie|movie|movie|movie|tvMovie|movie|movie|movie|movie|movie|movie,The Witching Hour|The Witching Hour|The Witching Hour|The Witching Hour|The Witching Hour|The Witching Hour|Witching Hour|The Witching Hour|The Witching Hour|Witching Hour|The Witching Hour,1916|1921|1934|1985|1996|||2013|2013|2014|2015,"Drama|Drama,Mystery|Crime,Drama,Fantasy|Drama,Romance|Documentary|Drama,Mystery,Thriller|Horror|Horror,Mystery,Thriller|Horror|Horror,Thriller|Horror",any
1520771,Ghost Ship,,8,tt0035937|tt0044656|tt0104334|tt0288477|tt33086064|tt5389708|tt8351502|tt8640996,movie|movie|movie|movie|movie|movie|movie|movie,The Ghost Ship|Ghost Ship|Ghost Ship|Ghost Ship|Ghost Ship|Ghost Ship|Ghost Ship|Ghost Ship,1943|1952|1992|2002|2021|2015|2011|,"Drama,Mystery,Thriller|Horror|Adventure,Family|Horror,Mystery,Thriller|Action|Comedy,Horror|Adventure|Drama",any
1567770,Threshold,,15,tt0083197|tt0120326|tt0339789|tt0425360|tt10909734|tt13443576|tt22263454|tt22456808|tt37727297|tt39636133|tt4002210|tt4669328|tt4738196|tt8008938|tt9297478,movie|movie|tvMovie|movie|movie|movie|movie|movie|movie|movie|movie|movie|movie|movie|movie,Threshold|Threshold|Threshold|Threshold|Threshold|Threshold|Threshold|Threshold|Threshold|Threshold|Threshold|The Threshold|Threshold|Threshold|Threshold,1981|1997|2003|1988|2020|2020|2016|2022||2026|2019|2015|2015||2020,"Drama,Sci-Fi|\N|Action,Adventure,Fantasy|Documentary|Drama|Biography,Documentary|Family|Drama|Horror,Thriller|Documentary|Drama,Horror,Sci-Fi|Drama|Comedy|Horror|Drama,Horror,Mystery",any
1680958,The Hand,,9,tt0053890|tt0066039|tt0082497|tt0401456|tt13898604|tt15165236|tt22046190|tt27830625|tt37510083,movie|movie|movie|movie|movie|movie|movie|movie|movie,The Hand|The Hand|The Hand|Hand|The Hand|The Hand|Hand|The Hand|The Hand,1960|1969|1981|1998|2020|2020|2022|2023|2025,"Crime,Drama,Horror|Drama|Drama,Horror,Thriller|Comedy|Horror|Drama,Romance|Drama|Comedy,Horror|Horror",any
1705685,Red Lips,,5,tt0019315|tt0114245|tt0141531|tt1206483|tt43312702,movie|movie|movie|movie|movie,Red Lips|Red Lips|Red Lips|Red Lips|Red Lips,1928|1995|1960|2011|,"Comedy,Romance,Sport|Horror|Drama|Comedy|Horror",any
