id,label,split
503030,painted,train
119169,painted,train
928133,painted,train
480525,photo,train
588781,painted,train
756999,photo,train
22642,composite,train
416228,painted,train
78218,painted,train
11495,photo,train
458713,photo,train
28082,photo,train
40351,photo,train
86494,painted,train
24924,painted,train
89720,painted,train
27654,painted,train
645454,painted,train
1019846,composite,train
131358,composite,train
34337,painted,train
675526,composite,train
31275,painted,train
635688,composite,train
35721,photo,train
9374,photo,train
31634,painted,train
28165,painted,train
27285,photo,train
297059,photo,train
261264,painted,train
301122,photo,train
78198,photo,train
733528,painted,train
49183,painted,train
46117,photo,train
29430,composite,train
1026772,photo,train
34593,painted,train
597185,photo,train
81464,composite,train
191806,painted,train
716822,photo,train
28450,painted,train
131578,composite,train
303267,painted,train
256012,painted,train
673933,photo,train
85611,painted,train
30934,painted,train
44585,painted,train
592276,photo,train
917990,composite,train
725640,painted,train
42709,photo,train
388165,painted,train
518762,painted,train
752819,painted,train
541062,painted,train
270557,photo,train
418835,painted,train
210599,composite,train
498702,photo,train
77173,painted,train
37977,painted,train
509624,photo,train
83822,painted,train
72071,composite,train
760512,painted,train
574059,painted,train
84058,painted,train
114542,painted,train
11868,painted,train
853500,painted,train
40229,painted,train
6114,painted,train
27625,painted,train
38783,painted,train
646977,photo,train
859992,painted,train
203013,photo,train
27916,photo,train
10285,painted,train
449931,photo,train
875429,painted,train
7392,painted,train
83363,painted,train
609616,composite,train
489108,composite,train
90941,painted,train
194393,painted,train
49439,painted,train
582292,composite,train
109157,photo,train
304897,photo,train
716819,photo,train
1702,painted,train
654798,painted,train
11167,painted,train
758724,photo,train
898555,painted,train
282812,painted,train
29412,painted,train
444583,composite,train
638635,painted,train
319324,photo,train
249921,composite,train
9100,photo,train
114540,composite,train
28351,composite,train
29070,painted,train
83820,painted,train
50466,photo,train
52639,painted,train
1015482,painted,train
63007,painted,train
27642,painted,train
1004862,painted,train
95667,composite,train
28533,painted,train
50110,painted,train
29062,painted,train
156094,composite,train
437518,composite,train
143369,painted,train
20850,painted,train
531208,painted,train
90030,painted,train
69075,painted,train
31646,painted,train
18983,painted,train
52204,painted,train
56529,photo,train
891996,painted,train
53246,painted,train
271813,painted,train
756439,photo,train
781334,composite,train
752968,photo,train
25750,photo,train
255197,photo,train
142305,painted,train
77156,painted,train
55152,painted,train
737859,photo,train
480410,painted,train
277189,composite,train
678790,painted,train
923238,composite,train
29067,painted,train
132346,painted,train
42185,composite,train
10973,painted,train
144662,painted,train
93929,photo,train
329237,painted,train
456862,photo,train
444109,composite,train
10576,painted,train
36489,painted,train
27720,photo,train
125773,composite,train
28790,painted,train
88380,painted,train
30638,painted,train
58802,composite,train
528665,painted,train
447409,painted,train
3127,painted,train
41568,painted,train
522681,photo,train
46365,composite,train
3208,painted,train
36754,painted,train
42202,painted,train
44693,painted,train
1006932,painted,train
116605,composite,train
98906,photo,train
92720,painted,train
39044,painted,train
522438,composite,train
92320,painted,train
76681,painted,train
32998,painted,train
810062,photo,train
24452,painted,train
759957,painted,train
443338,painted,train
88559,composite,train
626018,photo,train
63749,composite,train
27758,composite,train
143095,photo,train
614196,composite,train
934553,photo,train
200872,photo,train
92707,composite,train
26857,photo,train
27623,painted,train
64524,painted,train
278686,photo,train
43248,painted,train
91223,painted,train
682662,photo,train
6552,photo,train
727574,composite,train
982543,photo,train
84960,painted,train
28338,composite,train
80633,painted,train
29166,painted,train
10206,photo,train
352881,photo,train
29103,painted,train
112529,photo,train
104205,painted,train
306747,composite,train
9680,painted,train
525912,composite,test
114003,composite,test
211682,painted,test
444679,photo,test
22718,painted,test
777739,photo,test
101748,composite,test
1013699,painted,test
26865,painted,test
787935,photo,test
38939,painted,test
106137,composite,test
508404,painted,test
127606,photo,test
517662,painted,test
22616,photo,test
42218,painted,test
354326,composite,test
42998,painted,test
957584,photo,test
800098,painted,test
133838,painted,test
43120,painted,test
985,photo,test
362844,composite,test
263124,painted,test
137688,photo,test
532875,composite,test
3164,painted,test
94063,painted,test
9552,photo,test
16139,painted,test
85150,painted,test
85237,painted,test
58965,composite,test
653643,composite,test
880572,painted,test
586779,painted,test
57949,painted,test
857797,photo,test
32623,composite,test
973197,painted,test
2151,painted,test
26661,painted,test
200535,photo,test
47553,painted,test
218809,photo,test
652522,painted,test
62926,painted,test
116389,painted,test
12724,composite,test
383668,painted,test
746132,photo,test
844775,painted,test
983421,photo,test
576510,composite,test
704179,painted,test
40059,painted,test
38120,painted,test
30754,painted,test
1021456,painted,test
7340,photo,test
831410,photo,test
214680,composite,test
15516,painted,test
287526,photo,test
41302,painted,test
135060,painted,test
117429,painted,test
520023,photo,test
343495,photo,test
89662,painted,test
63317,painted,test
