id,final_label
985,photo
1702,painted
2151,painted
3127,painted
3164,painted
3208,painted
6114,painted
6552,photo
7340,photo
7392,painted
9100,photo
9102,composite
9374,photo
9552,photo
9680,painted
9825,composite
10063,composite
10206,photo
10285,painted
10576,painted
10973,painted
11167,painted
11428,painted
11495,photo
11868,painted
12724,composite
13557,composite
14745,composite
15516,painted
16077,photo
16139,painted
17168,composite
18781,composite
18983,painted
20850,painted
22616,photo
22642,composite
22718,painted
24452,painted
24924,painted
25750,photo
26661,painted
26857,photo
26865,painted
27285,photo
27623,painted
27625,painted
27642,painted
27654,painted
27720,photo
27758,composite
27916,photo
28082,photo
28165,painted
28338,composite
28351,composite
28352,composite
28450,painted
28533,painted
28790,painted
29062,painted
29067,painted
29070,painted
29103,painted
29166,painted
29412,painted
29430,composite
30510,composite
30638,painted
30754,painted
30934,painted
31275,painted
31634,painted
31646,painted
32623,composite
32998,painted
33347,photo
34337,painted
34593,painted
35721,photo
36489,painted
36754,painted
37977,painted
38120,painted
38783,painted
38939,painted
39044,painted
40059,painted
40229,painted
40351,photo
41302,painted
41568,painted
42185,composite
42202,painted
42218,painted
42709,photo
42998,painted
43120,painted
43248,painted
44585,painted
44693,painted
46117,photo
46365,composite
47553,painted
49183,painted
49439,painted
50110,painted
50466,photo
50471,photo
52204,painted
52639,painted
52742,painted
53246,painted
55152,painted
56529,photo
57949,painted
58802,composite
58965,composite
59726,composite
62926,painted
63007,painted
63317,painted
63749,composite
64524,painted
68878,composite
69075,painted
69869,composite
72071,composite
76681,painted
77156,painted
77173,painted
77361,painted
78198,photo
78218,painted
80570,photo
80633,painted
81464,composite
83363,painted
83820,painted
83822,painted
84058,painted
84960,painted
85150,painted
85237,painted
85611,painted
86494,painted
88380,painted
88559,composite
89662,painted
89720,painted
90030,painted
90941,painted
91223,painted
91409,composite
92320,painted
92707,composite
92720,painted
93929,photo
94063,painted
95667,composite
98906,photo
101748,composite
103607,composite
104205,painted
106137,composite
108647,photo
109157,photo
112529,photo
114003,composite
114540,composite
114542,painted
114684,composite
116389,painted
116583,photo
116605,composite
117429,painted
119169,painted
124553,photo
125773,composite
127606,photo
131358,composite
131578,composite
131914,composite
132346,painted
133838,painted
134136,composite
135060,painted
137528,painted
137688,photo
142305,painted
143095,photo
143369,painted
144662,painted
153060,photo
156094,composite
156597,photo
157433,painted
191806,painted
194393,painted
194421,composite
200462,composite
200535,photo
200872,photo
203013,photo
206183,composite
210599,composite
211682,painted
212494,photo
214680,composite
218809,photo
239380,composite
249921,composite
250352,composite
255197,photo
256012,painted
257117,composite
261264,painted
263124,painted
270439,painted
270557,photo
271813,painted
277189,composite
278686,photo
282812,painted
287526,photo
288250,photo
290637,photo
290725,composite
297059,photo
298009,composite
301122,photo
303267,painted
304897,photo
306747,composite
319324,photo
323371,painted
329237,painted
332280,composite
337937,painted
338598,painted
343495,photo
347199,composite
347847,composite
347855,composite
352881,photo
354326,composite
362844,composite
379889,painted
383668,painted
384687,photo
388165,painted
410465,composite
416228,painted
418835,painted
427472,painted
429724,composite
437518,composite
443338,painted
444109,composite
444583,composite
444679,photo
447409,painted
449931,photo
452895,composite
455595,composite
456862,photo
458713,photo
461062,composite
462263,photo
472338,photo
477704,composite
480410,painted
480525,photo
486457,photo
489108,composite
498702,photo
503030,painted
507540,composite
507938,painted
508404,painted
509624,photo
509901,photo
511068,composite
516027,composite
517662,painted
518762,painted
520023,photo
522438,composite
522681,photo
525912,composite
528665,painted
531208,painted
532875,composite
541062,painted
574059,painted
576510,composite
582292,composite
586779,painted
588781,painted
592276,photo
594228,composite
596767,photo
597185,photo
603565,composite
609616,composite
614196,composite
618620,painted
622420,composite
626018,photo
630288,photo
632262,photo
635688,composite
638635,painted
642694,painted
642697,painted
643468,composite
645454,painted
646977,photo
652522,painted
652694,composite
653643,composite
654798,painted
673933,photo
675526,composite
676547,photo
678790,painted
682662,photo
688436,photo
704179,painted
708699,composite
714270,composite
714669,composite
716819,photo
716822,photo
720009,photo
725640,painted
727574,composite
733528,painted
737859,photo
746132,photo
746157,photo
752819,painted
752968,photo
756439,photo
756999,photo
758724,photo
759957,painted
760204,composite
760512,painted
766579,composite
769319,composite
777739,photo
781334,composite
787935,photo
800098,painted
800156,composite
810062,photo
812612,composite
831410,photo
835243,composite
844775,painted
853500,painted
857797,photo
859992,painted
875429,painted
876210,composite
880572,painted
891996,painted
898555,painted
917990,composite
923238,composite
928133,painted
934553,photo
949569,composite
957584,photo
959307,photo
973197,painted
982543,photo
983421,photo
993119,painted
1004862,painted
1006932,painted
1008026,painted
1008412,photo
1013699,painted
1015482,painted
1019846,composite
1021456,painted
1026772,photo
1032876,photo
1059593,photo
1083818,photo
1130784,painted
1144577,composite
1152657,composite
1166592,composite
1172466,photo
1175194,composite
1199610,composite
1225377,painted
1233231,painted
1233512,painted
1243988,photo
1314441,photo
1328956,painted
1354087,painted
1354762,photo
1357161,composite
1367761,composite
1376011,composite
1415990,composite
1495071,composite
1505054,composite
1528082,composite
1536756,composite
1546216,composite
1572497,composite
1576549,composite
1581397,photo
1668859,photo
1682620,painted
