id,final_label,split
22718,painted,train
626018,photo,train
452895,composite,train
88380,painted,train
973197,painted,train
1376011,composite,train
58965,composite,train
9552,photo,train
200872,photo,train
630288,photo,train
347847,composite,train
16139,painted,train
444109,composite,train
77361,painted,train
200462,composite,train
10285,painted,train
134136,composite,train
89720,painted,train
3127,painted,train
38783,painted,train
29430,composite,train
40229,painted,train
68878,composite,train
194421,composite,train
117429,painted,train
511068,composite,train
9374,photo,train
27623,painted,train
76681,painted,train
27642,painted,train
303267,painted,train
92720,painted,train
574059,painted,train
30638,painted,train
256012,painted,train
531208,painted,train
11868,painted,train
875429,painted,train
135060,painted,train
480410,painted,train
1059593,photo,train
733528,painted,train
461062,composite,train
27758,composite,train
90030,painted,train
760204,composite,train
131578,composite,train
676547,photo,train
156094,composite,train
298009,composite,train
30934,painted,train
287526,photo,train
678790,painted,train
716819,photo,train
80633,painted,train
458713,photo,train
507938,painted,train
1008026,painted,train
582292,composite,train
28082,photo,train
39044,painted,train
290725,composite,train
250352,composite,train
28533,painted,train
983421,photo,train
132346,painted,train
853500,painted,train
69075,painted,train
1225377,painted,train
1175194,composite,train
708699,composite,train
437518,composite,train
1367761,composite,train
332280,composite,train
20850,painted,train
800098,painted,train
758724,photo,train
42218,painted,train
142305,painted,train
752968,photo,train
928133,painted,train
108647,photo,train
1004862,painted,train
35721,photo,train
32623,composite,train
652522,painted,train
352881,photo,train
78218,painted,train
131914,composite,train
101748,composite,train
592276,photo,train
114540,composite,train
1172466,photo,train
91409,composite,train
18983,painted,train
36489,painted,train
769319,composite,train
214680,composite,train
384687,photo,train
642697,painted,train
449931,photo,train
131358,composite,train
255197,photo,train
9102,composite,train
42202,painted,train
1026772,photo,train
737859,photo,train
203013,photo,train
337937,painted,train
498702,photo,train
1021456,painted,train
29062,painted,train
50471,photo,train
1528082,composite,train
91223,painted,train
42185,composite,train
42998,painted,train
455595,composite,train
304897,photo,train
28352,composite,train
12724,composite,train
40059,painted,train
957584,photo,train
92707,composite,train
297059,photo,train
46365,composite,train
447409,painted,train
37977,painted,train
52204,painted,train
261264,painted,train
86494,painted,train
85611,painted,train
688436,photo,train
13557,composite,train
27625,painted,train
1019846,composite,train
410465,composite,train
985,photo,train
270557,photo,train
41302,painted,train
1233231,painted,train
263124,painted,train
212494,photo,train
38120,painted,train
114003,composite,train
1328956,painted,train
27285,photo,train
622420,composite,train
30754,painted,train
114684,composite,train
323371,painted,train
72071,composite,train
55152,painted,train
127606,photo,train
22616,photo,train
480525,photo,train
787935,photo,train
6114,painted,train
362844,composite,train
249921,composite,train
143095,photo,train
727574,composite,train
103607,composite,train
934553,photo,train
746132,photo,train
27916,photo,train
26857,photo,train
1495071,composite,train
290637,photo,train
1008412,photo,train
3164,painted,train
857797,photo,train
594228,composite,train
211682,painted,train
525912,composite,train
835243,composite,train
114542,painted,train
427472,painted,train
831410,photo,train
28338,composite,train
9680,painted,train
388165,painted,train
614196,composite,train
1130784,painted,train
137528,painted,train
1354762,photo,train
714270,composite,train
654798,painted,train
50110,painted,train
716822,photo,train
329237,painted,train
759957,painted,train
338598,painted,train
88559,composite,train
64524,painted,train
153060,photo,train
588781,painted,train
576510,composite,train
77173,painted,train
78198,photo,train
2151,painted,train
63007,painted,train
41568,painted,train
143369,painted,train
24452,painted,train
116389,painted,train
704179,painted,train
116583,photo,train
10576,painted,train
1152657,composite,train
653643,composite,train
210599,composite,train
1505054,composite,train
880572,painted,train
1572497,composite,train
638635,painted,train
85237,painted,train
26865,painted,train
116605,composite,train
477704,composite,train
81464,composite,train
17168,composite,train
10973,painted,train
32998,painted,train
781334,composite,train
22642,composite,train
1546216,composite,train
31646,painted,train
194393,painted,train
844775,painted,train
982543,photo,train
57949,painted,train
507540,composite,train
9100,photo,train
993119,painted,train
84058,painted,train
28790,painted,train
1682620,painted,train
1536756,composite,train
52639,painted,train
642694,painted,train
44693,painted,train
56529,photo,train
777739,photo,train
206183,composite,train
603565,composite,train
800156,composite,train
28351,composite,train
675526,composite,train
520023,photo,train
200535,photo,train
509624,photo,train
112529,photo,train
7340,photo,train
83820,painted,train
137688,photo,train
27720,photo,train
528665,painted,train
144662,painted,train
1243988,photo,train
756999,photo,train
306747,composite,train
632262,photo,train
444583,composite,train
157433,painted,train
596767,photo,train
133838,painted,train
532875,composite,train
1233512,painted,train
83822,painted,train
673933,photo,train
541062,painted,train
1357161,composite,train
6552,photo,train
859992,painted,train
891996,painted,train
766579,composite,train
756439,photo,train
7392,painted,train
949569,composite,train
25750,photo,train
682662,photo,train
635688,composite,train
77156,painted,train
1006932,painted,train
472338,photo,train
218809,photo,train
239380,composite,train
14745,composite,train
43120,painted,train
34593,painted,train
24924,painted,train
597185,photo,train
720009,photo,train
58802,composite,train
47553,painted,train
319324,photo,train
270439,painted,train
282812,painted,train
80570,photo,train
85150,painted,train
62926,painted,train
18781,composite,train
29070,painted,train
16077,photo,train
26661,painted,train
63317,painted,train
503030,painted,train
49439,painted,train
191806,painted,train
760512,painted,train
444679,photo,train
645454,painted,train
278686,photo,train
1083818,photo,train
1032876,photo,test
1314441,photo,test
917990,composite,test
609616,composite,test
646977,photo,test
876210,composite,test
725640,painted,test
30510,composite,test
416228,painted,test
52742,painted,test
343495,photo,test
53246,painted,test
95667,composite,test
898555,painted,test
1013699,painted,test
15516,painted,test
83363,painted,test
125773,composite,test
810062,photo,test
42709,photo,test
354326,composite,test
1015482,painted,test
1199610,composite,test
301122,photo,test
923238,composite,test
271813,painted,test
92320,painted,test
63749,composite,test
522681,photo,test
643468,composite,test
429724,composite,test
29103,painted,test
28450,painted,test
90941,painted,test
516027,composite,test
38939,painted,test
1702,painted,test
29166,painted,test
1166592,composite,test
46117,photo,test
714669,composite,test
618620,painted,test
29412,painted,test
11428,painted,test
36754,painted,test
1581397,photo,test
59726,composite,test
518762,painted,test
94063,painted,test
443338,painted,test
98906,photo,test
1144577,composite,test
69869,composite,test
257117,composite,test
652694,composite,test
508404,painted,test
11495,photo,test
3208,painted,test
1668859,photo,test
49183,painted,test
40351,photo,test
93929,photo,test
9825,composite,test
522438,composite,test
10063,composite,test
124553,photo,test
383668,painted,test
109157,photo,test
27654,painted,test
10206,photo,test
418835,painted,test
50466,photo,test
277189,composite,test
89662,painted,test
509901,photo,test
84960,painted,test
288250,photo,test
489108,composite,test
1354087,painted,test
29067,painted,test
586779,painted,test
119169,painted,test
104205,painted,test
379889,painted,test
1415990,composite,test
28165,painted,test
517662,painted,test
44585,painted,test
347199,composite,test
752819,painted,test
31275,painted,test
959307,photo,test
812612,composite,test
486457,photo,test
456862,photo,test
11167,painted,test
34337,painted,test
33347,photo,test
1576549,composite,test
31634,painted,test
106137,composite,test
347855,composite,test
746157,photo,test
43248,painted,test
462263,photo,test
156597,photo,test
