id,title,year,runtime,imdb_id
661289,The Summers of IT: Chapter Two,2019,169.0,nan
800597,Registros Fatais 3: Apocalypse,2012,100.0,nan
911926,Issac,2022,87.0,nan
1031141,Mad God Ghoul Log,2022,60.0,nan
805104,"Hannibal Lecter, l'icône du mal par excellence",2010,50.0,nan
267574,The Shining: Forwards and Backwards,2011,144.0,nan
845692,Murders,2022,90.0,nan
454289,The Brandon Corey Story,2006,73.0,nan
1028005,Moon Light,2022,110.0,nan
466658,Ennama Katha Vuduranga,2016,135.0,nan
619290,Girls Gone Grabblin',2005,105.0,nan
446297,Dr. Shagetz,1975,88.0,nan
30456,Vampire Catholic School Girls from Hell,2001,83.0,nan
297548,Never Can Say Good-bye,2018,120.0,nan
130972,The Night Marchers,2001,67.0,nan
638265,Return of The Ghoul Log,2019,60.0,nan
714358,The Making of The Battery,2014,90.0,nan
833639,Halloween Jack O'Lantern,2019,59.0,nan
256795,Perawan Malam,1988,100.0,nan
413708,Häxan: Witchcraft Through The Ages,1968,76.0,nan
884093,American Apocalypse,2021,73.0,nan
459856,The Pink Egg,2017,71.0,nan
473544,Vault of Horror I,1994,90.0,nan
976432,The F13th Fan Film Mixtape,2019,72.0,nan
386037,Cannibal Killer Clowns On Dope,2020,90.0,nan
984225,The Resurgence,2022,61.0,nan
856547,Giallothon,2019,240.0,nan
918547,Smut Without Smut: Satanic Horror Nite,2021,75.0,nan
604487,Terror Tales of the Mandarin Orange Boy,2019,81.0,nan
982419,Do Not Enter 2,2022,59.0,nan
249602,The Beast,2004,93.0,nan
292227,Night is the Time For Killing,1975,70.0,nan
770165,Tersimpang Ke Alam Bunian,2020,98.0,nan
680369,Sleepless in Salamanca: Wildwood Sanitarium,2020,94.0,nan
439943,Return Of The Snake Girl,2014,124.0,nan
524138,Culinária Dumbo,2018,61.0,nan
973911,The Legacy: A Ghost Story,2004,75.0,nan
864844,Snuff,2021,75.0,nan
1005559,Heavy Metal vs. Dominator,2005,50.0,nan
756820,Face your Fears | Thriller shorts for Adults,2020,66.0,nan
923869,Urban Horror Series,2021,64.0,nan
273422,It Exists,2014,72.0,nan
892259,Hunks on Haunted Hill,2000,90.0,nan
459614,Your Eyes Are Bleeding,2017,93.0,nan
298347,Monkey Boy,1992,104.0,nan
524577,The Unbelievable Channeling The Spirits,2012,90.0,nan
571155,Zombies Invade Pittsburg,1988,86.0,nan
720667,INFINITY minus Infinity,2019,52.0,nan
139879,The Lizard of Death,2000,45.0,nan
246023,Malam Penuh Bermisteri,2013,80.0,nan
268948,The Best Of Tromadance Film Festival: Volume 2,2003,90.0,nan
273425,Cara Mengundang Hantu,2014,78.0,nan
276346,Cinema of Death,2006,300.0,nan
300591,Mistik Syirik Tahyul,2014,85.0,nan
320078,Kano Vision,2012,74.0,nan
330747,Eyewitness Murders: An Experiment in Reality Television,1988,87.0,nan
361193,Death Reel,1986,80.0,nan
400404,Perjanjian Syaitan,2016,85.0,nan
418253,Trapped!,1994,90.0,nan
421112,Ghostbox,2015,64.0,nan
432269,Supernatural Tales,2015,72.0,nan
448645,Nightmare from Snake,2003,81.0,nan
455484,M4TI,2017,86.0,nan
