id,title,year
276697,Go and Get It,1920
28191,One Exciting Night,1922
204727,The Arrival from the Darkness,1921
285957,A Spectre Haunts Europe,1923
1638985,Itching Palms,1923
2981,The Lost World,1925
40788,Alice's Mysterious Mystery,1926
1494164,Unknown Treasures,1926
1422966,The Haunted Ship,1927
317250,The Strange Case of Captain Ramper,1928
769011,Something Always Happens,1928
1017030,Unmasked,1929
168808,A Strong Man,1929
89741,Terror Aboard,1933
223968,The Pointing Finger,1933
739893,The Beast Man,1934
252792,Danemon Ban: The Monster Exterminator,1935
164687,Dante's Inferno,1935
67162,Pluto's Judgement Day,1935
252797,Taro's Monster Hunt,1936
1326334,The Phantom Doublot,1935
130068,The Phantom Ship,1936
49810,The Rogues' Tavern,1936
1265797,Ritual of the Dead,1937
198456,The Missing Guest,1938
236149,Midnight Frolics,1938
115923,We Want Our Mummy,1939
154925,Every Madman to His Specialty,1939
89723,The Gorilla,1939
119655,The House of Fear,1939
215221,Spook Sport,1940
1315044,Female Zombie,1941
103958,Third Dimensional Murder,1941
343886,Sweet Spirits of the Nighter,1941
167576,Das Gespensterhaus,1942
307265,"Freitag, der 13.",1945
44001,The Unseen,1945
110790,"Murder, He Says",1945
44041,The Dark Mirror,1946
1275759,The Monkey's Paw,1948
393270,The Portrait,1948
166904,Master Minds,1949
1464683,Guilt Trip,2025
1485821,MUSH: Wife,2025
1618944,SILA,2025
1719882,New Hope,2025
69088,Reaction Time,2011
223698,Eel Girl,2008
47800,Brain Dead,1987
267587,Ursula,1961
147807,Kirksdale,2007
359097,The Chest,2007
34618,Dimples,2008
46548,Header,2006
72963,Zombie Movie,2005
365348,Normal,2015
397629,Child Eater,2012
190246,Dead Man's Lake,2012
216672,Kill by Inches,1999
286025,Antisocial Behavior,2014
333489,Hide,2011
431771,Cthulhu,2000
40233,The Landlord,2009
48494,Lynch Mob,2009
52226,See Jane Run,2007
91421,Night of the Sinner,2009
124049,Breakfast of Aliens,1993
283835,The Closet,2011
291543,Paranoia,1998
420839,Sloven,2015
27830,Cauldron: Baptism of Blood,2004
30381,Won Ton Baby!,2009
46166,Dead Enders,2010
56110,Nobody Loves Alice,2008
88024,Cold Creepy Feeling,2010
114835,Evelyn: The Cutest Evil Dead Girl,2002
121997,Dust,2001
147458,The Magic Toyshop,1987
242376,Reality Terror Night,2013
259651,Hollywood Ghost Stories,1986
282484,End of the Wicked,1999
283746,Migrating Forms,2000
387625,Left Turn,2001
398865,Mistress of Seduction,2000
407411,The Spell,2009
27802,The Ghosts of Angela Webb,2005
28583,The Night They Returned,2004
36445,Back Woods,2001
48271,Final Cut,1993
85566,Rage,2010
92755,Shock! Shock! Shock!,1987
95040,The Mutilation Man,2011
114131,Prometheus Triumphant: A Fugue in the Key of Flesh,2009
117546,Trippin',2011
204620,The Eugenist,2013
213218,Till Death,1978
230082,Fire City: King of Miseries,2013
236336,“Sredni Vashtar” by Saki,1940
239973,Cold Blood Canyon,2007
272468,Back to the Beyond,2011
273946,Hostage,2013
274001,Die and Let Live,2006
278984,Carnage for the Destroyer,2006
286865,Killer Biker Chicks,2009
296712,Criticized,2006
369751,ColourBleed,2012
385502,The Human Quality,2000
400545,Dawning,2009
401107,Searching for Haizmann,2003
409594,I Was a Teenage Mummy,1992
420614,All Hallows' Eve,2007
425882,Driller,2006
427243,Consommé,2016
3305,Frankenstein: A Cinematic Scrapbook,1991
9937,El Chupacabra,2003
27809,Web of Darkness,2001
28309,Jan-Gel 3: Hillbilly Monster,2003
28581,Purple Glow,2005
37140,Naked Beneath the Water,2006
58585,The Burnt House,2009
58982,Hospitality,2005
70661,Old Hag,2007
73087,The Red Skulls,2005
86627,Frost Bite,2011
91015,Rose Of Death,2007
96568,Familiar,2012
97983,Winter Lily,2000
102116,"Paper Rock, Scissors",2011
102121,Thirsty,2009
108480,Frost,2003
118305,Fetish Dolls Die Laughing,2012
123815,Song of the Shattered,2010
155967,Binge & Purge,2002
168405,An Evening With My Comatose Mother,2011
190221,Lock Up,2011
203976,Hell's Drifter,2009
234652,I Heart Monster Movies,2012
252640,Jezebeth,2011
253275,Lost in Detroit,2013
254555,With Friends Like These...,1991
281054,Idol of Evil: Hell Is Forever,2011
290697,Eat the Rich: The Cannibal Murders,2000
293781,Unearthed,2004
299081,Anthology of Terror: Prelude,2010
304752,Saving Grace,2010
318666,Occupied,2011
327173,Hallows Point,2007
328572,The Mummy's Dungeon,1993
346982,The Four,2012
363858,Mania,2015
364798,Point of View,2015
366133,Turning Point,2015
379102,Mineral,2014
384172,Untitled Horror Comedy,2009
404523,The 4th Life,2008
408527,Believe the Dance,2012
419030,Nightshadows,2004
419295,No Strings 2: Playtime in Hell,2012
420777,Rake,2015
425204,Jack Chop,2010
