id,title,year,canonical_path,n_posters,n_clusters,n_discarded_variants,changed_from_primary,iso_639_1,vote_average,vote_count
7180,RISEN,2008,/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg,2,2,0,0,,0.0,0
13276,Deadwater,2008,/tvF4dx3coDHCJrcn0nM38X663fH.jpg,2,2,0,0,en,0.0,0
15057,The Evil Woods,2007,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,1,1,0,0,,0.0,0
20321,Doctor Sleep,2002,/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg,3,3,0,0,en,3.334,1
26208,Credo,2008,/uyBYb0e9cBQv4uJVIAIqYjIJ2qM.jpg,2,1,1,1,en,1.75,2
28930,Live Evil,2009,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,1,1,0,0,en,3.334,0
29214,Echoes,1982,/kTAqXw80XokVrYHehoW01zt2HP3.jpg,3,3,0,0,en,3.334,1
29899,Claustrophobia,2003,/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,2,1,1,1,,0.0,0
30030,Eyes Are Upon You,1997,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,1,1,0,0,en,0.0,0
35949,Jennifer's Shadow,2004,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,1,1,0,0,en,0.0,0
36965,Infection,2005,/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg,4,3,1,0,en,1.75,2
37687,3 A.M.,2008,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,1,1,0,0,en,0.0,0
40338,Naked Massacre,1976,/ok7WHby5ATCRjil9amoiblWZMNA.jpg,5,4,1,0,en,3.334,1
45511,Teacher's Pet,2000,/6tP0SNBPUWEFd4dz77p4JH2S574.jpg,3,3,0,0,en,3.334,1
47431,To Make a Killing,1988,/3V9jxF3ZHE3KLSyU6QytBo4NPaE.jpg,4,4,0,0,en,3.334,1
48808,Closet Space,2008,/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg,1,1,0,0,,0.0,0
50604,Dark Woods,2010,/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg,1,1,0,0,,0.0,0
51176,Hellborn,2003,/u5VdDoyXLuMSA193Jalh03FfrD3.jpg,4,4,0,0,en,3.334,1
56383,"Lisa, Lisa",1974,/fj2PR0EnAakr9F0VhUe2uwESmII.jpg,5,4,1,0,en,7.19,7
58796,Canes,2006,/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg,4,3,1,0,en,3.334,1
69117,Unseen Evil 2,2004,/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg,1,1,0,0,en,0.0,0
69142,The Wrath,2008,/i58d2YSlyrN8yWjncS3UQEqZSCm.jpg,4,3,1,0,en,3.334,1
71234,Greed,2006,/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg,1,1,0,0,en,0.0,0
80528,The Darkening,1995,/wicP7cM37z3uhNdV5SwoPBZfib6.jpg,1,1,0,0,en,3.334,1
81489,Carnivorous,2007,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg,1,1,0,0,,0.0,0
82972,Curio,2010,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,1,1,0,1,,0.0,0
83833,Nostrum,2010,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg,1,1,0,0,,0.0,0
84233,Don't Hang Up,1974,/1vVhbo2yoVdoxIdkQWPifQtYfaN.jpg,5,5,0,0,en,3.334,1
95008,Scream... and Die!,1973,/aio85fbghDTwnL0NUrWGmsFKp9n.jpg,5,4,1,1,en,1.75,4
102762,Awakening,2006,/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg,1,1,0,0,,0.0,0
109703,Cadaver Bay,2003,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg,1,1,0,0,en,0.0,0
122742,El asesino del parking,2006,/gEi29ztmZ5G8qvDn5MdYwYd4tpC.jpg,1,1,0,0,en,0.166,1
124046,B.O.R.N.,1989,/trUBdVKkA3K2G1czud2hejVlYGl.jpg,2,2,0,0,en,3.334,1
125294,Rough Draft,1998,/eYgvetyNQK3paZqZ1UvPjbvRuHy.jpg,2,2,0,0,en,3.334,2
128655,Haunted High,2012,/vvBldMlCmq7WDI6eoWIHSAe1JfE.jpg,3,3,0,0,en,3.334,1
135973,Pennhurst,2012,/mFjoBkzeDbBmxM8jVfYcHOmmIac.jpg,2,2,0,0,en,3.334,1
144839,Evil Stalks This House,1981,/e79AoyQhHzuzFR4yPY5ewQqhAFp.jpg,2,2,0,0,en,3.334,1
144909,Charm,2013,/pS9d7Qz5IjbOzJr1XJPNhuaUm4r.jpg,1,1,0,0,,0.0,0
163543,Shelf Life,2004,/mCwnXpiPIyCMeWnIGVzsdRs6PqW.jpg,2,2,0,0,en,3.334,1
164423,Ghost of the Needle,2003,/1LS2hvSXLx7T8CWUgpcUwwBHC46.jpg,1,1,0,0,,0.0,0
200672,Torro. Torro. Torro!,1981,/3sCzrtgWaimNKVXk9FHRPx0Q2I4.jpg,1,1,0,0,,0.0,0
200803,Altered Species,2001,/1ki6TnBxlKG81ZbaXvaxEa7BXcK.jpg,3,3,0,0,en,5.238,0
204611,The McPherson Tape,1989,/Ap6zknBoIHaioieVfOLd5qaWd4X.jpg,5,5,0,0,en,3.334,1
208703,Rufus,2013,/aL7Lqv1iyZ6HAulWDjJvhwJNeIA.jpg,4,4,0,0,en,3.334,1
210587,Yellow,2013,/3olg9GQuC7xtym6H1gEVHznm8ee.jpg,2,2,0,0,en,3.334,1
210734,Battlefield Death Tales,2012,/z453yQUIEXI5mG695ZfeEMkDZnx.jpg,1,1,0,0,,0.0,0
214680,Convergence,2000,/b15UobERIODyWwjuIGVRKLBLBkO.jpg,1,1,0,0,en,3.334,1
215280,Billy Badd,1992,/zJwP5epnNOuna569g2fI9QZeeJ1.jpg,1,1,0,0,,0.0,0
216139,Burned at the Stake,1981,/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,5,5,0,0,en,0.0,0
219961,Sonata,2004,/A1C6UkDJudXNeTRjB33J9iJASQg.jpg,1,1,0,0,,0.0,0
223281,The Unspeakable,1996,/ApCMWR2jg45lZTGMjN2JIpIwePj.jpg,2,2,0,0,en,0.0,0
223344,Maxie,1973,/b8oVCFTxDwF2m5CQwgqzdpppkIp.jpg,1,1,0,0,en,3.334,1
226023,The Men Who Fell,2007,/qUnmfvrrmn1BFcc7KkXyzwwRrHi.jpg,1,1,0,0,,0.0,0
244305,The Ice House,1969,/tnaaNtJ6x9Es6nErSIoK9Y5izI2.jpg,2,2,0,0,,3.334,1
250788,Savage Encounter,1980,/fyHhjGJkTYCIIoRFM1v0YvuW50Q.jpg,2,2,0,0,en,0.0,0
251526,The Mutagen,1988,/ezpSbTs0epele0tkVKSRkhS7mco.jpg,1,1,0,0,,0.0,0
254701,The Mask of Love,2012,/laWI93XRbbI2qEnAFPETLUkNwD5.jpg,1,1,0,0,,0.0,0
257275,The Night Comes Too Soon,1948,/5cbhJNkBnonH6qJQgMDyc2qf0Eb.jpg,3,3,0,0,en,3.334,1
258726,School of Fear,1989,/cdyvTnRAOxVbQfRtV7pT6rhzHkK.jpg,3,2,1,0,en,3.334,2
259828,Bloodless,2014,/474HmunD3keIwtapMuRdTKB2pPF.jpg,1,1,0,0,,0.0,0
260824,Under Surveillance,2006,/kdgMFG1sY3oXPDoYelHCgKa8qqP.jpg,1,1,0,0,en,3.334,1
262919,Catacombs,1964,/jaMF5hgc9U11vrbVEdFmsHA2nVJ.jpg,4,4,0,0,en,3.334,1
265321,A Shred Of Mist,2014,/1cy71eeNjdhbTZSVkOa24fsAHyQ.jpg,1,1,0,0,,0.0,0
273418,Killer Dead,1992,/mYuEWRvrxGKHGPzdxXY00rGRJHC.jpg,1,1,0,0,en,0.0,0
275203,Locked in a Room,2012,/jdlC72Q6uD5ZaowkxUYpjxYwaKp.jpg,2,2,0,0,en,0.0,0
276692,Natural Selection,1994,/kmK64pGj3qJov5PHzA5wlcy1KNG.jpg,1,1,0,0,en,0.0,0
277506,Invicta,2009,/kaGpoLrYh8EOVu16zJA7iiwXSPw.jpg,1,1,0,0,,0.0,0
289476,Kill Me Tomorrow,2000,/dnLLx5mJ536VEH6YgnFUNAlyJiP.jpg,1,1,0,0,,0.0,0
290696,Dysmorphia,2014,/o06KZiy9YO6zod6UomN9OF9arg3.jpg,5,5,0,1,,0.0,0
290732,VIViD,2011,/rRe20MjzhWKVBZMUolgpkEiq4ym.jpg,5,5,0,0,en,0.0,0
292227,Night is the Time For Killing,1975,/mqkxympXKa2gsHfQ6KCRPY8Ts92.jpg,2,2,0,0,en,0.0,0
294488,Maniac Too!,2013,/uwWcnJvOi3e6y3n1kv6pt0GP9lQ.jpg,1,1,0,0,,0.0,0
302038,An Erotic Tale of Ms. Dracula,2014,/rrZ4NBhe9auBM4FB02t51koz4Xq.jpg,3,3,0,0,en,3.334,1
302512,Awaken the Devil,2015,/uducCd6iOb5eBaQm18ouZ6aRlmM.jpg,1,1,0,0,,0.0,0
303898,Cut Throat,2002,/xNnmuiypUYphkSQRXWAeKDBGfNl.jpg,4,4,0,0,en,0.0,0
308135,Cryptid,2006,/wSODkEM8hm952IXZI73mwBVdJmL.jpg,1,1,0,0,,0.0,0
308421,Somebody's There,2013,/7jV3PYF3sQ2CVRDsIlpUdtNsUUg.jpg,1,1,0,0,en,0.0,0
309063,The Ouija Experiment 2: Theatre of Death,2015,/o3VMaDXxXc8VwvvX82sd418HCcx.jpg,3,3,0,0,en,5.238,0
321768,Captive,2014,/fJByYakjLIt9X2pQJtRDqStkMmQ.jpg,2,2,0,0,,0.0,0
322858,The Third Sex,1934,/snzSFKPWUMFONxYbhivnDkEXnIO.jpg,1,1,0,0,en,0.0,0
328939,Cheerleader Camp 2 the Death,2023,/pfvC8rWfo2disdbV6PpdEAwSCm4.jpg,5,5,0,0,en,3.334,1
332689,Playing with Dolls,2015,/3ZkvAVrjhaYgdf0T1e8Hcqq3AQE.jpg,5,4,1,0,en,3.334,1
336107,Meat the Jones,2013,/rOVg9nIwjwcfNqEdGrfN331D8XT.jpg,2,2,0,0,en,3.334,1
347855,Curtain,2015,/qVoBlKoBg4xfnBP6lIuozzQPAsi.jpg,1,1,0,0,,0.0,0
359056,Primordial,2015,/bwXwUdpBsB5rav8ij0cMDsjppNx.jpg,4,3,1,0,en,3.334,1
362807,Paranoid,2000,/cM7MXLsK2wCBPOaS0Kx4lGF3GwO.jpg,1,1,0,0,en,3.334,1
379100,M is for Merry Christmas,2013,/dQED4TeHOkZ5MXV7ipMRkqkssYO.jpg,2,1,1,0,en,0.0,0
382052,Not Alone,2015,/6WJGrYga0zshLeu5QkZ5r4EJadm.jpg,2,2,0,0,en,3.334,1
385378,Gemini,2014,/bzqJHC48CWmGEJ0CemZ2co9jNSx.jpg,1,1,0,1,en,0.0,0
392051,The Damned Thing,2014,/sBFrsu3rkozZvJTdJMwtbCr0VM2.jpg,2,2,0,0,en,0.0,0
398656,Possessed,2013,/yPE1T5O4COQ9nN2iHVLsPctzYqf.jpg,1,1,0,0,,0.0,0
404206,The Music of Jo Hyeja,2012,/1aL2kLtwpFHN59Y5jtE3Yn4gT7D.jpg,1,1,0,0,,3.334,1
406582,Delirium,2015,/pTRhNMh7ndYFVfG4Qhjqgu7WDqb.jpg,1,1,0,0,en,3.334,1
412471,Dark Silence,2016,/pBP8eWb66SGbWtDMAMYghrqrJId.jpg,4,3,1,0,en,1.75,2
415852,Heartland of Darkness,1989,/zlIa027GbOplbDef65B8dqRKowy.jpg,5,5,0,0,en,3.334,1
417180,Vacant House,2016,/ewu8e5WyLE91426VmqgQaoePlRI.jpg,2,2,0,0,en,0.0,0
421490,Tall Men,2016,/7UIPssW5B21uBAtQ2mojAJpm7oJ.jpg,5,4,1,0,en,3.334,1
424078,Spirits,2014,/22aTJitI74odsnxVr9uIsuuA55V.jpg,1,1,0,0,en,0.0,0
459220,Shockwave,2016,/csqybkX4q5PcJTkkjmsUpWCdiYU.jpg,1,1,0,0,,0.0,0
461724,The Spirits of Jupiter,1984,/73LRallDsuMPYspHJyxffssqK7b.jpg,3,3,0,0,en,0.0,0
465177,Meltdown,2014,/xRtyCI1AcI2igXC0rX2pzm0j1b5.jpg,3,3,0,0,en,5.238,0
466677,Dead South,2017,/tSWIERDkhExNRGhg1rZYm6R8hJX.jpg,2,2,0,0,en,0.0,0
477576,DeadThirsty,2017,/yHKu3ntOnRyt8qZdeU35otnviIC.jpg,5,4,1,0,en,0.0,0
486684,Aux,2018,/6jPaPjzgbSUwfkyJKV4SpzWMJWH.jpg,5,5,0,0,en,3.334,1
489454,The Devil's Warehouse,2016,/3z647nj8eUPBRpNZaBvy6W3cJCF.jpg,1,1,0,0,,0.0,0
