id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
7180,RISEN,RISEN,2008,7180.jpg,0.0,0.1013,mULRjy8rGqZx9Ql5TTKV4inH9If,posters_multi/7180/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,0.2632,1.0,0.1619,2,1,overlap_gain
13276,Deadwater,Deadwater,2008,13276.jpg,0.0,0.1455,1563LI6bmrzyXaGbbwTkAjpR0qA,posters_multi/13276/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,0.0367,1.0,-0.1088,2,1,overlap_gain
15057,The Evil Woods,The Evil Woods,2007,15057.jpg,0.3333,0.4444,ppMNj9IAzEjQsQCjBloHo9qf6yJ,posters_multi/15057/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,0.3333,0.4444,0.0,0.0,1,0,no
20321,Doctor Sleep,Doctor Sleep,2002,20321.jpg,0.0,0.25,bWb7wrpWygWFEFlkkwU4cUTfE7V,posters_multi/20321/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.5,0.0,0.5,-0.25,3,1,overlap_gain
26208,Credo,Credo,2008,26208.jpg,0.0,0.2105,zujrGZqzrXe8DVCZyig07O03Edz,posters_multi/26208/zujrGZqzrXe8DVCZyig07O03Edz.jpg,0.0,0.2105,0.0,0.0,2,0,no
28930,Live Evil,Live Evil,2009,28930.jpg,0.0,0.0117,760Y7oQvtGokFyo8cXpigGMa3J1,posters_multi/28930/760Y7oQvtGokFyo8cXpigGMa3J1.jpg,1.0,0.024,1.0,0.0123,2,1,overlap_gain
29214,Echoes,Echoes,1982,29214.jpg,0.0,0.1099,mjM0EpHEgXVwGnd5fhBXpTkxOzU,posters_multi/29214/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,1.0,0.8901,3,1,overlap_gain
29899,Claustrophobia,Claustrophobia,,29899.jpg,0.0,0.1687,3vUeGjpPrEbllgm1EK68Y5hJNf4,posters_multi/29899/3vUeGjpPrEbllgm1EK68Y5hJNf4.jpg,0.0,0.1707,0.0,0.002,2,0,no
30030,Eyes Are Upon You,Eyes Are Upon You,1997,30030.jpg,0.0,0.2917,4nsQ3qGeP6xCllI2RDQBPstdtdP,posters_multi/30030/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg,0.0,0.2979,0.0,0.0062,1,0,no
35949,Jennifer's Shadow,Jennifer's Shadow,2004,35949.jpg,0.0,0.1928,emw0TaUE0jyaSuZQw2u0A3L4RMw,posters_multi/35949/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,0.0,0.1928,0.0,0.0,1,0,no
