id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason,tmdb_poster_path,src,dest,status,error
7180,RISEN,RISEN,2008,7180.jpg,0.0,0.1013,mULRjy8rGqZx9Ql5TTKV4inH9If,posters_multi/7180/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,1.0,0.2632,1.0,0.1619,2,1,overlap_gain,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,posters_multi/7180/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,posters/7180.jpg,ok,
13276,Deadwater,Deadwater,2008,13276.jpg,0.0,0.1455,1563LI6bmrzyXaGbbwTkAjpR0qA,posters_multi/13276/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1.0,0.0367,1.0,-0.1088,2,1,overlap_gain,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,posters_multi/13276/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,posters/13276.jpg,ok,
20321,Doctor Sleep,Doctor Sleep,2002,20321.jpg,0.0,0.25,bWb7wrpWygWFEFlkkwU4cUTfE7V,posters_multi/20321/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,0.5,0.0,0.5,-0.25,3,1,overlap_gain,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,posters_multi/20321/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,posters/20321.jpg,ok,
28930,Live Evil,Live Evil,2009,28930.jpg,0.0,0.0117,760Y7oQvtGokFyo8cXpigGMa3J1,posters_multi/28930/760Y7oQvtGokFyo8cXpigGMa3J1.jpg,1.0,0.024,1.0,0.0123,2,1,overlap_gain,/760Y7oQvtGokFyo8cXpigGMa3J1.jpg,posters_multi/28930/760Y7oQvtGokFyo8cXpigGMa3J1.jpg,posters/28930.jpg,ok,
29214,Echoes,Echoes,1982,29214.jpg,0.0,0.1099,mjM0EpHEgXVwGnd5fhBXpTkxOzU,posters_multi/29214/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,1.0,1.0,1.0,0.8901,3,1,overlap_gain,/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,posters_multi/29214/mjM0EpHEgXVwGnd5fhBXpTkxOzU.jpg,posters/29214.jpg,ok,
36965,Infection,Infection,2005,36965.jpg,0.0,0.3226,nZwQvVEySo7rGI0JR06penAVmr1,posters_multi/36965/nZwQvVEySo7rGI0JR06penAVmr1.jpg,1.0,0.1667,1.0,-0.1559,5,1,overlap_gain,/nZwQvVEySo7rGI0JR06penAVmr1.jpg,posters_multi/36965/nZwQvVEySo7rGI0JR06penAVmr1.jpg,posters/36965.jpg,ok,
40338,Naked Massacre,Die Hinrichtung,1976,40338.jpg,0.0,0.2581,i1ElgF6v5avfslWm45s3JjzZbPS,posters_multi/40338/i1ElgF6v5avfslWm45s3JjzZbPS.jpg,1.0,0.1486,1.0,-0.1095,6,1,overlap_gain,/i1ElgF6v5avfslWm45s3JjzZbPS.jpg,posters_multi/40338/i1ElgF6v5avfslWm45s3JjzZbPS.jpg,posters/40338.jpg,ok,
45511,Teacher's Pet,Teacher's Pet,2000,45511.jpg,0.0,0.2963,rQp1gPdjPoUPTWZmnrrXpVZkt0G,posters_multi/45511/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,1.0,1.0,1.0,0.7037,3,1,overlap_gain,/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,posters_multi/45511/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,posters/45511.jpg,ok,
47431,To Make a Killing,To Make a Killing,1988,47431.jpg,0.0,0.0,1qQ3tiBTDTLSMzEk0X6NVfdacoL,posters_multi/47431/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg,1.0,0.1257,1.0,0.1257,4,1,overlap_gain,/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg,posters_multi/47431/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg,posters/47431.jpg,ok,
51176,Hellborn,Hellborn,2003,51176.jpg,0.0,0.1263,r0KUoGBEO0sWxTr9hhLf78tXtDg,posters_multi/51176/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg,1.0,0.0,1.0,-0.1263,4,1,overlap_gain,/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg,posters_multi/51176/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg,posters/51176.jpg,ok,
