id,title,year,status,latency_s,title_text,credits_text,other_text,languages,mood,fear_labels,weapon,monster,person,animal,blood_gore,violence,sexual_content,sensitive,moderation_notes,description,model_id,input_tokens,output_tokens,error
3069,Frankenstein Reborn,2005,error: RuntimeError: lambda error: ThrottlingException: An error occurred (Throt,92.038,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ThrottlingException: An error occurred (ThrottlingException) when calling the Converse operation (reached max retries: 4): Too many requests, please wait before trying again."
4232,Scream,1996,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 11 (char 224)",2.432,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 11 (char 224)"
4232,Scream,1996,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 11 (char 224)",2.698,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 11 (char 224)"
4290,Supergator,2007,error: RuntimeError: lambda error: ThrottlingException: An error occurred (Throt,90.773,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ThrottlingException: An error occurred (ThrottlingException) when calling the Converse operation (reached max retries: 4): Too many requests, please wait before trying again."
4232,Scream,1996,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 11 (char 224)",3.965,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 11 (char 224)"
25086,Second Coming,2009,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,4.504,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 53)
28242,Zombie Hunters,2007,error: RuntimeError: lambda error: ThrottlingException: An error occurred (Throt,75.997,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ThrottlingException: An error occurred (ThrottlingException) when calling the Converse operation (reached max retries: 4): Too many requests, please wait before trying again."
28505,Cry of the Winged Serpent,2005,error: JSONDecodeError: Unterminated string starting at: line 5 column 17 (char ,5.688,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 5 column 17 (char 140)
28579,She-Demons of the Black Sun,2006,error: RuntimeError: lambda error: ThrottlingException: An error occurred (Throt,95.849,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ThrottlingException: An error occurred (ThrottlingException) when calling the Converse operation (reached max retries: 4): Too many requests, please wait before trying again."
29409,22 Weeks,2009,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,25.82,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 47)
30440,Ancient Evil: Scream of the Mummy,1999,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,3.31,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 52)
30780,Cabin by the Lake,2000,error: RuntimeError: lambda error: ThrottlingException: An error occurred (Throt,84.652,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ThrottlingException: An error occurred (ThrottlingException) when calling the Converse operation (reached max retries: 4): Too many requests, please wait before trying again."
34104,The Cursed,2010,error: JSONDecodeError: Unterminated string starting at: line 5 column 17 (char ,4.539,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 5 column 17 (char 137)
35280,The Other,1972,error: RuntimeError: lambda error: ThrottlingException: An error occurred (Throt,92.408,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ThrottlingException: An error occurred (ThrottlingException) when calling the Converse operation (reached max retries: 4): Too many requests, please wait before trying again."
36299,The Grave,1996,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 19 (char 316)",3.831,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 19 (char 316)"
25086,Second Coming,2009,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,3.961,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 53)
30440,Ancient Evil: Scream of the Mummy,1999,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,3.157,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 52)
36299,The Grave,1996,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 19 (char 316)",1.486,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 19 (char 316)"
34104,The Cursed,2010,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,2.638,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 50)
25086,Second Coming,2009,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,4.205,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 53)
30440,Ancient Evil: Scream of the Mummy,1999,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,4.811,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 52)
36299,The Grave,1996,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 19 (char 316)",1.456,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 19 (char 316)"
25086,Second Coming,2009,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,3.073,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 53)
30440,Ancient Evil: Scream of the Mummy,1999,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,5.305,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 72)
51590,Assault of the Sasquatch,2010,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,12.067,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 64)
54070,Red Velvet,2009,error: RuntimeError: lambda error: ThrottlingException: An error occurred (Throt,91.739,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ThrottlingException: An error occurred (ThrottlingException) when calling the Converse operation (reached max retries: 4): Too many requests, please wait before trying again."
56554,Stag Night of the Dead,2010,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,7.989,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 62)
58795,Butcher House,2006,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,4.846,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 53)
25086,Second Coming,2009,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,4.362,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 53)
51590,Assault of the Sasquatch,2010,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,4.585,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 64)
30440,Ancient Evil: Scream of the Mummy,1999,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,5.819,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 52)
56554,Stag Night of the Dead,2010,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,3.159,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 62)
94841,Cell Count,2012,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,13.708,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 50)
95481,Easter Bunny Bloodbath,2011,error: JSONDecodeError: Unterminated string starting at: line 5 column 17 (char ,4.45,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 5 column 17 (char 138)
99859,Crimetime,1996,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 17 (char 237)",4.588,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 17 (char 237)"
102794,Atomic Dog,1998,error: RuntimeError: lambda error: ReadTimeoutError: Read timeout on endpoint UR,70.575,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ReadTimeoutError: Read timeout on endpoint URL: ""https://bedrock-runtime.us-west-2.amazonaws.com/model/us.amazon.nova-2-lite-v1%3A0/converse"""
103974,Engine Trouble,2002,error: RuntimeError: lambda error: ReadTimeoutError: Read timeout on endpoint UR,72.306,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ReadTimeoutError: Read timeout on endpoint URL: ""https://bedrock-runtime.us-west-2.amazonaws.com/model/us.amazon.nova-2-lite-v1%3A0/converse"""
104846,The Fear of God: 25 Years of The Exorcist,1998,"error: JSONDecodeError: Expecting ',' delimiter: line 9 column 22 (char 270)",1.554,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"JSONDecodeError: Expecting ',' delimiter: line 9 column 22 (char 270)"
106028,Summer School,2006,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,5.225,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 53)
107738,Possum Walk,2010,error: JSONDecodeError: Unterminated string starting at: line 5 column 17 (char ,4.952,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 5 column 17 (char 124)
112969,Slaughter of the Innocents,1993,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,5.818,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 66)
113146,It's My Party and I'll Die If I Want To,2007,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,4.135,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 79)
114007,Fangs of the Cobra,1977,error: JSONDecodeError: Invalid \uXXXX escape: line 5 column 973 (char 1093),16.902,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Invalid \uXXXX escape: line 5 column 973 (char 1093)
114183,Portrait of a Serial Rapist,1994,error: JSONDecodeError: Invalid \uXXXX escape: line 3 column 879 (char 960),22.461,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Invalid \uXXXX escape: line 3 column 879 (char 960)
115226,Study Hell,2007,error: JSONDecodeError: Unterminated string starting at: line 5 column 17 (char ,9.241,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 5 column 17 (char 138)
118626,She Wolf Rising,2016,error: JSONDecodeError: Unterminated string starting at: line 3 column 19 (char ,14.068,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,JSONDecodeError: Unterminated string starting at: line 3 column 19 (char 55)
120698,I Am a Ghost,2012,error: RuntimeError: lambda error: ReadTimeoutError: Read timeout on endpoint UR,66.249,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,"RuntimeError: lambda error: ReadTimeoutError: Read timeout on endpoint URL: ""https://bedrock-runtime.us-west-2.amazonaws.com/model/us.amazon.nova-2-lite-v1%3A0/converse"""
121691,Hellbound?,2012,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,0.171,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
121937,Each Time I Kill,2007,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,0.559,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
121997,Dust,2001,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,0.557,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
122027,Valley of the Zombies,1946,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,0.554,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
122052,Creature from the Hillbilly Lagoon,2005,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,0.542,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
122206,The Dead Will Walk: The Making of Dawn of the Dead,2004,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,0.545,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
122211,Woman Who Came Back,1945,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,0.587,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
122245,The Serpent Warriors,1985,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,1.11,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
122317,A Christmas Treat,1985,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,1.113,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
122326,100 Ghost Street: The Return of Richard Speck,2012,error: ResourceNotFoundException: An error occurred (ResourceNotFoundException) ,1.095,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ResourceNotFoundException: An error occurred (ResourceNotFoundException) when calling the Invoke operation: Function not found: arn:aws:lambda:us-west-2:207567776078:function:poster-ocr-bedrock:$LATEST
