rank,model,n,mean_overlap,median_overlap,win,tie,loss,vs_oss,family
1,gemma4-31b-hard,9,0.875,1.0,0,9,0,gemma4-31b-hard,vlm_oss
2,pixtral,9,0.8009222222222222,1.0,0,8,1,gemma4-31b-hard,cloud
3,gemma4-31b,9,0.8009222222222222,1.0,0,8,1,gemma4-31b-hard,vlm_oss
4,qwen3-vl-32b-hard,9,0.689811111111111,1.0,0,7,2,gemma4-31b-hard,vlm_oss
5,gemini-2.5-flash-or-hard,9,0.689811111111111,1.0,0,7,2,gemma4-31b-hard,cloud
6,gemma4-26b-free-hard,9,0.689811111111111,1.0,0,7,2,gemma4-31b-hard,vlm_oss
7,google,9,0.6620333333333333,1.0,0,6,3,gemma4-31b-hard,classic_api
8,kimi-vl-hard,9,0.6388888888888888,0.75,0,5,4,gemma4-31b-hard,vlm_oss
9,gpt4o,9,0.6342555555555555,0.875,0,6,3,gemma4-31b-hard,cloud
10,gemini-flash,9,0.6157333333333334,0.875,0,6,3,gemma4-31b-hard,cloud
11,qwen7b-hard,9,0.5787111111111112,0.6667,0,5,4,gemma4-31b-hard,vlm_oss
12,nemotron-omni-free-hard,9,0.5787,0.875,0,6,3,gemma4-31b-hard,vlm_oss
13,llama4-scout,9,0.564811111111111,0.75,0,5,4,gemma4-31b-hard,cloud
14,ppocrv6-medium,9,0.5231444444444444,0.375,0,5,4,gemma4-31b-hard,classic_oss
15,nova-pro,9,0.5231444444444444,0.5,0,5,4,gemma4-31b-hard,cloud
16,paddle-vl,9,0.5138888888888888,0.625,0,4,5,gemma4-31b-hard,vlm_oss
17,qwen7b-crop,8,0.5104124999999999,0.54165,0,4,4,gemma4-31b-hard,ablation_crop
18,nova-lite,9,0.4861111111111111,0.5,0,4,5,gemma4-31b-hard,cloud
19,rekognition,9,0.45369999999999994,0.3333,0,4,5,gemma4-31b-hard,classic_api
20,qwen2b-hard,9,0.3981555555555556,0.5,0,2,7,gemma4-31b-hard,vlm_oss
21,qwen2b-crop,9,0.3240777777777778,0.0,0,2,7,gemma4-31b-hard,ablation_crop
22,deepseek,9,0.3055555555555556,0.0,0,2,7,gemma4-31b-hard,vlm_oss
23,ppocr,9,0.30184444444444447,0.25,0,2,7,gemma4-31b-hard,classic_oss
24,easyocr,9,0.27499999999999997,0.3333,0,1,8,gemma4-31b-hard,classic_oss
25,qwen-v2,9,0.2722222222222222,0.2,0,1,8,gemma4-31b-hard,vlm_oss
26,florence,9,0.2185222222222222,0.0,0,1,8,gemma4-31b-hard,vlm_oss
