rank,model,n,mean_overlap,median_overlap,n_perfect
1,gemma4-31b-hard,9,0.875,1.0,7
2,pixtral,9,0.8009,1.0,6
3,gemma4-31b,9,0.8009,1.0,6
4,gemma4-26b-free-hard,9,0.6898,1.0,5
5,gemini-2.5-flash-or-hard,9,0.6898,1.0,5
6,qwen3-vl-32b-hard,9,0.6898,1.0,5
7,google,9,0.662,1.0,5
8,kimi-vl-hard,9,0.6389,0.75,4
9,gpt4o,9,0.6343,0.875,4
10,gemini-flash,9,0.6157,0.875,4
11,qwen7b-hard,9,0.5787,0.6667,3
12,nemotron-omni-free-hard,9,0.5787,0.875,4
13,llama4-scout,9,0.5648,0.75,4
14,nova-pro,9,0.5231,0.5,3
15,ppocrv6-medium,9,0.5231,0.375,4
16,paddle,9,0.5139,0.625,3
17,nova-lite,9,0.4861,0.5,2
18,rekognition,9,0.4537,0.3333,3
19,qwen2b-hard,9,0.3982,0.5,1
20,qwen2b-crop,9,0.3241,0.0,1
21,deepseek,9,0.3056,0.0,1
22,ppocr,9,0.3018,0.25,1
23,easyocr,9,0.275,0.3333,0
24,qwen,9,0.2722,0.2,0
25,florence,9,0.2185,0.0,0
