rank,model,n,n_ok,mean_overlap,median_overlap,title_hit_rate,mean_latency_s,cost_note
1,gemma4-31b,99,99,0.9819,1.0,0.9697,3.112,
2,pixtral,99,99,0.9583,1.0,0.9394,29.4092,
3,gpt4o,99,99,0.9566,1.0,0.9394,1.4692,
4,gemini-flash,99,99,0.955,1.0,0.9394,2.5537,
5,llama4-scout,99,99,0.9503,1.0,0.9394,0.8015,
6,qwen,99,99,0.9338,1.0,0.9091,2.6916,
7,nova-lite,99,99,0.9142,1.0,0.8687,1.3959,
8,google,99,99,0.9077,1.0,0.8485,0.3422,
9,nova-pro,99,99,0.8943,1.0,0.8283,1.3871,
10,rekognition,99,99,0.8624,1.0,0.7879,0.706,
11,deepseek,99,99,0.8247,1.0,0.7273,3.0779,
12,paddle,99,99,0.7873,1.0,0.7071,57.791,
13,ppocr,99,99,0.5968,0.75,0.4747,2.2086,
14,easyocr,98,98,0.5223,0.5,0.3776,0.0,
15,florence,99,99,0.3875,0.2,0.2828,2.6034,
