id,title,year,model,text,chars,title_overlap_score,latency_s,status
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,gemma4-26b-free-hard,FRIDAY THE 13TH\nVIII\nJASON TAKES MANHATTAN,42,0.875,9.661,ok
26921,The Mystery of the Mary Celeste,1935,gemma4-26b-free-hard,The MYSTERY OF THE MARY CELESTE,31,1.0,7.091,ok
28265,Lovesick: Sick Love,2004,gemma4-26b-free-hard,LOVESICK\nSICKLOVE,17,0.3333,7.075,ok
77399,Incense for the Damned,1971,gemma4-26b-free-hard,BLOOD SUCKERS,13,0.0,8.133,ok
233194,8 Butterflies,2010,gemma4-26b-free-hard,LOSE YOUR MIND.\n8BUTTERFLIES\nCONSPIRE FILMS PRESENTS A PHANTOM OCEAN PRODUCTION '8 BUTTERFLIES' A SHORT FILM BY MAX MARCO\nSTARRING AMY SHAHAS CHARLES SCHANDOR WITH JAY LAURENZO MICHELLE REED FRANK WARD MIKE ONORDO CAROLINA V\nMUSIC BY COSMOS THE CARNIVAL FLOAT SHOP\nDIRECTED BY MAX MARCO\nPRODUCED BY PHANTOM OCEAN\nDISTRIBUTED BY CONSPIRE FILMS,342,1.0,13.526,ok
286452,Varsity Blood,2014,gemma4-26b-free-hard,VARSITY\nBLOOD,13,1.0,4.899,ok
653537,Whispers,2019,gemma4-26b-free-hard,WHISPER,7,0.0,6.558,ok
940187,THE INQUISTION,2019,gemma4-26b-free-hard,INQUISITION\nMMXIX BY B18&UP FILM PRODUCTIONS. ALL RIGHTS RESERVED.,66,0.0,9.687,ok
1015482,Kiss of the Serpent,1988,gemma4-26b-free-hard,UNCUT\nungeschnitten\nTodeskuss\nder Schlange,42,0.0,8.072,ok
1405670,xOxExFx,2024,gemma4-26b-free-hard,A Film by Reverend Ray,22,0.0,2.579,ok
1483743,"up here, disappear",2025,gemma4-26b-free-hard,"up here,\nup here,\nup here,\nup here,\nup here,\nup here.\nA FILM BY\nARNEX NICOLAS\ndisappear\ndisappear\ndisappear\ndisappear\ndisappear\ndisappear\ndisappear\ndisappear",157,1.0,11.56,ok
1578643,Cymophane,2024,gemma4-26b-free-hard,a film by Ghazal Yousefi\nCYMOPHANE,34,1.0,4.129,ok
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,nemotron-omni-free-hard,FRIDAY THE 13TH\nVIII\nJASON TAKES MANHATTAN,42,0.875,3.828,ok
26921,The Mystery of the Mary Celeste,1935,nemotron-omni-free-hard,The MYSTERY OF THE MARY CELESTE,31,1.0,1.638,ok
28265,Lovesick: Sick Love,2004,nemotron-omni-free-hard,LOVESICK\nSICKLOVE,17,0.3333,1.655,ok
77399,Incense for the Damned,1971,nemotron-omni-free-hard,BLOOD SUCKERS,13,0.0,1.317,ok
233194,8 Butterflies,2010,nemotron-omni-free-hard,"LOSE YOUR MIND.\n8BUTTERFLIES\nDANIELLE FILMS PRESENTS A PRODIGAL MEDIA PRODUCTION 8 BUTTERFLIES A SHORT FILM BY NICK MERCIO\nSTARRING JAY SHE WANGS, CHARLES SCHMIDT, WITH JULIA LARRABEE, MEGAN FOY, TROY WILKINS, NICK MERCIO, CAROLYN W\nMUSIC BY CHRISTOPHER THE DANGEROUS, PHIL BARK",278,1.0,43.18,ok
286452,Varsity Blood,2014,nemotron-omni-free-hard,VARSITY BLOOD,13,1.0,2.29,ok
653537,Whispers,2019,nemotron-omni-free-hard,JULIUS ERNST,12,0.0,2.25,ok
940187,THE INQUISTION,2019,nemotron-omni-free-hard,†\nINQUISIT\nMMXIX BY B18&UP FILM PRODUCTIONS. ALL RIG,52,0.0,5.424,ok
1015482,Kiss of the Serpent,1988,nemotron-omni-free-hard,Todeskuss der Schlange\nUNCUT\nungeschnitten,42,0.0,2.602,ok
