id,model,api_model,prompt_tokens,completion_tokens,total_tokens,latency_s,status
10283,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,19,331,9.661,ok
26921,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,11,323,7.091,ok
28265,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,8,320,7.075,ok
77399,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,6,318,8.133,ok
233194,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,112,424,13.526,ok
286452,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,7,319,4.899,ok
653537,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,4,316,6.558,ok
940187,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,23,335,9.687,ok
1015482,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,15,327,8.072,ok
1405670,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,6,318,2.579,ok
1483743,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,58,370,11.56,ok
1578643,gemma4-26b-free-hard,google/gemma-4-26b-a4b-it:free,312,14,326,4.129,ok
10283,nemotron-omni-free-hard,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,420,326,746,3.828,ok
26921,nemotron-omni-free-hard,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1540,111,1651,1.638,ok
28265,nemotron-omni-free-hard,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1540,158,1698,1.655,ok
77399,nemotron-omni-free-hard,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1540,75,1615,1.317,ok
233194,nemotron-omni-free-hard,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,302,8509,8811,43.18,ok
286452,nemotron-omni-free-hard,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1540,76,1616,2.29,ok
