id,title,year,model,text,chars,title_overlap_score,latency_s,status
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,kimi-vl-hard,FRIDAY THE 13TH JASON TAKES MANHATTAN,37,0.75,7.437,ok
26921,The Mystery of the Mary Celeste,1935,kimi-vl-hard,The Mystery of the Mary Celeste,31,1.0,3.369,ok
28265,Lovesick: Sick Love,2004,kimi-vl-hard,LOVESICK SICKLOVE,17,0.3333,3.191,ok
77399,Incense for the Damned,1971,kimi-vl-hard,BLOOD SUCKERS,13,0.0,2.887,ok
233194,8 Butterflies,2010,kimi-vl-hard,LOSE YOUR MIND. 8 BUTTERFLIES,29,1.0,2.622,ok
286452,Varsity Blood,2014,kimi-vl-hard,VARSITY BLOOD,13,1.0,2.957,ok
653537,Whispers,2019,kimi-vl-hard,JOHNSON,7,0.0,2.769,ok
940187,THE INQUISTION,2019,kimi-vl-hard,INQUISIT,8,0.0,1.634,ok
1015482,Kiss of the Serpent,1988,kimi-vl-hard,Todeskuss der Schlange,22,0.0,3.158,ok
1405670,xOxExFx,2024,kimi-vl-hard,x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x,2047,0.0,135.643,ok
