id,title,year,model,text,chars,title_overlap_score,latency_s,status
1586019,The Cure,2013,got,FENCING THE CURE,16,1.0,12.44,ok
1247719,Fries on the Grass,2024,got,DILLON FULKS FRIES ON THE GRASS DIRECTED BY ESA I AS CASSIDY& DILLON FULKS,74,1.0,2.534,ok
337558,Witchdoctor of the Livingdead,1986,got,WITCH DOCTOR LI YING I READ EST IEN 26 GOOD SHOCKING!  THE ULTIMATE EXPERIENCE IN,81,0.25,2.542,ok
779247,Hell,2018,got,Film By,7,0.0,1.683,ok
1280376,The Spider's Web,1912,got,"Vita graph Company of America PRESENTS A FILM. BY Van Dyke Brooke Maurice Costello The Spider' s Web STARRING Charles Eldridge, Earle Williams* Hal Wilson General Film Company",175,1.0,2.922,ok
440085,KL24: Zombies,2017,got,KL 24: ZOMBIES,14,0.5,1.865,ok
763975,Mark of the Damned,2006,got,THIS MOTION PICTURE IS M. P. A. A. FREE,39,0.0,2.085,ok
621486,Bite Me,2010,got,FRIENDS. TOUTBREAK.  NO CONTINUES,33,0.0,2.036,ok
565608,Attack of the Tromaggot,2010,got,At tse,6,0.0,1.743,ok
832310,Verrückt,2021,got,""" Ver rui ck t",14,0.0,1.823,ok
770632,Alone,2020,got,5,1,0.0,1.658,ok
609245,Luminous Void: Docudrama,2019,got,15,2,0.0,1.68,ok
873668,Are You Ready?,2021,got,7,1,0.0,1.659,ok
993921,Let Me Go,2021,got,100,3,0.0,1.772,ok
484627,He Will Call,2017,got,1,1,0.0,1.684,ok
484394,Door Light,2017,got,X,1,0.0,1.657,ok
1020266,III,2021,got,III,3,1.0,1.646,ok
522987,Inside Evil,2017,got,INSIDE EVI,10,0.5,1.762,ok
818442,The Immigrant,1986,got,A,1,0.0,1.679,ok
1046326,Searchers,2023,got,SEARCHERS,9,1.0,1.696,ok
1586019,The Cure,2013,qianfan,THE\nCURE,8,1.0,13.551,ok
1247719,Fries on the Grass,2024,qianfan,DILLON FULKS\nFRIES\nON THE\nGRASS\nDIRECTED BY\nESAIAS CASSIDY & DILLON FULKS,73,1.0,21.263,ok
337558,Witchdoctor of the Livingdead,1986,qianfan,ENONCHONG O'REILLY\nCinema Productions Presents\nWITCHDOCTOR\nLIVINGEAD\nwith\nLarry\nWilliams\nSt.Mary\nEnonchong\nESTRENO\n26\noctubre\nGOOD\nVS\nEVIL\nJoe Layode\nGaruba\nSHOCKING!\nEH! EH! EH!\nDirected by Charles Abi Enonchong\nTHE ULTIMATE EXPERIENCE IN\nNIGERIAN HORROR,255,0.5,16.3,ok
779247,Hell,2018,qianfan,HELL\nA Film By Andre Vanpoelvoorde,34,1.0,9.32,ok
1280376,The Spider's Web,1912,qianfan,"Vitagraph Company of America PRESENTS A FILM BY Van Dyke Brooke * Maurice Costello The Spider's Web STARRING Charles Eldridge, * Earl Williams * Hal Wilson General Film Company",176,1.0,11.71,ok
440085,KL24: Zombies,2017,qianfan,KL24: ZOMBIES,13,1.0,9.055,ok
763975,Mark of the Damned,2006,qianfan,"MARK\nOF THE\nDAMNED\nJOURNEY BEYOND TRUTH...\nINTO AN\nAMPLIFIED\nWORLD!\nwww.markofthedamned.com\nB.P.M.PINT. PRESENTS AN ERIC MILLER MOTION PICTURE ""MARK OF THE DAMNED"" PRODUCED BY ERIC MILLER\nDIRECTED BY CASEY TOMLIN AND JOSHUA KENNEDY STARRING BY WALKER ALLEN AND ERIC MILLER WRITTEN BY WALKER ALLEN\nPRODUCED BY B.P.M.PINT. STORY BY ERIC MILLER AND JOSHUA KENNEDY DIRECTED BY ERIC MILLER\nTHIS MOTION PICTURE IS M.P.A.A. FREE",421,1.0,21.096,ok
621486,Bite Me,2010,qianfan,3FRIENDS1OUTBREAK NOCONTINUES BITE ME,37,1.0,4.417,ok
565608,Attack of the Tromaggot,2010,qianfan,TROMAGGOT,9,0.25,8.917,ok
832310,Verrückt,2021,qianfan,"""Verrückt""",10,1.0,9.07,ok
770632,Alone,2020,qianfan,The,3,0.0,8.612,ok
609245,Luminous Void: Docudrama,2019,qianfan,The Dark Crystal,16,0.0,8.777,ok
873668,Are You Ready?,2021,qianfan,"The image is too dark and blurry to extract any visible text. The image shows what appears to be a draped fabric or curtain covering something, possibly a movie poster, but the text is not legible due to the low lighting conditions.",232,0.0,12.252,ok
993921,Let Me Go,2021,qianfan,The,3,0.0,8.632,ok
484627,He Will Call,2017,qianfan,The,3,0.0,8.637,ok
484394,Door Light,2017,qianfan,The Dark Knight,15,0.0,8.783,ok
1020266,III,2021,qianfan,Ⅱ,1,0.0,8.696,ok
522987,Inside Evil,2017,qianfan,INSIDE EVIL,11,1.0,8.862,ok
818442,The Immigrant,1986,qianfan,Scream,6,0.0,8.714,ok
1046326,Searchers,2023,qianfan,SEARCHERS,9,1.0,8.712,ok
1586019,The Cure,2013,qwen,THE CURE,8,1.0,12.042,ok
1247719,Fries on the Grass,2024,qwen,DILLON FULKS\nFRIES ON THE GRASS\nDirected by Esaias Cassidy & Dillon Fulks,73,1.0,1.705,ok
337558,Witchdoctor of the Livingdead,1986,qwen,WITCHDOCTOR\nON THE\nLIVINGDEAD\nEnonchong O'Reilly\nCinema Productions Presents\nGOOD\nVS EVIL\nSHOCKING!\nLARRY WILLIAMS\nST. MARV\nENONCHONG\nJOE LAVO\nCARUBA\nTHE ULTIMATE EXPERIENCE IN\nNIGERIAN HORROR\nDIRECTED BY CHARLES ABI ENONCHONG,226,0.75,4.394,ok
779247,Hell,2018,qwen,HELL,4,1.0,0.861,ok
1280376,The Spider's Web,1912,qwen,"Vitagraph Company of America\nPresents\nA FILM BY\nVan Dyke Brooke * Maurice Costello\nThe Spider's\nWeb\nStarring\nCharles Eldridge, * Earle Williams * Hal Wilson\nGeneral Film Company",177,1.0,2.766,ok
