id,title,year
1586019,The Cure,2013
1247719,Fries on the Grass,2024
337558,Witchdoctor of the Livingdead,1986
779247,Hell,2018
1280376,The Spider's Web,1912
440085,KL24: Zombies,2017
763975,Mark of the Damned,2006
621486,Bite Me,2010
565608,Attack of the Tromaggot,2010
832310,Verrückt,2021
770632,Alone,2020
609245,Luminous Void: Docudrama,2019
873668,Are You Ready?,2021
993921,Let Me Go,2021
484627,He Will Call,2017
484394,Door Light,2017
1020266,III,2021
522987,Inside Evil,2017
818442,The Immigrant,1986
1046326,Searchers,2023
