sample n=100 from /Users/juanpabloduque/Documents/what-fear-looks-like/pipeline/data/qa/ocr_pilot_v2/sample_ids.txt
models: ['nova-lite']
loaded 1000 prior rows from /Users/juanpabloduque/Documents/what-fear-looks-like/pipeline/data/qa/ocr_pilot_v2/results.csv

=== model=nova-lite bedrock=us.amazon.nova-lite-v1:0 region=us-east-1 n=100 ===
  [1/100] id=484509 status=ok chars=117 overlap=1.0 1.517s
  [2/100] id=1261561 status=ok chars=253 overlap=1.0 0.835s
  [3/100] id=362776 status=ok chars=55 overlap=1.0 0.919s
  [4/100] id=26921 status=ok chars=31 overlap=1.0 1.291s
  [5/100] id=212973 status=ok chars=230 overlap=0.5 0.848s
  [6/100] id=48800 status=ok chars=150 overlap=1.0 1.098s
  [7/100] id=35073 status=ok chars=31 overlap=1.0 0.816s
  [8/100] id=836924 status=ok chars=35 overlap=1.0 0.633s
  [9/100] id=3104 status=ok chars=26 overlap=1.0 0.679s
  [10/100] id=64524 status=ok chars=9 overlap=1.0 0.769s
  [11/100] id=77399 status=ok chars=13 overlap=0.0 0.64s
  [12/100] id=30833 status=ok chars=17 overlap=1.0 0.766s
  [13/100] id=399172 status=ok chars=20 overlap=1.0 0.777s
  [14/100] id=1015482 status=ok chars=42 overlap=0.0 0.713s
  [15/100] id=10283 status=ok chars=45 overlap=0.875 0.913s
  [16/100] id=88410 status=ok chars=11 overlap=1.0 0.668s
  [17/100] id=86687 status=ok chars=58 overlap=1.0 0.839s
  [18/100] id=336254 status=ok chars=8 overlap=1.0 0.725s
  [19/100] id=36992 status=ok chars=7 overlap=1.0 0.689s
  [20/100] id=43274 status=ok chars=15 overlap=1.0 0.66s
  [21/100] id=15056 status=ok chars=28 overlap=1.0 0.824s
  [22/100] id=23532 status=ok chars=25 overlap=1.0 0.87s
  [23/100] id=31012 status=ok chars=8 overlap=1.0 0.788s
  [24/100] id=45551 status=ok chars=2569 overlap=1.0 12.936s
  [25/100] id=156252 status=ok chars=6 overlap=1.0 0.798s
  [26/100] id=743757 status=ok chars=85 overlap=1.0 0.866s
  [27/100] id=11908 status=ok chars=7 overlap=1.0 0.749s
  [28/100] id=28265 status=ok chars=17 overlap=0.3333 0.745s
  [29/100] id=28419 status=ok chars=354 overlap=1.0 1.48s
  [30/100] id=53553 status=ok chars=8 overlap=1.0 0.567s
  [31/100] id=77050 status=ok chars=73 overlap=1.0 0.595s
  [32/100] id=278267 status=ok chars=644 overlap=1.0 1.778s
  [33/100] id=165078 status=ok chars=220 overlap=1.0 1.15s
  [34/100] id=225048 status=ok chars=42 overlap=1.0 0.711s
  [35/100] id=233194 status=ok chars=281 overlap=1.0 1.082s
  [36/100] id=286452 status=ok chars=13 overlap=0.5 0.694s
  [37/100] id=300156 status=ok chars=75 overlap=1.0 0.875s
  [38/100] id=302019 status=ok chars=12 overlap=0.5 0.741s
  [39/100] id=387034 status=ok chars=358 overlap=1.0 2.137s
  [40/100] id=491649 status=ok chars=5 overlap=1.0 1.333s
  [41/100] id=505063 status=ok chars=26 overlap=1.0 0.778s
  [42/100] id=547055 status=ok chars=9 overlap=1.0 0.685s
  [43/100] id=636515 status=ok chars=32 overlap=1.0 0.784s
  [44/100] id=653537 status=ok chars=10 overlap=0.0 0.564s
  [45/100] id=772603 status=ok chars=189 overlap=1.0 1.058s
  [46/100] id=974046 status=ok chars=127 overlap=1.0 0.8s
  [47/100] id=976209 status=ok chars=97 overlap=1.0 0.851s
  [48/100] id=77677 status=ok chars=7 overlap=1.0 0.729s
  [49/100] id=94910 status=ok chars=10 overlap=1.0 0.606s
  [50/100] id=207475 status=ok chars=52 overlap=1.0 0.689s
  [51/100] id=259675 status=ok chars=158 overlap=1.0 0.717s
  [52/100] id=343674 status=ok chars=13 overlap=1.0 0.595s
  [53/100] id=356486 status=ok chars=14 overlap=1.0 0.668s
  [54/100] id=384756 status=ok chars=54 overlap=0.0 0.863s
  [55/100] id=472015 status=ok chars=101 overlap=1.0 0.808s
  [56/100] id=487439 status=ok chars=4195 overlap=1.0 12.757s
  [57/100] id=682809 status=ok chars=467 overlap=1.0 1.575s
  [58/100] id=748251 status=ok chars=15 overlap=1.0 0.734s
  [59/100] id=861413 status=ok chars=4150 overlap=1.0 13.945s
  [60/100] id=940187 status=ok chars=52 overlap=0.0 0.702s
  [61/100] id=972244 status=ok chars=420 overlap=1.0 1.46s
  [62/100] id=748589 status=ok chars=452 overlap=1.0 1.473s
  [63/100] id=796250 status=ok chars=310 overlap=1.0 1.229s
  [64/100] id=802851 status=ok chars=44 overlap=1.0 0.802s
  [65/100] id=854417 status=ok chars=29 overlap=1.0 0.741s
  [66/100] id=863406 status=ok chars=13 overlap=1.0 0.627s
  [67/100] id=918096 status=ok chars=38 overlap=1.0 0.73s
  [68/100] id=931049 status=ok chars=143 overlap=1.0 0.811s
  [69/100] id=1022479 status=ok chars=43 overlap=0.3333 0.967s
  [70/100] id=1083119 status=ok chars=19 overlap=1.0 0.59s
  [71/100] id=1125186 status=ok chars=67 overlap=1.0 0.863s
  [72/100] id=1193824 status=ok chars=11 overlap=1.0 0.661s
  [73/100] id=1289969 status=ok chars=270 overlap=0.8 2.386s
  [74/100] id=1298819 status=ok chars=20 overlap=1.0 0.734s
  [75/100] id=1307154 status=ok chars=16 overlap=1.0 0.854s
  [76/100] id=1375109 status=ok chars=392 overlap=1.0 1.443s
  [77/100] id=1397562 status=ok chars=6 overlap=1.0 0.508s
  [78/100] id=1441287 status=ok chars=52 overlap=1.0 0.817s
  [79/100] id=1443966 status=ok chars=130 overlap=1.0 1.144s
  [80/100] id=1475231 status=ok chars=122 overlap=1.0 0.946s
  [81/100] id=1718150 status=ok chars=909 overlap=1.0 1.878s
  [82/100] id=652004 status=ok chars=23 overlap=1.0 0.599s
