id,title,year,model,text,chars,title_overlap_score,latency_s,status
1261561,The Monkey's Paw,1923,gemini-flash,The height of emotional expression is attained in this weirdest of pictures which brings something wholly new to the screen in story values.\nA veritable cinema classic.\nThe Monkey's Paw\nFROM THE FAMOUS STORY BY\nW.W. Jacobs\nSELZNICK\nDISTRIBUTING\nCORPORATION,256,1.0,2.345,ok
484509,Just Spooks,1925,gemini-flash,Bray Productions\npresents\nDinky Doodle\nin\nJUST SPOOKS\nWritten and directed by\nWALTER LANTZ\nAssisted by Clyde Geronimi,117,1.0,0.0,ok
362776,Ghost Town Frolics,1938,gemini-flash,GHOST TOWN\nFROLICS\nHOW TO\nLOSE\nFRIENDS\nAND\nSCARE\nPEOPLE,55,1.0,3.17,ok
26921,The Mystery of the Mary Celeste,1935,gemini-flash,The MYSTERY of THE\nMARY CELESTE,31,1.0,1.497,ok
212973,Gildersleeve's Ghost,1944,gemini-flash,You'll SCREAM with\nlaughter!\nGildersleeve\nGHOST\nwith\nHarold\nPEARY\nRKO\nRADIO\nPICTURES\nMarion MARTIN\nRichard LeGRAND\nAmelita WARD\nFreddie MERCER\nMargie STEWART\nProduced by Herman Schlom Directed by Gordon\nDouglas Stage and screen play by Robert E. Kent,250,1.0,1.963,ok
48800,The Unknown,1946,gemini-flash,"COLUMBIA PICTURES\npresents\nTHE UNKNOWN\nBased upon the Original Radio Program\n""I LOVE A MYSTERY""\nwith\nKAREN\nMORLEY\nJIM\nBANNON\nJEFF\nDONNELL\nROBERT\nSCOTT",150,1.0,1.629,ok
35073,"The Beast from 20,000 Fathoms",1953,gemini-flash,"""The\nBeast\nFrom\n20,000\nFathoms",30,1.0,1.531,ok
836924,Roh Membela,1955,gemini-flash,ROH MEMBELA\n'REVENGE OF THE SPIRIT',35,1.0,4.615,ok
3104,Frankenstein Created Woman,1967,gemini-flash,FRANKENSTEIN\nCREATED WOMAN,26,1.0,1.476,ok
64524,Nightmare,1964,gemini-flash,NIGHTMARE,9,1.0,1.143,ok
77399,Incense for the Damned,1971,gemini-flash,BLOOD SUCKERS,13,0.0,1.412,ok
30833,Drive-In Massacre,1976,gemini-flash,DRIVE-IN MASSACRE,17,1.0,1.594,ok
399172,Lipstick and Blood,1984,gemini-flash,Lipstick And Blood,18,1.0,1.239,ok
1015482,Kiss of the Serpent,1988,gemini-flash,UNCUT\nungeschnitten\nTodeskuss\nder Schlange,42,0.0,1.293,ok
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,gemini-flash,FRIDAY THE 13TH\nVIII\nJASON TAKES MANHATTAN,42,0.875,1.669,ok
88410,Beyond Evil,1980,gemini-flash,BEYOND\nEVIL,11,1.0,2.549,ok
86687,Severed Ties,1992,gemini-flash,SEVERED TIES\nScience Out of Control.\nHorror Out On a Limb.,58,1.0,3.462,ok
336254,Downtime,1995,gemini-flash,DOWNTIME,8,1.0,1.478,ok
36992,Shakma,1990,gemini-flash,SHAKMA!,7,1.0,3.584,ok
43274,Tower of Terror,1997,gemini-flash,TOWER OF TERROR,15,1.0,4.376,ok
15056,The Curse of King Tut's Tomb,2006,gemini-flash,THE CURSE OF\nKING TUT'S TOMB,28,1.0,1.107,ok
23532,How to Be a Serial Killer,2009,gemini-flash,HOW TO BE A\nSERIAL KILLER,25,1.0,1.583,ok
31012,Cerberus,2005,gemini-flash,CERBERUS,8,1.0,1.271,ok
45551,Surveillance,2006,gemini-flash,"SURVEILLANCE\nZOOM LENS\nEF-S 18-55mm\nZOOM\n58mm\n05400\nSTURM, RUGER & CO.\nSOUTHPORT, CONN. U.S.A.",94,1.0,3.879,ok
156252,Phobic,2002,gemini-flash,PHOBIC,6,1.0,0.984,ok
743757,Blood Orgy of the Damned,2007,gemini-flash,ABNORMAL ENTERTAINMENT & THE NATIONAL COMEDY THEATER PRESENT\nBLOOD\nORGY\nOF THE\nDAMNED,85,1.0,1.446,ok
11908,Hatchet,2006,gemini-flash,HATCHET,7,1.0,1.085,ok
28265,Lovesick: Sick Love,2004,gemini-flash,LoveSick\nSickLove,17,0.3333,1.096,ok
28419,Hellbreeder,2004,gemini-flash,"DOMINIQUE PINON LYNDIE UPHILL DARREN DAY\nHELLBREEDER\nThe dark side\nhas risen.\nAMERICAN WORLD PICTURES CAT N CAGE PICTURES A FILM BY JOHANNES ROBERTS JAMES EAVES DOMINIQUE PINON LYNDIE UPHILL\nDARREN DAY TINA BARNES ""HELLBREEDER"" NATASHA OAKES SPECIAL MAKE-UP TRISTAN VERSLUIS DIRECTOR OF PHOTOGRAPHY JOHN RAGGETT EDITOR PETER DOBSON\nRESTRICTED\nR\nUNDER 17 REQUIRES ACCOMPANYING\nPARENT OR ADULT GUARDIAN\nWRITTEN AND PRODUCED BY JOHANNES ROBERTS JAMES EAVES\nDO DOLBY\nDIGITAL\n© 2002 CAT N CAGE PICTURES ALL RIGHTS RESERVED",517,1.0,2.286,ok
53553,The Glow,2002,gemini-flash,THE\nGLOW,8,1.0,1.237,ok
77050,Theodore,2009,gemini-flash,LLOYD KAUFMAN\nIN\nA FILM BY DAVID SHERBROOK\nTHEODORE\nYOU'LL LOSE YOUR HEAD,73,1.0,1.259,ok
278267,The Dead Walk,2008,gemini-flash,"THE DEAD WALK\nROADKILL CINEMA PRODUCTIONS\npresents\nIn Association with KALEIDOSCOPE ENTERTAINMENT GROUP ""THE DEAD WALK""\nStarring Chris Adler, Leslie Mclean, Bjorn Jischied Jr., C.J. Swenson and William Markhage\nAlso Featuring Ryan Sarah Clinkenbeard, Michael Richarn and Joseph Lolli\nMusic By AudioTronic Studios Film Editor Adam Thorvaldsen Production Manager Wanda Garcia\nVisual FX Christopher ""Vansman"" Special Make up FX Adam Thorvaldsen Director of\nPhotography Stephanie Jordan Written by Michael Clinkenbeard Produced by Adam Thorvaldsen\nDirected by Michael Clinkenbeard\nComing to a shelter near you\n2005\nThis film contains graphic gore, violence and language\nROADKILL\nCINEMA",681,1.0,2.245,ok
165078,Legend of Hell,2012,gemini-flash,OFFICIAL\nSELECTION\nWEEKEND OF FEAR\nFILMFESTIVAL\nOFFICIAL\nSELECTION\nMOVIE DAYS\nFILMFESTIVAL\nOFFICIAL\nSELECTION\nCINETRANGE\nFILMFESTIVAL\na film by OLAF ITTENBACH\nLEGEND OF HELL\nONCE IT WAS PARADISE\nDVD\nVIDEO\n15\nANOTHER\nWORLD,221,1.0,1.676,ok
