id,title,year,model,text,chars,title_overlap_score,latency_s,status
484509,Just Spooks,1925,gpt4o,Bray Productions presents\n\nDinky Doodle in\n\nJUST SPOOKS\n\nWritten and directed by\nWALTER LANTZ\nAssisted by Clyde Geronimi,120,1.0,2.829,ok
1261561,The Monkey's Paw,1923,gpt4o,The height of emotional expression is attained in this weirdest of pictures which brings something wholly new to the screen in story values.\n\nA veritable cinema classic.\n\nThe Monkey's Paw\n\nFrom the famed story by W.W. Jacobs\n\nSELZNICK PICTURES CORPORATION,255,1.0,1.852,ok
362776,Ghost Town Frolics,1938,gpt4o,GHOST TOWN FROLICS\n\nHOW TO LOSE FRIENDS AND SCARE PEOPLE,56,1.0,1.119,ok
26921,The Mystery of the Mary Celeste,1935,gpt4o,The Mystery of the Mary Celeste,31,1.0,1.219,ok
212973,Gildersleeve's Ghost,1944,gpt4o,You'll scream with laughter!\n\nGildersleeve's Ghost\n\nwith Harold Peary\n\nMarion Martin\nRichard LeGrand\nFrank Reicher\nMargie Stewart\nMarie Blake\nNick Stewart\n\nProduced by Herman Schlom Directed by Gordon Douglas\nA story by Robert E. Kent and Brown Holmes,251,1.0,1.985,ok
48800,The Unknown,1946,gpt4o,"COLUMBIA PICTURES\npresents\n\nTHE UNKNOWN\n\nBased upon the Original Radio Program\n""I LOVE A MYSTERY""\n\nwith\nKAREN MORLEY\nJIM BANNON\nJEFF DONNELL\nROBERT SCOTT",153,1.0,2.536,ok
35073,"The Beast from 20,000 Fathoms",1953,gpt4o,"""The Beast From 20,000 Fathoms""",31,1.0,1.406,ok
836924,Roh Membela,1955,gpt4o,ROH MEMBELA  \n' REVENGE OF THE SPIRIT ',39,1.0,1.034,ok
3104,Frankenstein Created Woman,1967,gpt4o,FRANKENSTEIN CREATED WOMAN,26,1.0,1.635,ok
64524,Nightmare,1964,gpt4o,NIGHTMARE,9,1.0,1.016,ok
77399,Incense for the Damned,1971,gpt4o,BLOOD SUCKERS,13,0.0,1.281,ok
30833,Drive-In Massacre,1976,gpt4o,DRIVE-IN MASSACRE,17,1.0,0.817,ok
399172,Lipstick and Blood,1984,gpt4o,Lipstick And Blood,18,1.0,0.95,ok
1015482,Kiss of the Serpent,1988,gpt4o,UNCUT  \nungeschnitten  \nTodeskuss der Schlange,46,0.0,0.908,ok
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,gpt4o,FRIDAY THE 13TH VIII\n\nJASON TAKES MANHATTAN,43,0.875,1.602,ok
88410,Beyond Evil,1980,gpt4o,BEYOND EVIL,11,1.0,0.784,ok
86687,Severed Ties,1992,gpt4o,SEVERED TIES\n\nScience Out of Control.\nHorror Out On a Limb.,59,1.0,1.107,ok
336254,Downtime,1995,gpt4o,DOWNTIME,8,1.0,1.865,ok
36992,Shakma,1990,gpt4o,SHAKMA!,7,1.0,1.27,ok
43274,Tower of Terror,1997,gpt4o,TOWER OF TERROR,15,1.0,1.307,ok
15056,The Curse of King Tut's Tomb,2006,gpt4o,THE CURSE OF  \nKING TUT'S TOMB,30,1.0,0.894,ok
23532,How to Be a Serial Killer,2009,gpt4o,HOW TO BE A SERIAL KILLER,25,1.0,0.944,ok
31012,Cerberus,2005,gpt4o,CERBERUS,8,1.0,1.649,ok
45551,Surveillance,2006,gpt4o,SURVEILLANCE\nZOOM LENS EF-S 18-55mm,35,1.0,2.393,ok
