id,title,year,model,text,chars,title_overlap_score,latency_s,status
484509,Just Spooks,1925,easyocr,Productions Bray Uaeeie Dinky Doodlc in JUST SPOOKS Written ard rected by WALTER LANTZ esisted Ey Glyae erorimi,111,1.0,0.0,ok
1261561,The Monkey's Paw,1923,easyocr,"he heiphtot erx ud Eipness attaind in cnis Weo Dictunt: which brines ~omc thing wholly new Ecreen Sory Jhe Valele = ""erirable CIneth Monkeys classic: Paw W.W.Jacobs SFLZNICK",173,0.3333,0.0,ok
362776,Ghost Town Frolics,1938,easyocr,GHost TOUN CRoLcs t0 How LOSE FRIeNdj And SCARE PEOPLE,54,0.3333,0.0,ok
26921,The Mystery of the Mary Celeste,1935,easyocr,Jhe MYSTERY @F THE MARY CEIESTE,31,0.6,0.0,ok
212973,Gildersleeve's Ghost,1944,easyocr,"YilSTREAM Vawkerq Ieiladkeee OHbss Harolt WEARY Ahaxiex MARIIN Beker LeGRAND WARD FeddieMERCER STEWART hchto"" 67 (eos Dnen FJttt Cs Cf",134,0.0,0.0,ok
48800,The Unknown,1946,easyocr,"QMBIRITTURE UNkNOwN Radio t Program Te 3 Oxiqinal / the VMYSTERY"" Based 4 'udont ""ILOvEt A wk KAREN JEFF robert MORLEY BHOH DHHELLSCOI",134,1.0,0.0,ok
35073,"The Beast from 20,000 Fathoms",1953,easyocr,Beast From 200o0_ Fathoms,25,0.5,0.0,ok
836924,Roh Membela,1955,easyocr,ROH MEMBELA REVENGE OF THE SPIRIT,33,1.0,0.0,ok
3104,Frankenstein Created Woman,1967,easyocr,FANKENHIEN GREATEDTMHA,22,0.0,0.0,ok
64524,Nightmare,1964,easyocr,Xigkiart:,9,0.0,0.0,ok
77399,Incense for the Damned,1971,easyocr,SucKers Bodv,12,0.0,0.0,ok
30833,Drive-In Massacre,1976,easyocr,@aLLE L MASIALLL,16,0.0,0.0,ok
399172,Lipstick and Blood,1984,easyocr,litwuchAnd Elodd,16,0.0,0.0,ok
1015482,Kiss of the Serpent,1988,easyocr,(UNCUT ukalttcr Todeakum dov Schlande,37,0.0,0.0,ok
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,easyocr,TErzYmi FRiDY Jason TakeS MANHATTAN,35,0.375,0.0,ok
88410,Beyond Evil,1980,easyocr,EYPN,4,0.0,0.0,ok
86687,Severed Ties,1992,easyocr,SEVered Tes Science Out of Control: Horror Out On Limb,54,0.5,0.0,ok
336254,Downtime,1995,easyocr,DOWNTIMe,8,1.0,0.0,ok
36992,Shakma,1990,easyocr,ShrrMa!,7,0.0,0.0,ok
43274,Tower of Terror,1997,easyocr,ThER TFRROR OF,14,0.3333,0.0,ok
15056,The Curse of King Tut's Tomb,2006,easyocr,THE CURSE OF KING TUTS TOMB,27,0.8333,0.0,ok
23532,How to Be a Serial Killer,2009,easyocr,BE A TO HOW SERIAL KI LER,25,0.8,0.0,ok
31012,Cerberus,2005,easyocr,C E RB ERU $,12,0.0,0.0,ok
45551,Surveillance,2006,easyocr,SIBUHEDAFT Gom HEAS 2,21,0.0,0.0,ok
156252,Phobic,2002,easyocr,PHOBIC,6,1.0,0.0,ok
743757,Blood Orgy of the Damned,2007,easyocr,46 Cou ERIANINENT MICMAL Ecvijy 1re4te? PresET Loop OROY O8 uul VHD,67,0.0,0.0,ok
11908,Hatchet,2006,easyocr,HATCHET,7,1.0,0.0,ok
28265,Lovesick: Sick Love,2004,easyocr,LoVESick SickLoVe,17,0.3333,0.0,ok
28419,Hellbreeder,2004,easyocr,"DOMINIQUE PINON LYNDIE UPHILL DARREN DAY HELLBREEDER 'The dark side has risen; HWFRICHHIIHHFCIUAES CHT HCHGE PIUUFEEeI JUHHHES FUBEHS. JES EXES DOHHLUE FHOH LYDHE IPHLL DHHEHDY TIHHHRHES ""HELIBHFEDEH , =WTASHHOMS *4 'THSTHIVEHSUK JOH FHOGET ;PEIER DUBSOH^ JIHHES ALHEHIS_JES ENES 0RQ",283,1.0,0.0,ok
53553,The Glow,2002,easyocr,THE GLOI,8,0.5,0.0,ok
77050,Theodore,2009,easyocr,LLOYD KAUFMAN IN A FILM BY DAVID SHERBROOK THEODORE YOU' LL LOSE YOUR HEAD,74,1.0,0.0,ok
278267,The Dead Walk,2008,easyocr,,0,0.0,0.0,missing
165078,Legend of Hell,2012,easyocr,OFacLL OFFKU Sk WeekendofFear e Hoyeda Hcutco CineirAHGE ablb; OLAF LTTENBACH SEGEND OF HEL) ONCE WA $ PARADISE e,113,0.3333,0.0,ok
225048,Evangeline,2013,easyocr,EVANGELINE WVENGEANCEISDARKER THAN DEATH,40,1.0,0.0,ok
233194,8 Butterflies,2010,easyocr,"LOSE YOUR MIND 8BU, oatoun EIES EdE Liwtwwi",43,0.0,0.0,ok
286452,Varsity Blood,2014,easyocr,VARSITY BLQOD,13,0.5,0.0,ok
300156,The Interrogation of Cheryl Cooper,2014,easyocr,TOMMIE VEGAS SHANE RYAN BRITTANY BOCHART Th: INTERROGATION QF CHERYL COOPER,75,0.6,0.0,ok
302019,Crow Hand,2014,easyocr,006 CrCb,8,0.0,0.0,ok
