id,title,year,decade,text_area,text_band,text_median,median_src,original_language,stratum
484509,Just Spooks,1925,1920,0.2792,high,0.27275,decade,en,1920_high
1261561,The Monkey's Paw,1923,1920,0.2372,low,0.27275,decade,en,1920_low
362776,Ghost Town Frolics,1938,1930,0.4191,high,0.3368,decade,en,1930_high
26921,The Mystery of the Mary Celeste,1935,1930,0.2292,low,0.3368,decade,en,1930_low
212973,Gildersleeve's Ghost,1944,1940,0.4729,high,0.3377,decade,en,1940_high
48800,The Unknown,1946,1940,0.326,low,0.3377,decade,en,1940_low
35073,"The Beast from 20,000 Fathoms",1953,1950,0.4149,high,0.3754,decade,en,1950_high
836924,Roh Membela,1955,1950,0.1737,low,0.3754,decade,en,1950_low
3104,Frankenstein Created Woman,1967,1960,0.3694,high,0.3153,decade,en,1960_high
64524,Nightmare,1964,1960,0.2671,low,0.3153,decade,en,1960_low
77399,Incense for the Damned,1971,1970,0.3243,high,0.2752,decade,en,1970_high
30833,Drive-In Massacre,1976,1970,0.2613,low,0.2752,decade,en,1970_low
399172,Lipstick and Blood,1984,1980,0.3267,high,0.256,decade,en,1980_high
1015482,Kiss of the Serpent,1988,1980,0.5246,high,0.256,decade,en,1980_high
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,1980,0.2465,low,0.256,decade,en,1980_low
88410,Beyond Evil,1980,1980,0.1436,low,0.256,decade,en,1980_low
86687,Severed Ties,1992,1990,0.266,high,0.2399,decade,en,1990_high
336254,Downtime,1995,1990,0.2729,high,0.2399,decade,en,1990_high
36992,Shakma,1990,1990,0.2038,low,0.2399,decade,en,1990_low
43274,Tower of Terror,1997,1990,0.1816,low,0.2399,decade,en,1990_low
15056,The Curse of King Tut's Tomb,2006,2000,0.4399,high,0.2424,decade,en,2000_high
23532,How to Be a Serial Killer,2009,2000,0.3164,high,0.2424,decade,en,2000_high
31012,Cerberus,2005,2000,0.3065,high,0.2424,decade,en,2000_high
45551,Surveillance,2006,2000,0.5029,high,0.2424,decade,en,2000_high
156252,Phobic,2002,2000,0.2847,high,0.2424,decade,en,2000_high
743757,Blood Orgy of the Damned,2007,2000,0.4609,high,0.2424,decade,en,2000_high
11908,Hatchet,2006,2000,0.1495,low,0.2424,decade,en,2000_low
28265,Lovesick: Sick Love,2004,2000,0.2411,low,0.2424,decade,en,2000_low
28419,Hellbreeder,2004,2000,0.2195,low,0.2424,decade,en,2000_low
53553,The Glow,2002,2000,0.2071,low,0.2424,decade,en,2000_low
77050,Theodore,2009,2000,0.1513,low,0.2424,decade,en,2000_low
278267,The Dead Walk,2008,2000,0.1903,low,0.2424,decade,en,2000_low
165078,Legend of Hell,2012,2010,0.331,high,0.201,decade,en,2010_high
225048,Evangeline,2013,2010,0.3478,high,0.201,decade,en,2010_high
233194,8 Butterflies,2010,2010,0.2037,high,0.201,decade,en,2010_high
286452,Varsity Blood,2014,2010,0.3659,high,0.201,decade,en,2010_high
300156,The Interrogation of Cheryl Cooper,2014,2010,0.3746,high,0.201,decade,en,2010_high
302019,Crow Hand,2014,2010,0.2424,high,0.201,decade,en,2010_high
387034,Nasty Nancy,2010,2010,0.4402,high,0.201,decade,en,2010_high
491649,Larry,2017,2010,0.2485,high,0.201,decade,en,2010_high
505063,Await Further Instructions,2018,2010,0.2789,high,0.201,decade,en,2010_high
547055,Threshold,2016,2010,0.2722,high,0.201,decade,en,2010_high
636515,Hidden Mother,2019,2010,0.3147,high,0.201,decade,en,2010_high
653537,Whispers,2019,2010,0.2628,high,0.201,decade,en,2010_high
772603,Money,2017,2010,0.2533,high,0.201,decade,en,2010_high
974046,House of White Spiders,2010,2010,0.2041,high,0.201,decade,en,2010_high
976209,Midnight Thirst,2016,2010,0.2531,high,0.201,decade,en,2010_high
77677,Escapee,2011,2010,0.1633,low,0.201,decade,en,2010_low
94910,Magnificat,2011,2010,0.0935,low,0.201,decade,en,2010_low
207475,The Ouija Experiment,2011,2010,0.1812,low,0.201,decade,en,2010_low
259675,Belly of the Wolf,2013,2010,0.0958,low,0.201,decade,en,2010_low
343674,Gerald's Game,2017,2010,0.1299,low,0.201,decade,en,2010_low
356486,Lumberjack Man,2015,2010,0.1224,low,0.201,decade,en,2010_low
384756,Rabid,2019,2010,0.1502,low,0.201,decade,en,2010_low
472015,Hunting for Shadows,2016,2010,0.1534,low,0.201,decade,en,2010_low
487439,Itch,2017,2010,0.1664,low,0.201,decade,en,2010_low
682809,Under the Table,2011,2010,0.101,low,0.201,decade,en,2010_low
748251,Vamp Bikers Dos,2015,2010,0.062,low,0.201,decade,en,2010_low
861413,A Dream...,2012,2010,0.1048,low,0.201,decade,en,2010_low
